x,y,z,Site,Atom,Bonded Atoms,Bond Ends
4.9365,1.3135,3.089671,O1,O,3;10;,
3.06063,2.6850381071305717e-16,4.385,O2,O,3;,
2.46825,1.3135,2.1925,O3,O,3;23;,
3.3844644,1.3135,3.514139,T1,Si,0;1;2;15,4.93650000e+00;1.31350000e+00;3.08967100e+00;N 3.06063000e+00;2.68503811e-16;4.38500000e+00;N 2.46825000e+00;1.31350000e+00;2.19250000e+00;N 3.06063000e+00;2.62700000e+00;4.38500000e+00
9.873,3.9405,7.474671,O1,O,7;43;,
7.997130000000001,2.627,8.77,O2,O,7;141;,
7.40475,3.9405,6.5775,O3,O,7;20;,
8.3209644,3.9405,7.899139,T1,Si,4;5;6;74,9.873   ;3.9405  ;7.474671;N 7.99713 ;2.627   ;8.77    ;N 7.40475 ;3.9405  ;6.5775  ;N 7.99713 ;5.254   ;8.77    
6.812369999999999,2.6850381071305717e-16,4.385,O2,O,10;,
7.40475,1.3135,2.1925,O3,O,10;27;,
6.4885356,1.3135,3.514139,T1,Si,0;8;9;17,4.93650000e+00;1.31350000e+00;3.08967100e+00;N 6.81237000e+00;2.68503811e-16;4.38500000e+00;N 7.40475000e+00;1.31350000e+00;2.19250000e+00;N 6.81237000e+00;2.62700000e+00;4.38500000e+00
6.989776313434846e-16,3.9405,7.474671,O1,O,14;,
1.8758700000000008,2.627,8.77,O2,O,14;138;,
2.4682500000000007,3.9405,6.5775,O3,O,14;24;,
1.5520356000000006,3.9405,7.899139,T1,Si,11;12;13;76,6.98977631e-16;3.94050000e+00;7.47467100e+00;N 1.87587000e+00;2.62700000e+00;8.77000000e+00;N 2.46825000e+00;3.94050000e+00;6.57750000e+00;N 1.87587000e+00;5.25400000e+00;8.77000000e+00
3.06063,2.627,4.385,O2,O,3;24;,
7.997130000000001,5.370076214261143e-16,8.77,O2,O,141;,
6.812369999999999,2.627,4.385,O2,O,10;20;,
1.8758700000000004,5.370076214261143e-16,8.77,O2,O,138;,
4.9365,3.9405,5.680329,O1,O,20;24;,
6.4885356,3.9405,5.255861,T1,Si,6;17;19;66,7.40475 ;3.9405  ;6.5775  ;N 6.81237 ;2.627   ;4.385   ;N 4.9365  ;3.9405  ;5.680329;N 6.81237 ;5.254   ;4.385   
1.597447042186395e-16,1.3135,1.295329,O1,O,23;,
1.87587,2.627,0.0,O2,O,23;,
1.5520356,1.3135,0.870861,T1,Si,2;21;22;28,2.46825000e+00;1.31350000e+00;2.19250000e+00;N 1.59744704e-16;1.31350000e+00;1.29532900e+00;N 1.87587000e+00;2.62700000e+00;0.00000000e+00;N 1.87587000e+00;0.00000000e+00;0.00000000e+00
3.3844644000000006,3.9405,5.255861,T1,Si,13;15;19;59,2.46825 ;3.9405  ;6.5775  ;N 3.06063 ;2.627   ;4.385   ;N 4.9365  ;3.9405  ;5.680329;N 3.06063 ;5.254   ;4.385   
9.873,1.3135,1.295329,O1,O,27;51;,
7.99713,2.627,0.0,O2,O,27;,
8.3209644,1.3135,0.870861,T1,Si,9;25;26;29,7.40475 ;1.3135  ;2.1925  ;N 9.873   ;1.3135  ;1.295329;N 7.99713 ;2.627   ;0.      ;N 7.99713 ;0.      ;0.      
1.87587,0.0,0.0,O2,O,23;,
7.99713,0.0,0.0,O2,O,27;,
14.8095,1.3135,3.089671,O1,O,33;40;,
12.93363,2.6850381071305717e-16,4.385,O2,O,33;,
12.34125,1.3135,2.1925,O3,O,33;51;,
13.2574644,1.3135,3.514139,T1,Si,30;31;32;44,1.48095000e+01;1.31350000e+00;3.08967100e+00;N 1.29336300e+01;2.68503811e-16;4.38500000e+00;N 1.23412500e+01;1.31350000e+00;2.19250000e+00;N 1.29336300e+01;2.62700000e+00;4.38500000e+00
19.746,3.9405,7.474671,O1,O,37;,
17.87013,2.627,8.77,O2,O,37;165;,
17.277749999999997,3.9405,6.5775,O3,O,37;49;,
18.1939644,3.9405,7.899139,T1,Si,34;35;36;103,19.746   ; 3.9405  ; 7.474671;N 17.87013 ; 2.627   ; 8.77    ;N 17.27775 ; 3.9405  ; 6.5775  ;N 17.87013 ; 5.254   ; 8.77    
16.68537,2.6850381071305717e-16,4.385,O2,O,40;,
17.277749999999997,1.3135,2.1925,O3,O,40;55;,
16.3615356,1.3135,3.514139,T1,Si,30;38;39;46,1.48095000e+01;1.31350000e+00;3.08967100e+00;N 1.66853700e+01;2.68503811e-16;4.38500000e+00;N 1.72777500e+01;1.31350000e+00;2.19250000e+00;N 1.66853700e+01;2.62700000e+00;4.38500000e+00
11.748869999999998,2.627,8.77,O2,O,43;162;,
12.34125,3.9405,6.5775,O3,O,43;52;,
11.4250356,3.9405,7.899139,T1,Si,4;41;42;105, 9.873   ; 3.9405  ; 7.474671;N 11.74887 ; 2.627   ; 8.77    ;N 12.34125 ; 3.9405  ; 6.5775  ;N 11.74887 ; 5.254   ; 8.77    
12.93363,2.627,4.385,O2,O,33;52;,
17.87013,5.370076214261143e-16,8.77,O2,O,165;,
16.68537,2.627,4.385,O2,O,40;49;,
11.748869999999998,5.370076214261143e-16,8.77,O2,O,162;,
14.8095,3.9405,5.680329,O1,O,49;52;,
16.3615356,3.9405,5.255861,T1,Si,36;46;48;96,17.27775 ; 3.9405  ; 6.5775  ;N 16.68537 ; 2.627   ; 4.385   ;N 14.8095  ; 3.9405  ; 5.680329;N 16.68537 ; 5.254   ; 4.385   
11.748869999999998,2.627,0.0,O2,O,51;,
11.4250356,1.3135,0.870861,T1,Si,25;32;50;56, 9.873   ; 1.3135  ; 1.295329;N 12.34125 ; 1.3135  ; 2.1925  ;N 11.74887 ; 2.627   ; 0.      ;N 11.74887 ; 0.      ; 0.      
