x,y,z,Site,Atom,Bonded Atoms,Bond Ends
6.6130272,17.880576299999998,1.667304,O1,O,75;252;,
6.234,1.1405961000000002,3.348,O2,O,8;111;,
5.893208,1.5133032,0.7713791999999999,O3,O,8;,
1.7734523616747535e-16,1.1593251,1.7369424,O4,O,27;,
2.173588000000001,3.369347100000001,12.3179616,O5,O,9;29;,
4.156000000000001,1.6481520000000005,12.193416,O6,O,9;28;,
6.234000000000001,4.682250000000001,10.044,O7,O,10;85;,
1.0003715729512865e-15,4.682250000000001,11.6550576,O8,O,29;,
6.764305599999999,0.7397955,1.8829152,T1,Si,1;2;127,6.234    ;1.1405961;3.348    ;N 5.893208 ;1.5133032;0.7713792;N 8.312    ;1.1593251;1.7369424
2.6107992000000007,1.8466794000000004,12.5991936,T2,Si,4;5;68;512, 2.173588 ; 3.3693471;12.3179616;N  4.156    ; 1.648152 ;12.193416 ;N  1.6989728; 0.8484237;11.724696 ;N  2.418792 ; 1.5133032;14.1633792
6.7061216,4.682250000000001,11.5800624,T3,Si,6;25;58;131, 6.234    ; 4.68225  ;10.044    ;N  6.138412 ; 3.3693471;12.3179616;N  6.138412 ; 5.9951529;12.3179616;N  8.312    ; 4.68225  ;11.6550576
2.4570272,8.516076299999998,8.363304000000001,O1,O,19;84;,
2.0780000000000007,10.5050961,10.044,O2,O,19;104;,
1.7372080000000016,10.8778032,7.4673792,O3,O,19;37;,
4.1560000000000015,10.523825099999998,8.4329424,O4,O,19;36;,
6.329588000000001,12.733847099999998,5.621961599999999,O5,O,20;38;,
8.312,11.012652,5.497415999999998,O6,O,20;160;,
2.0780000000000007,14.04675,3.348,O7,O,21;76;,
4.156000000000001,14.04675,4.959057599999998,O8,O,21;38;,
2.6083056000000013,10.1042955,8.5789152,T1,Si,11;12;13;14, 2.4570272; 8.5160763; 8.363304 ;N  2.078    ;10.5050961;10.044    ;N  1.737208 ;10.8778032; 7.4673792;N  4.156    ;10.5238251; 8.4329424
6.7667992,11.2111794,5.903193599999998,T2,Si,15;16;32;77, 6.329588 ;12.7338471; 5.6219616;N  8.312    ;11.012652 ; 5.497416 ;N  6.574792 ;10.8778032; 7.4673792;N  5.8549728;10.2129237; 5.028696 
2.5501216000000007,14.04675,4.8840624,T3,Si,17;18;33;64, 2.078    ;14.04675  ; 3.348    ;N  4.156    ;14.04675  ; 4.9590576;N  1.982412 ;12.7338471; 5.6219616;N  1.982412 ;15.3596529; 5.6219616
1.6989728000000013,17.880576299999998,1.667304,O1,O,90;271;,
2.078,1.1405961000000002,3.348,O2,O,27;122;,
2.4187920000000003,1.5133032,0.7713791999999999,O3,O,27;,
6.138412,3.369347100000001,12.3179616,O5,O,10;28;,
2.0780000000000007,4.682250000000001,10.044,O7,O,29;98;,
1.5476944000000004,0.7397955,1.8829152,T1,Si,3;23;24,1.77345236e-16;1.15932510e+00;1.73694240e+00;N 2.07800000e+00;1.14059610e+00;3.34800000e+00;N 2.41879200e+00;1.51330320e+00;7.71379200e-01
5.7012008000000005,1.8466794000000004,12.5991936,T2,Si,5;25;86;490, 4.156    ; 1.648152 ;12.193416 ;N  6.138412 ; 3.3693471;12.3179616;N  6.6130272; 0.8484237;11.724696 ;N  5.893208 ; 1.5133032;14.1633792
