x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.0421162000000006,6.984665000000001,2.1912264,O1,O,9;112;,
1.8531000000000009,6.6775,4.818,O2,O,9;111;,
7.040196246802541e-16,7.999645,3.4978679999999995,O3,O,9;,
2.394205200000001,9.025309,3.8071836,O4,O,9;138;,
3.2707215000000005,8.6366785,7.878393599999999,O5,O,10;107;,
4.63275,6.5078915,7.226999999999999,O6,O,10;137;,
3.5097714000000004,6.6775,0.0,O7,O,112;,
4.632750000000001,10.01625,0.0,O8,O,11;,
4.632750000000001,9.2109435,2.409,O9,O,11;138;,
1.5695757000000006,7.660428,3.5768831999999997,T1,Si,0;1;2;3,2.04211620e+00;6.98466500e+00;2.19122640e+00;N 1.85310000e+00;6.67750000e+00;4.81800000e+00;N 7.04019625e-16;7.99964500e+00;3.49786800e+00;N 2.39420520e+00;9.02530900e+00;3.80718360e+00
3.3670827000000005,7.039420500000001,8.074967999999998,T2,Si,4;5;108;610,3.2707215;8.6366785;7.8783936;N 4.63275  ;6.5078915;7.227    ;N 2.0421162;6.370335 ;7.4447736;N 3.5097714;6.6775   ;9.636    
5.5667124,9.914752,1.2998963999999995,T3,Si,7;8;103;134, 4.63275  ;10.01625  ; 0.       ;N  4.63275  ; 9.2109435; 2.409    ;N  5.9947785;11.3958215; 1.7576064;N  6.8712948; 9.025309 ; 1.0108164
11.307616199999998,0.3071650000000018,2.1912264,O1,O,21;,
11.1186,13.355,4.818,O2,O,119;329;,
9.2655,1.322145,3.4978679999999995,O3,O,21;43;,
11.6597052,2.347809,3.8071836,O4,O,21;130;,
12.536221499999998,1.9591785000000013,7.878393599999999,O5,O,22;98;,
13.89825,13.1853915,7.226999999999999,O6,O,330;431;,
12.7752714,13.355,0.0,O7,O,120;,
13.89825,3.33875,0.0,O8,O,23;,
13.89825,2.5334435,2.409,O9,O,23;130;,
10.8350757,0.9829279999999988,3.5768831999999997,T1,Si,12;14;15;115,1.13076162e+01;3.07165000e-01;2.19122640e+00;N 9.26550000e+00;1.32214500e+00;3.49786800e+00;N 1.16597052e+01;2.34780900e+00;3.80718360e+00;N 1.11186000e+01;2.95017414e-16;4.81800000e+00
12.6325827,0.3619204999999992,8.074967999999998,T2,Si,16;722,1.25362215e+01;1.95917850e+00;7.87839360e+00;N 1.27752714e+01;5.90034828e-16;9.63600000e+00
14.8322124,3.237252,1.2998963999999995,T3,Si,19;20;95;125,13.89825  ; 3.33875  ; 0.       ;N 13.89825  ; 2.5334435; 2.409    ;N 15.2602785; 4.7183215; 1.7576064;N 16.1367948; 2.347809 ; 1.0108164
16.4888838,6.984665000000001,2.1912264,O1,O,32;97;,
16.6779,6.6775,4.818,O2,O,32;96;,
16.1367948,9.025309,3.8071836,O4,O,32;153;,
15.2602785,8.6366785,7.878393599999999,O5,O,33;121;,
13.89825,6.5078915,7.226999999999999,O6,O,33;152;,
15.0212286,6.6775,0.0,O7,O,97;,
13.89825,10.01625,0.0,O8,O,34;,
13.89825,9.2109435,2.409,O9,O,34;153;,
16.961424299999997,7.660428,3.5768831999999997,T1,Si,24;25;26;156,16.4888838; 6.984665 ; 2.1912264;N 16.6779   ; 6.6775   ; 4.818    ;N 16.1367948; 9.025309 ; 3.8071836;N 18.531    ; 7.999645 ; 3.497868 
15.1639173,7.039420500000001,8.074967999999998,T2,Si,27;28;92;633,15.2602785; 8.6366785; 7.8783936;N 13.89825  ; 6.5078915; 7.227    ;N 16.4888838; 6.370335 ; 7.4447736;N 15.0212286; 6.6775   ; 9.636    
12.9642876,9.914752,1.2998963999999995,T3,Si,30;31;117;149,13.89825  ;10.01625  ; 0.       ;N 13.89825  ; 9.2109435; 2.409    ;N 12.5362215;11.3958215; 1.7576064;N 11.6597052; 9.025309 ; 1.0108164
7.223383799999999,0.3071650000000018,2.1912264,O1,O,43;,
7.412400000000001,13.355,4.818,O2,O,105;351;,
6.8712948,2.347809,3.8071836,O4,O,43;146;,
5.994778500000001,1.9591785000000013,7.878393599999999,O5,O,44;113;,
4.632750000000001,13.1853915,7.226999999999999,O6,O,352;447;,
5.7557286,13.355,0.0,O7,O,106;,
4.63275,3.33875,0.0,O8,O,45;,
4.63275,2.5334435,2.409,O9,O,45;146;,
7.6959243,0.9829279999999988,3.5768831999999997,T1,Si,14;35;37;100,9.26550000e+00;1.32214500e+00;3.49786800e+00;N 7.22338380e+00;3.07165000e-01;2.19122640e+00;N 6.87129480e+00;2.34780900e+00;3.80718360e+00;N 7.41240000e+00;2.95017414e-16;4.81800000e+00
5.898417300000001,0.3619204999999992,8.074967999999998,T2,Si,38;708,5.99477850e+00;1.95917850e+00;7.87839360e+00;N 5.75572860e+00;5.90034828e-16;9.63600000e+00
3.6987876,3.237252,1.2998963999999995,T3,Si,41;42;110;141,4.63275  ;3.33875  ;0.       ;N 4.63275  ;2.5334435;2.409    ;N 3.2707215;4.7183215;1.7576064;N 2.3942052;2.347809 ;1.0108164
2.042116200000001,13.047835,7.0092264,O1,O,55;447;,
1.8531000000000009,5.900348278291948e-16,9.636,O2,O,745;,
1.2459999244343064e-15,12.032855,8.315868,O3,O,55;,
2.3942052000000014,11.007191,8.6251836,O4,O,55;107;,
3.2707215000000005,11.3958215,3.0603936000000007,O5,O,56;138;,
4.63275,0.1696085,2.409,O6,O,,
3.5097714000000004,2.950174139145974e-16,4.818,O7,O,145;,
4.632750000000001,10.01625,4.818,O8,O,57;138;,
4.632750000000001,10.8215565,7.226999999999999,O9,O,57;107;,
