x,y,z,Site,Atom,Bonded Atoms,Bond Ends
4.714590900000002,4.961065150312167,4.603214400000001,O1,O,7;25;,
4.015987900000001,2.5071076905042338,3.9785665,O2,O,7;8;,
5.0449583,4.085782627781595,2.1460932,O3,O,7;9;,
2.6226993000000007,4.54264844057533,3.0662177000000006,O4,O,7;77;,
4.3261154,5.008504839399479e-16,4.7224418,O5,O,8;,
4.591845700000001,1.9371562804843272,6.479750000000001,O6,O,8;120;,
6.5296529,3.769142955548313,0.0,O7,O,9;,
4.098253300000001,4.024716405279461,3.4472270000000007,T1,Si,0;1;2;3,4.7145909 ;4.96106515;4.6032144 ;N 4.0159879 ;2.50710769;3.9785665 ;N 5.0449583 ;4.08578263;2.1460932 ;N 2.6226993 ;4.54264844;3.0662177 
4.8334187,1.5119544349139202,4.945345200000001,T2,Si,1;4;5;10,4.01598790e+00;2.50710769e+00;3.97856650e+00;N 4.32611540e+00;5.00850484e-16;4.72244180e+00;N 4.59184570e+00;1.93715628e+00;6.47975000e+00;N 6.40429610e+00;1.60242291e+00;4.60321440e+00
6.5296529,3.769142955548313,1.6069780000000002,T3,Si,2;6;12;20,5.0449583 ;4.08578263;2.1460932 ;N 6.5296529 ;3.76914296;0.        ;N 6.9971293 ;2.32617073;2.1460932 ;N 7.5449124 ;4.89660636;2.1460932 
6.404296100000001,1.6024229126948584,4.603214400000001,O1,O,8;16;,
8.8787871,2.224393697438804,3.9785665,O2,O,16;17;,
6.997129300000001,2.326170734942358,2.1460932,O3,O,9;16;,
7.812601400000001,3.2519545691600353e-16,3.0662177000000006,O4,O,16;,
-2.163057699999998,3.746525836103079,4.7224418,O5,O,78;,
9.0844506,3.0080768862161764,6.479750000000001,O6,O,17;128;,
7.523366699999999,1.5368332663036783,3.4472270000000007,T1,Si,10;11;12;13,6.40429610e+00;1.60242291e+00;4.60321440e+00;N 8.87878710e+00;2.22439370e+00;3.97856650e+00;N 6.99712930e+00;2.32617073e+00;2.14609320e+00;N 7.81260140e+00;3.25195457e-16;3.06621770e+00
9.3318997,3.429886163869797,4.945345200000001,T2,Si,11;15;18;182, 8.8787871 ; 2.2243937 ; 3.9785665 ;N  9.0844506 ; 3.00807689; 6.47975   ;N  8.468113  ; 4.74507166; 4.6032144 ;N 10.8949423 ; 3.74652584; 4.7224418 
8.468113,4.745071659610178,4.603214400000001,O1,O,17;24;,
6.692225000000002,6.577058334674164,3.9785665,O2,O,24;25;,
