x,y,z,Site,Atom,Bonded Atoms,Bond Ends
6.5263646565037355e-16,2.321038148784289,1.8119400000000003,O1,O,7;62;,
11.2065267,1.4245963739732144,1.941927,O2,O,151;,
-1.761894899999999,3.051691484396486,0.0,O3,O,7;,
-1.9622189999999984,3.948133259207561,2.4618750000000005,O4,O,7;63;,
-0.0006836999999982,5.576412572767968,3.1059015000000008,O5,O,8;63;,
1.753690500000002,4.837469815195828,4.923750000000001,O6,O,8;111;,
2.468840700000001,6.469301738167639,2.9897010000000006,O7,O,8;58;,
-1.5465293999999994,2.6857727150218205,1.5519660000000002,T1,Si,0;2;3, 6.52636466e-16; 2.32103815e+00; 1.81194000e+00;N -1.76189490e+00; 3.05169148e+00; 0.00000000e+00;N -1.96221900e+00; 3.94813326e+00; 2.46187500e+00
1.5451620000000006,5.208125397119033,3.3717840000000003,T2,Si,4;5;6;60,-6.83700000e-04; 5.57641257e+00; 3.10590150e+00;N  1.75369050e+00; 4.83746982e+00; 4.92375000e+00;N  2.46884070e+00; 6.46930174e+00; 2.98970100e+00;N  1.96221900e+00; 3.94813326e+00; 2.46187500e+00
4.8269220000000015,10.681512296956267,1.8119400000000003,O1,O,16;57;,
6.8370000000000015,8.992838623401987,1.941927,O2,O,16;211;,
5.075105100000001,8.790339886951926,0.0,O3,O,16;,
4.398925800000003,8.168633239956135,2.4618750000000005,O4,O,16;58;,
2.0080269000000026,9.053232983395862,3.1059015000000008,O5,O,17;58;,
1.7707830000000035,10.942036987125936,4.923750000000001,O6,O,17;118;,
2.398655167111539e-15,10.74545926636155,2.9897010000000006,O7,O,17;68;,
5.284317300000002,9.159811265737998,1.5519660000000002,T1,Si,9;10;11;12, 4.826922  ;10.6815123 ; 1.81194   ;N  6.837     ; 8.99283862; 1.941927  ;N  5.0751051 ; 8.79033989; 0.        ;N  4.3989258 ; 8.16863324; 2.461875  
1.5540501000000029,10.576118217751269,3.3717840000000003,T2,Si,13;14;15;55,2.00802690e+00;9.05323298e+00;3.10590150e+00;N 1.77078300e+00;1.09420370e+01;4.92375000e+00;N 2.39865517e-15;1.07454593e+01;2.98970100e+00;N 2.43670680e+00;1.15672962e+01;2.46187500e+00
-4.826921999999998,10.681512296956267,1.8119400000000003,O1,O,25;67;,
2.4674732999999995,1.424596373973214,1.941927,O2,O,62;,
3.5237898,0.0,0.0,O3,O,,
-2.436706799999998,11.56729624353313,2.4618750000000005,O4,O,25;68;,
-2.007343199999998,9.054417186532996,3.1059015000000008,O5,O,26;68;,
-3.5244734999999983,7.904555940375067,4.923750000000001,O6,O,26;125;,
-2.468840699999998,6.469301738167639,2.9897010000000006,O7,O,26;63;,
-3.7377878999999976,11.83847876193701,1.5519660000000002,T1,Si,18;21;307;308,-4.826922  ;10.6815123 ; 1.81194   ;N -2.4367068 ;11.56729624; 2.461875  ;N -4.3695267 ;13.26662775; 1.941927  ;N -3.3132102 ;11.84203137; 0.        
-3.0992120999999977,7.899819127826527,3.3717840000000003,T2,Si,22;23;24;65,-2.0073432 ; 9.05441719; 3.1059015 ;N -3.5244735 ; 7.90455594; 4.92375   ;N -2.4688407 ; 6.46930174; 2.989701  ;N -4.3989258 ; 8.16863324; 2.461875  
6.837000000000002,9.520993222564128,11.659440000000002,O1,O,34;77;,
