x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.8643188,0.0,0.0,O1,O,,
6.268449674027341e-16,1.3500380000000003,8.8871172,O2,O,7;,
2.1810000000000005,0.6058120000000005,7.6245,O3,O,7;91;,
2.2979016000000008,2.4874400000000003,9.4533634,O4,O,7;8;,
4.362000000000001,4.066162,9.0538396,O5,O,8;24;,
2.181000000000001,4.373080000000001,7.6245,O6,O,8;92;,
2.1810000000000005,5.015,0.0,O7,O,75;,
1.5834060000000003,1.1073120000000003,9.0335076,T1,Si,1;2;3;392,6.26844967e-16;1.35003800e+00;8.88711720e+00;N 2.18100000e+00;6.05812000e-01;7.62450000e+00;N 2.29790160e+00;2.48744000e+00;9.45336340e+00;N 1.86431880e+00;6.22487968e-16;1.01660000e+01
2.756784000000001,3.983916,9.0751882,T2,Si,3;4;5;398, 2.2979016; 2.48744  ; 9.4533634;N  4.362    ; 4.066162 ; 9.0538396;N  2.181    ; 4.37308  ; 7.6245   ;N  2.181    ; 5.015    ;10.166    
6.226318800000001,10.03,0.0,O1,O,81;,
4.362000000000002,11.380038,8.8871172,O2,O,16;31;,
6.543000000000002,10.635812,7.6245,O3,O,16;86;,
6.659901600000002,12.51744,9.4533634,O4,O,16;17;,
8.724,14.096162,9.0538396,O5,O,17;131;,
6.543000000000002,14.40308,7.6245,O6,O,17;87;,
6.543000000000001,15.044999999999998,0.0,O7,O,70;,
5.945406000000002,11.137312,9.0335076,T1,Si,10;11;12;401, 4.362    ;11.380038 ; 8.8871172;N  6.543    ;10.635812 ; 7.6245   ;N  6.6599016;12.51744  ; 9.4533634;N  6.2263188;10.03     ;10.166    
7.118784000000002,14.013915999999998,9.0751882,T2,Si,12;13;14;407, 6.6599016;12.51744  ; 9.4533634;N  8.724    ;14.096162 ; 9.0538396;N  6.543    ;14.40308  ; 7.6245   ;N  6.543    ;15.045    ;10.166    
6.8596812,0.0,0.0,O1,O,,
6.543000000000001,0.6058120000000005,7.6245,O3,O,23;98;,
6.426098400000001,2.4874400000000003,9.4533634,O4,O,23;24;,
6.543000000000001,4.373080000000001,7.6245,O6,O,24;99;,
6.543,5.015,0.0,O7,O,82;,
7.140594000000001,1.1073120000000003,9.0335076,T1,Si,19;20;101;410,6.54300000e+00;6.05812000e-01;7.62450000e+00;N 6.42609840e+00;2.48744000e+00;9.45336340e+00;N 8.72400000e+00;1.35003800e+00;8.88711720e+00;N 6.85968120e+00;6.22487968e-16;1.01660000e+01
5.9672160000000005,3.983916,9.0751882,T2,Si,4;20;21;414, 4.362    ; 4.066162 ; 9.0538396;N  6.4260984; 2.48744  ; 9.4533634;N  6.543    ; 4.37308  ; 7.6245   ;N  6.543    ; 5.015    ;10.166    
2.4976812000000006,10.03,0.0,O1,O,74;,
2.181000000000001,10.635812,7.6245,O3,O,31;94;,
2.064098400000001,12.51744,9.4533634,O4,O,31;32;,
1.4175287679848053e-15,14.096162,9.0538396,O5,O,32;,
2.1810000000000014,14.40308,7.6245,O6,O,32;95;,
2.181000000000001,15.044999999999998,0.0,O7,O,78;,
2.7785940000000013,11.137312,9.0335076,T1,Si,10;26;27;417, 4.362    ;11.380038 ; 8.8871172;N  2.181    ;10.635812 ; 7.6245   ;N  2.0640984;12.51744  ; 9.4533634;N  2.4976812;10.03     ;10.166    
1.6052160000000015,14.013915999999998,9.0751882,T2,Si,27;28;29;422,2.06409840e+00;1.25174400e+01;9.45336340e+00;N 1.41752877e-15;1.40961620e+01;9.05383960e+00;N 2.18100000e+00;1.44030800e+01;7.62450000e+00;N 2.18100000e+00;1.50450000e+01;1.01660000e+01
1.8643188000000008,10.03,5.083,O1,O,40;94;,
7.644293816291025e-16,8.679962,3.804117200000001,O2,O,40;,
2.1810000000000005,9.424188,2.5415,O3,O,40;74;,
2.297901600000001,7.54256,4.3703634,O4,O,40;41;,
4.362,5.963838,3.9708396000000006,O5,O,41;57;,
2.1810000000000005,5.65692,2.5415,O6,O,41;75;,
2.181000000000001,5.015,5.083,O7,O,41;92;,
1.5834060000000008,8.922687999999999,3.950507599999999,T1,Si,33;34;35;36,1.86431880e+00;1.00300000e+01;5.08300000e+00;N 7.64429382e-16;8.67996200e+00;3.80411720e+00;N 2.18100000e+00;9.42418800e+00;2.54150000e+00;N 2.29790160e+00;7.54256000e+00;4.37036340e+00
2.756784000000001,6.046084,3.9921882000000006,T2,Si,36;37;38;39,2.2979016;7.54256  ;4.3703634;N 4.362    ;5.963838 ;3.9708396;N 2.181    ;5.65692  ;2.5415   ;N 2.181    ;5.015    ;5.083    
6.2263188000000005,3.112439840032998e-16,5.083,O1,O,98;,
4.362000000000001,18.709962,3.804117200000001,O2,O,49;64;,
6.543000000000001,19.454188,2.5415,O3,O,49;69;,
6.659901600000001,17.57256,4.3703634,O4,O,49;50;,
8.724000000000002,15.993837999999998,3.9708396000000006,O5,O,50;163;,
6.543000000000001,15.68692,2.5415,O6,O,50;70;,
6.543000000000001,15.044999999999998,5.083,O7,O,50;87;,
5.945406000000001,18.952688,3.950507599999999,T1,Si,43;44;45;238, 4.362    ;18.709962 ; 3.8041172;N  6.543    ;19.454188 ; 2.5415   ;N  6.6599016;17.57256  ; 4.3703634;N  6.2263188;20.06     ; 5.083    
7.1187840000000016,16.076083999999998,3.9921882000000006,T2,Si,45;46;47;48, 6.6599016;17.57256  ; 4.3703634;N  8.724    ;15.993838 ; 3.9708396;N  6.543    ;15.68692  ; 2.5415   ;N  6.543    ;15.045    ; 5.083    
6.859681200000001,10.03,5.083,O1,O,56;86;,
6.543000000000001,9.424188,2.5415,O3,O,56;81;,
6.426098400000001,7.54256,4.3703634,O4,O,56;57;,
6.543,5.65692,2.5415,O6,O,57;82;,
6.543,5.015,5.083,O7,O,57;99;,
7.140594000000001,8.922687999999999,3.950507599999999,T1,Si,51;52;53;133, 6.8596812;10.03     ; 5.083    ;N  6.543    ; 9.424188 ; 2.5415   ;N  6.4260984; 7.54256  ; 4.3703634;N  8.724    ; 8.679962 ; 3.8041172
5.967216,6.046084,3.9921882000000006,T2,Si,37;53;54;55,4.362    ;5.963838 ;3.9708396;N 6.4260984;7.54256  ;4.3703634;N 6.543    ;5.65692  ;2.5415   ;N 6.543    ;5.015    ;5.083    
2.4976812000000006,3.112439840032998e-16,5.083,O1,O,91;,
2.1810000000000014,19.454188,2.5415,O3,O,64;77;,
2.064098400000001,17.57256,4.3703634,O4,O,64;65;,
1.222483925942443e-15,15.993837999999998,3.9708396000000006,O5,O,65;,
2.181000000000001,15.68692,2.5415,O6,O,65;78;,
2.1810000000000014,15.044999999999998,5.083,O7,O,65;95;,
2.778594000000002,18.952688,3.950507599999999,T1,Si,43;59;60;254, 4.362    ;18.709962 ; 3.8041172;N  2.181    ;19.454188 ; 2.5415   ;N  2.0640984;17.57256  ; 4.3703634;N  2.4976812;20.06     ; 5.083    
1.605216000000001,16.076083999999998,3.9921882000000006,T2,Si,60;61;62;63,2.06409840e+00;1.75725600e+01;4.37036340e+00;N 1.22248393e-15;1.59938380e+01;3.97083960e+00;N 2.18100000e+00;1.56869200e+01;2.54150000e+00;N 2.18100000e+00;1.50450000e+01;5.08300000e+00
1.2239637401486606e-15,18.709962,1.2788828000000003,O2,O,77;,
6.426098400000001,17.57256,0.7126366000000005,O4,O,69;70;,
4.362000000000001,15.993837999999998,1.1121604000000005,O5,O,70;78;,
7.140594000000001,18.952688,1.1324924000000005,T1,Si,44;67;164;214, 6.543    ;19.454188 ; 2.5415   ;N  6.4260984;17.57256  ; 0.7126366;N  8.724    ;18.709962 ; 1.2788828;N  6.8596812;20.06     ; 0.       
5.9672160000000005,16.076083999999998,1.0908117999999996,T2,Si,15;47;67;68, 6.543    ;15.045    ; 0.       ;N  6.543    ;15.68692  ; 2.5415   ;N  6.4260984;17.57256  ; 0.7126366;N  4.362    ;15.993838 ; 1.1121604
4.362000000000001,8.679962,1.2788828000000003,O2,O,74;81;,
2.0640984,7.54256,0.7126366000000005,O4,O,74;75;,
4.3327993956658973e-16,5.963838,1.1121604000000005,O5,O,75;,
2.7785940000000005,8.922687999999999,1.1324924000000005,T1,Si,25;35;71;72, 2.4976812;10.03     ; 0.       ;N  2.181    ; 9.424188 ; 2.5415   ;N  4.362    ; 8.679962 ; 1.2788828;N  2.0640984; 7.54256  ; 0.7126366
1.6052160000000004,6.046084,1.0908117999999996,T2,Si,6;38;72;73,2.1810000e+00;5.0150000e+00;0.0000000e+00;N 2.1810000e+00;5.6569200e+00;2.5415000e+00;N 2.0640984e+00;7.5425600e+00;7.1263660e-01;N 4.3327994e-16;5.9638380e+00;1.1121604e+00
2.297901600000001,17.57256,0.7126366000000005,O4,O,77;78;,
1.5834060000000012,18.952688,1.1324924000000005,T1,Si,59;66;76;196,2.18100000e+00;1.94541880e+01;2.54150000e+00;N 1.22396374e-15;1.87099620e+01;1.27888280e+00;N 2.29790160e+00;1.75725600e+01;7.12636600e-01;N 1.86431880e+00;2.00600000e+01;0.00000000e+00
2.756784000000001,16.076083999999998,1.0908117999999996,T2,Si,30;62;68;76, 2.181    ;15.045    ; 0.       ;N  2.181    ;15.68692  ; 2.5415   ;N  4.362    ;15.993838 ; 1.1121604;N  2.2979016;17.57256  ; 0.7126366
6.659901600000001,7.54256,0.7126366000000005,O4,O,81;82;,
8.724,5.963838,1.1121604000000005,O5,O,82;172;,
5.945406000000001,8.922687999999999,1.1324924000000005,T1,Si,9;52;71;79, 6.2263188;10.03     ; 0.       ;N  6.543    ; 9.424188 ; 2.5415   ;N  4.362    ; 8.679962 ; 1.2788828;N  6.6599016; 7.54256  ; 0.7126366
