x,y,z,Site,Atom,Bonded Atoms,Bond Ends
12.5348059,2.439693848202522,4.217331300000001,O1,O,117;468;,
12.046464,0.0,0.0,O2,O,4;,
10.455954300000002,1.97240282159803,0.6994301999999999,O3,O,4;60;,
12.8913896,1.822072762651624,1.6868313,O4,O,4;117;,
11.9826763,1.5594479608777814,0.3861543,T1,Si,1;2;3,12.046464  ; 0.        ; 0.        ;N 10.4559543 ; 1.97240282; 0.6994302 ;N 12.8913896 ; 1.82207276; 1.6868313 
2.0778059000000013,8.477045613118438,0.8433313000000003,O1,O,9;,
1.5894640000000009,6.0373517649159165,1.6869999999999998,O2,O,9;111;,
-0.0010456999999956,8.009754586513948,2.3864302,O3,O,9;64;,
2.434389600000001,7.85942452756754,3.3738313,O4,O,9;113;,
1.5256763000000015,7.596799725793699,2.0731543,T1,Si,5;6;7;8, 2.07780590e+00; 8.47704561e+00; 8.43331300e-01;N  1.58946400e+00; 6.03735176e+00; 1.68700000e+00;N -1.04570000e-03; 8.00975459e+00; 2.38643020e+00;N  2.43438960e+00; 7.85942453e+00; 3.37383130e+00
-8.379194099999996,14.514397378034356,2.5303313,O1,O,116;,
12.046464000000004,12.074703529831831,3.374,O2,O,14;112;,
10.455954300000004,14.047106351429864,4.0734302,O3,O,14;68;,
-8.022610399999996,13.896776292483455,5.0608313,O4,O,576;,
11.982676300000008,13.634151490709614,3.7601543,T1,Si,11;12;114;130,12.046464  ;12.07470353; 3.374     ;N 10.4559543 ;14.04710635; 4.0734302 ;N 12.5337602 ;14.51379364; 2.5306687 ;N 12.8913896 ;13.89677629; 5.0608313 
12.533760200000003,9.635613416805803,4.217331300000001,O1,O,112;483;,
-6.023231999999997,10.432543849774705,0.0,O2,O,,
13.977871900000004,8.068920633810123,0.6994301999999999,O3,O,19;48;,
12.890343900000005,10.2532345023567,1.6868313,O4,O,19;112;,
13.572140300000004,9.597578100686832,0.3861543,T1,Si,17;18;133,13.9778719 ; 8.06892063; 0.6994302 ;N 12.8903439 ;10.2532345 ; 1.6868313 ;N 14.890768  ;10.43254385; 0.        
2.0767602000000056,15.67296518172172,0.8433313000000003,O1,O,24;,
4.433768000000005,16.46989561469062,1.6869999999999998,O2,O,24;107;,
3.5208719000000044,14.10627239872604,2.3864302,O3,O,24;52;,
2.433343900000004,16.29058626727262,3.3738313,O4,O,24;109;,
3.115140300000005,15.63492986560275,2.0731543,T1,Si,20;21;22;23, 2.0767602 ;15.67296518; 0.8433313 ;N  4.433768  ;16.46989561; 1.687     ;N  3.5208719 ;14.1062724 ; 2.3864302 ;N  2.4333439 ;16.29058627; 3.3738313 
2.076760200000002,3.5982616518898847,2.5303313,O1,O,29;111;,
4.433768000000002,4.395192084858786,3.374,O2,O,29;108;,
3.520871900000003,2.031568868894204,4.0734302,O3,O,29;56;,
2.433343900000003,4.215882737440784,5.0608313,O4,O,29;572;,
3.1151403000000024,3.5602263357709147,3.7601543,T1,Si,25;26;27;28,2.0767602 ;3.59826165;2.5303313 ;N 4.433768  ;4.39519208;3.374     ;N 3.5208719 ;2.03156887;4.0734302 ;N 2.4333439 ;4.21588274;5.0608313 
6.3024339000000005,6.036748029739427,4.217331300000001,O1,O,108;498;,
4.433768000000002,7.679511444973047,0.0,O2,O,34;,
6.937173800000003,8.070731839339597,0.6994301999999999,O3,O,34;72;,
5.589266500000003,6.036748029739426,1.6868313,O4,O,34;108;,
5.816183400000001,6.9550292331831365,0.3861543,T1,Si,31;32;33,4.433768  ;7.67951144;0.        ;N 6.9371738 ;8.07073184;0.6994302 ;N 5.5892665 ;6.03674803;1.6868313 
-4.154566099999999,12.074099794655345,0.8433313000000003,O1,O,39;,
-6.0232319999999975,13.716863209888963,1.6869999999999998,O2,O,39;116;,
-3.519826199999996,14.108083604255514,2.3864302,O3,O,39;76;,
-4.867733499999997,12.074099794655345,3.3738313,O4,O,39;104;,
-4.640816599999999,12.992380998099057,2.0731543,T1,Si,35;36;37;38,-4.1545661 ;12.07409979; 0.8433313 ;N -6.023232  ;13.71686321; 1.687     ;N -3.5198262 ;14.1080836 ; 2.3864302 ;N -4.8677335 ;12.07409979; 3.3738313 
6.302433900000002,18.11145155957126,2.5303313,O1,O,107;278;,
14.890768000000003,1.64215968005713,3.374,O2,O,44;117;,
17.394173799999997,2.0333800744236807,4.0734302,O3,O,44;80;,
5.589266500000006,18.11145155957126,5.0608313,O4,O,278;569;,
16.273183399999997,0.9176774682672192,3.7601543,T1,Si,41;42;105;568,1.48907680e+01;1.64215968e+00;3.37400000e+00;N 1.73941738e+01;2.03338007e+00;4.07343020e+00;N 1.67594339e+01;6.03735176e-04;2.53066870e+00;N 1.60462665e+01;6.03735176e-04;5.06116870e+00
14.611566100000005,6.036748029739427,4.217331300000001,O1,O,103;512;,
-4.433767999999999,7.679511444973047,0.0,O2,O,,
15.324733500000002,6.036748029739426,1.6868313,O4,O,48;103;,
15.097816600000003,6.9550292331831365,0.3861543,T1,Si,17;47;163,13.9778719 ; 8.06892063; 0.6994302 ;N 15.3247335 ; 6.03674803; 1.6868313 ;N 16.480232  ; 7.67951144; 0.        
4.154566100000004,12.074099794655345,0.8433313000000003,O1,O,52;,
6.023232000000004,13.716863209888963,1.6869999999999998,O2,O,52;93;,
4.867733500000002,12.074099794655345,3.3738313,O4,O,52;97;,
4.640816600000004,12.992380998099057,2.0731543,T1,Si,22;49;50;51, 3.5208719 ;14.1062724 ; 2.3864302 ;N  4.1545661 ;12.07409979; 0.8433313 ;N  6.023232  ;13.71686321; 1.687     ;N  4.8677335 ;12.07409979; 3.3738313 
-6.302433899999996,18.11145155957126,2.5303313,O1,O,101;290;,
6.023232000000001,1.64215968005713,3.374,O2,O,56;95;,
-5.589266499999996,18.11145155957126,5.0608313,O4,O,290;563;,
4.640816600000001,0.9176774682672192,3.7601543,T1,Si,27;54;98;562,3.52087190e+00;2.03156887e+00;4.07343020e+00;N 6.02323200e+00;1.64215968e+00;3.37400000e+00;N 4.15456610e+00;6.03735176e-04;2.53066870e+00;N 4.86773350e+00;6.03735176e-04;5.06116870e+00
8.3791941,2.439693848202522,4.217331300000001,O1,O,95;524;,
8.867536000000001,0.0,0.0,O2,O,60;,
8.022610400000001,1.822072762651624,1.6868313,O4,O,60;95;,
8.9313237,1.5594479608777814,0.3861543,T1,Si,2;58;59,10.4559543 ; 1.97240282; 0.6994302 ;N  8.867536  ; 0.        ; 0.        ;N  8.0226104 ; 1.82207276; 1.6868313 
-2.0778058999999987,8.477045613118438,0.8433313000000003,O1,O,64;,
-1.589463999999998,6.0373517649159165,1.6869999999999998,O2,O,64;86;,
-2.434389599999997,7.85942452756754,3.3738313,O4,O,64;90;,
