x,y,z,Site,Atom,Bonded Atoms,Bond Ends
6.8224536,10.2255,6.6347273,O1,O,5;38;,
5.903522000000001,12.1192626,5.056701,O2,O,5;31;,
5.347254800000001,12.1642548,0.0,O3,O,71;,
7.793194400000001,12.6578056,6.8040467,O4,O,5;186;,
1.6497140000000008,10.2255,3.3879134,O5,O,6;39;,
6.465242800000001,11.7906832,6.528712,T1,Si,0;1;3;290, 6.8224536;10.2255   ; 6.6347273;N  5.903522 ;12.1192626; 5.056701 ;N  7.7931944;12.6578056; 6.8040467;N  5.3472548;12.1642548; 7.627    
1.871948200000001,11.7620518,3.8135,T2,Si,4;28;52;60, 1.649714 ;10.2255   ; 3.3879134;N  0.913478 ;12.1192626; 5.056701 ;N  3.4085   ;11.984286 ; 4.2390866;N  1.5147374;12.720522 ; 2.570299 
10.2255,6.822453599999999,6.6347273,O1,O,12;34;,
8.3317374,5.903522,5.056701,O2,O,12;43;,
8.2867452,5.3472548,0.0,O3,O,69;,
7.793194400000001,7.7931944,6.8040467,O4,O,12;38;,
10.2255,1.649714,3.3879134,O5,O,13;35;,
8.6603168,6.4652428,6.528712,T1,Si,7;8;10;297,10.2255   ; 6.8224536; 6.6347273;N  8.3317374; 5.903522 ; 5.056701 ;N  7.7931944; 7.7931944; 6.8040467;N  8.2867452; 5.3472548; 7.627    
8.6889482,1.8719482000000005,3.8135,T2,Si,11;40;45;57,10.2255   ; 1.649714 ; 3.3879134;N  8.3317374; 0.913478 ; 5.056701 ;N  7.730478 ; 1.5147374; 2.570299 ;N  8.466714 ; 3.4085   ; 4.2390866
13.6285464,10.2255,6.6347273,O1,O,91;102;,
0.913478000000001,8.3317374,5.056701,O2,O,19;39;,
1.4697452000000006,8.2867452,0.0,O3,O,67;,
12.6578056,7.7931944,6.8040467,O4,O,34;91;,
5.167286000000001,10.2255,3.3879134,O5,O,20;31;,
0.3517572000000008,8.6603168,6.528712,T1,Si,15;304,0.913478 ;8.3317374;5.056701 ;N 1.4697452;8.2867452;7.627    
4.945051800000002,8.6889482,3.8135,T2,Si,18;36;50;62, 5.167286 ;10.2255   ; 3.3879134;N  5.903522 ; 8.3317374; 5.056701 ;N  5.3022626; 7.730478 ; 2.570299 ;N  3.4085   ; 8.466714 ; 4.2390866
10.2255,13.6285464,6.6347273,O1,O,170;186;,
12.1192626,0.9134780000000003,5.056701,O2,O,26;35;,
12.1642548,1.4697452000000002,0.0,O3,O,65;,
12.6578056,12.6578056,6.8040467,O4,O,102;170;,
10.2255,5.167286,3.3879134,O5,O,27;43;,
11.7906832,0.3517572000000002,6.528712,T1,Si,22;311,12.1192626; 0.913478 ; 5.056701 ;N 12.1642548; 1.4697452; 7.627    
11.7620518,4.945051800000001,3.8135,T2,Si,25;32;47;55,10.2255   ; 5.167286 ; 3.3879134;N 12.1192626; 5.903522 ; 5.056701 ;N 11.984286 ; 3.4085   ; 4.2390866;N 12.720522 ; 5.3022626; 2.570299 
0.9134780000000012,12.1192626,5.056701,O2,O,6;30;,
1.4697452000000009,12.1642548,0.0,O3,O,63;,
0.351757200000001,11.7906832,6.528712,T1,Si,28;317, 0.913478 ;12.1192626; 5.056701 ;N  1.4697452;12.1642548; 7.627    
4.945051800000002,11.7620518,3.8135,T2,Si,1;18;52;70, 5.903522 ;12.1192626; 5.056701 ;N  5.167286 ;10.2255   ; 3.3879134;N  3.4085   ;11.984286 ; 4.2390866;N  5.3022626;12.720522 ; 2.570299 
12.1192626,5.903522,5.056701,O2,O,27;34;,
12.1642548,5.3472548,0.0,O3,O,58;,
11.7906832,6.4652428,6.528712,T1,Si,7;17;32;321,10.2255   ; 6.8224536; 6.6347273;N 12.6578056; 7.7931944; 6.8040467;N 12.1192626; 5.903522 ; 5.056701 ;N 12.1642548; 5.3472548; 7.627    
11.7620518,1.8719482000000005,3.8135,T2,Si,11;22;47;64,10.2255   ; 1.649714 ; 3.3879134;N 12.1192626; 0.913478 ; 5.056701 ;N 11.984286 ; 3.4085   ; 4.2390866;N 12.720522 ; 1.5147374; 2.570299 
5.903522000000001,8.3317374,5.056701,O2,O,20;38;,
5.347254800000001,8.2867452,0.0,O3,O,53;,
6.465242800000001,8.6603168,6.528712,T1,Si,0;10;36;325, 6.8224536;10.2255   ; 6.6347273;N  7.7931944; 7.7931944; 6.8040467;N  5.903522 ; 8.3317374; 5.056701 ;N  5.3472548; 8.2867452; 7.627    
1.8719482000000007,8.6889482,3.8135,T2,Si,4;15;62;66, 1.649714 ;10.2255   ; 3.3879134;N  0.913478 ; 8.3317374; 5.056701 ;N  3.4085   ; 8.466714 ; 4.2390866;N  1.5147374; 7.730478 ; 2.570299 
8.3317374,0.9134780000000003,5.056701,O2,O,13;42;,
8.2867452,1.4697452000000002,0.0,O3,O,48;,
8.6603168,0.3517572000000002,6.528712,T1,Si,40;329,8.3317374;0.913478 ;5.056701 ;N 8.2867452;1.4697452;7.627    
8.6889482,4.945051800000001,3.8135,T2,Si,8;25;57;68, 8.3317374; 5.903522 ; 5.056701 ;N 10.2255   ; 5.167286 ; 3.3879134;N  8.466714 ; 3.4085   ; 4.2390866;N  7.730478 ; 5.3022626; 2.570299 
6.811546400000001,3.4085,0.9922727,O1,O,48;69;,
7.730478,1.5147374,2.570299,O2,O,13;48;,
5.8408056,0.9761944,0.8229533,O4,O,48;,
11.984286,3.4085000000000005,4.2390866,O5,O,27;35;,
7.168757200000001,1.8433168,1.0982880000000002,T1,Si,41;44;45;46,8.2867452;1.4697452;0.       ;N 6.8115464;3.4085   ;0.9922727;N 7.730478 ;1.5147374;2.570299 ;N 5.8408056;0.9761944;0.8229533
3.4085000000000005,6.811546400000001,0.9922727,O1,O,53;67;,
5.3022626000000015,7.730478,2.570299,O2,O,20;53;,
