x,y,z,Site,Atom,Bonded Atoms,Bond Ends
7.679224784337145e-16,7.916123,4.6250028,O1,O,95;,
10.973261,8.386059,6.4885,O2,O,7;77;,
10.648903,6.385,4.8144670000000005,O3,O,77;88;,
10.424151,8.864934,9.0242058,O4,O,7;47;,
6.88417318297417e-16,11.242708,0.0,O5,O,28;,
1.3071368644060204e-16,1.3071368644060204e-16,2.1347165,O6,O,9;,
11.458521,2.294769,2.1334188,O7,O,52;109;,
11.19929,7.89186,8.0042136,T1,Si,1;3;74;173,10.973261 ; 8.386059 ; 6.4885   ;N 10.424151 ; 8.864934 ; 9.0242058;N 10.648903 ; 6.385    ; 8.162533 ;N 12.77     ; 7.916123 ; 8.3519972
10.30539,10.30539,3.24425,T2,Si,44;50;75;83, 8.864934 ;10.424151 ; 2.5357058;N 11.458521 ;10.475231 ; 2.1334188;N 10.424151 ; 8.864934 ; 3.9527942;N 10.475231 ;11.458521 ; 4.3550812
1.9157986312825864e-16,1.522184,1.6065526,T3,Si,5;24;40,1.30713686e-16;1.30713686e-16;2.13471650e+00;N 9.35196630e-17;1.52729200e+00;0.00000000e+00;N 1.31147900e+00;2.29476900e+00;2.13341880e+00
4.853877000000001,6.805057815667575e-16,11.1135028,O1,O,92;,
4.383941000000002,10.973261,12.977,O2,O,84;417;,
6.385000000000002,10.648903,11.302967,O3,O,84;99;,
3.905066,10.424151,2.5357058,O4,O,17;42;,
1.527292000000001,3.9730603781338014e-16,6.4885,O5,O,37;72;,
5.280197242539821e-16,5.280197242539821e-16,8.6232165,O6,O,37;,
10.475231,11.458521,8.6219188,O7,O,47;219;,
4.878140000000001,11.19929,1.5157136000000002,T1,Si,13;80;81;279, 3.905066 ;10.424151 ; 2.5357058;N  4.383941 ;10.973261 ; 0.       ;N  6.385    ;10.648903 ; 1.674033 ;N  4.853877 ;12.77     ; 1.8634972
2.46461,10.30539,9.73275,T2,Si,39;45;62;82, 2.345849 ; 8.864934 ; 9.0242058;N  2.294769 ;11.458521 ; 8.6219188;N  1.311479 ;10.475231 ;10.8435812;N  3.905066 ;10.424151 ;10.4412942
11.247816,4.95679012775973e-16,8.0950526,T3,Si,33;55;115,1.12427080e+01;3.97306038e-16;6.48850000e+00;N 1.04752310e+01;1.31147900e+00;8.62191880e+00;N 1.27700000e+01;5.28019724e-16;8.62321650e+00
5.804139903286252e-16,4.853877,4.6250028,O1,O,63;,
1.7967390000000012,4.383941,6.4885,O2,O,26;63;,
2.121097000000001,6.385,4.8144670000000005,O3,O,63;95;,
2.3458490000000003,3.905066,9.0242058,O4,O,26;57;,
9.3519662958168e-17,1.5272920000000003,0.0,O5,O,9;,
1.311479000000001,10.475231,2.1334188,O7,O,28;42;,
1.5707100000000005,4.878140000000001,8.0042136,T1,Si,21;23;58;59,1.79673900e+00;4.38394100e+00;6.48850000e+00;N 2.34584900e+00;3.90506600e+00;9.02420580e+00;N 8.08626578e-16;4.85387700e+00;8.35199720e+00;N 2.12109700e+00;6.38500000e+00;8.16253300e+00
2.464609999999999,2.464609999999999,3.24425,T2,Si,40;54;60;70,1.311479 ;2.294769 ;2.1334188;N 3.905066 ;2.345849 ;2.5357058;N 2.345849 ;3.905066 ;3.9527942;N 2.294769 ;1.311479 ;4.3550812
7.871030680525122e-16,11.247816,1.6065526,T3,Si,4;25;205,6.88417318e-16;1.12427080e+01;0.00000000e+00;N 1.31147900e+00;1.04752310e+01;2.13341880e+00;N 9.12650668e-16;1.27700000e+01;2.13471650e+00
7.916123000000001,6.805057815667575e-16,11.1135028,O1,O,71;,
8.386059,1.7967390000000014,12.977,O2,O,71;435;,
