x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.709083006890034e-15,25.70276236,2.2086813000000003,O1,O,21;23;,
5.76422112,9.72334286,3.51925,O2,O,20;47;,
3.125469920000001,13.31201696,3.51925,O3,O,16;210;,
2.3883174400000007,12.32647064,1.182468,O4,O,16;19;,
4.193704320000001,14.20829278,1.2824147,O5,O,16;199;,
4.786539040000001,11.80513092,2.2072736,O6,O,16;20;,
2.016204,1.72827688,3.51925,O7,O,17;211;,
2.45198704,2.9459265,1.2232913,O8,O,17;,
1.7388875199999998,0.43564004,1.2415914,O9,O,17;22;,
2.5846896789092103e-16,2.29960808,1.9215105,O10,O,17;,
1.6522388556334817e-15,23.46385822,3.51925,O11,O,21;115;,
8.38599376,5.77044512,1.2303298,O12,O,45;,
2.0412166081858048e-15,29.816347,3.51925,O13,O,134;,
3.592380320000001,1.2533578200000008,13.6659516,O14,O,18;,
4.895484799999999,3.43155802,0.3645943,O15,O,,
8.55047681195598e-16,13.326300239999998,0.6376881,O16,O,19;,
3.622092800000001,12.908514299999998,2.0397573,T1,Si,2;3;4;5, 3.12546992;13.31201696; 3.51925   ;N  2.38831744;12.32647064; 1.182468  ;N  4.19370432;14.20829278; 1.2824147 ;N  4.78653904;11.80513092; 2.2072736 
1.5436340800000004,1.85325558,1.9862647,T2,Si,6;7;8;9,2.01620400e+00;1.72827688e+00;3.51925000e+00;N 2.45198704e+00;2.94592650e+00;1.22329130e+00;N 1.73888752e+00;4.35640040e-01;1.24159140e+00;N 2.58468968e-16;2.29960808e+00;1.92151050e+00
3.459381600000001,2.8138061600000004,14.048846,T3,Si,13;190, 3.59238032; 1.25335782;13.6659516 ;N  2.88069568; 3.64580722;12.7945853 
1.477134720000001,13.033492999999998,0.0605311,T4,Si,3;15,2.38831744e+00;1.23264706e+01;1.18246800e+00;N 8.55047681e-16;1.33263002e+01;6.37688100e-01
5.591605760000001,11.326641039999998,3.51925,T5,Si,1;5;36;204, 5.76422112; 9.72334286; 3.51925   ;N  4.78653904;11.80513092; 2.2072736 ;N  7.0744    ;11.962247  ; 3.51925   ;N  4.78653904;11.80513092; 4.8312264 
1.600393302354371e-15,24.09946418,2.0369419,T6,Si,0;10;35,1.70908301e-15;2.57027624e+01;2.20868130e+00;N 1.65223886e-15;2.34638582e+01;3.51925000e+00;N 1.31159376e+00;2.36245451e+01;1.23032980e+00
2.66846368,0.0,0.0,T7,Si,8,1.73888752;0.43564004;1.2415914 
1.8468370567417268e-15,26.64188802,3.51925,T8,Si,0;96;117,1.70908301e-15;2.57027624e+01;2.20868130e+00;N 1.86958138e-15;2.57027624e+01;4.82981870e+00;N 1.31017888e+00;2.75774429e+01;3.51925000e+00
7.074400000000001,7.84866236,2.2086813000000003,O1,O,45;47;,
12.83862112,27.57744286,3.51925,O2,O,44;299;,
10.19986992,31.16611696,3.51925,O3,O,40;223;,
9.462717440000002,30.18057064,1.182468,O4,O,40;43;,
11.26810432,32.06239278,1.2824147,O5,O,40;186;,
11.860939040000002,29.65923092,2.2072736,O6,O,40;44;,
9.090604,19.58237688,3.51925,O7,O,41;224;,
9.52638704,20.8000265,1.2232913,O8,O,41;,
8.813287520000001,18.28974004,1.2415914,O9,O,41;46;,
7.074400000000001,20.15370808,1.9215105,O10,O,41;273;,
7.0744,5.609758220000001,3.51925,O11,O,45;135;,
1.3115937600000016,23.62454512,1.2303298,O12,O,21;,
7.074400000000001,11.962246999999998,3.51925,O13,O,20;114;,
10.66678032,19.10745782,13.6659516,O14,O,42;,
11.9698848,21.28565802,0.3645943,O15,O,,
7.074400000000002,31.18040024,0.6376881,O16,O,43;275;,
10.6964928,30.7626143,2.0397573,T1,Si,26;27;28;29,10.19986992;31.16611696; 3.51925   ;N  9.46271744;30.18057064; 1.182468  ;N 11.26810432;32.06239278; 1.2824147 ;N 11.86093904;29.65923092; 2.2072736 
8.618034080000001,19.70735558,1.9862647,T2,Si,30;31;32;33, 9.090604  ;19.58237688; 3.51925   ;N  9.52638704;20.8000265 ; 1.2232913 ;N  8.81328752;18.28974004; 1.2415914 ;N  7.0744    ;20.15370808; 1.9215105 
10.5337816,20.66790616,14.048846,T3,Si,37;177,10.66678032;19.10745782;13.6659516 ;N  9.95509568;21.49990722;12.7945853 
8.551534720000003,30.887593,0.0605311,T4,Si,27;39, 9.46271744;30.18057064; 1.182468  ;N  7.0744    ;31.18040024; 0.6376881 
12.66600576,29.18074104,3.51925,T5,Si,25;29;217;288,12.83862112;27.57744286; 3.51925   ;N 11.86093904;29.65923092; 2.2072736 ;N 11.86093904;29.65923092; 4.8312264 ;N 14.1488    ;29.816347  ; 3.51925   
7.0744,6.245364180000002,2.0369419,T6,Si,11;24;34;257,8.38599376;5.77044512;1.2303298 ;N 7.0744    ;7.84866236;2.2086813 ;N 7.0744    ;5.60975822;3.51925   ;N 5.76280624;5.77044512;1.2303298 
9.74286368,17.8541,0.0,T7,Si,32;167, 8.81328752;18.28974004; 1.2415914 ;N 10.66678032;16.60074218; 0.4110484 
7.074400000000001,8.787788019999999,3.51925,T8,Si,1;24;97;116,5.76422112;9.72334286;3.51925   ;N 7.0744    ;7.84866236;2.2086813 ;N 8.38457888;9.72334286;3.51925   ;N 7.0744    ;7.84866236;4.8298187 
1.1788829080037354e-15,10.00543764,9.2471813,O1,O,69;71;,
8.384578880000001,25.98485714,10.55775,O2,O,68;95;,
11.02333008,22.39618304,10.55775,O3,O,64;184;,
11.76048256,23.38172936,8.220968,O4,O,64;67;,
9.95509568,21.49990722,8.3209147,O5,O,64;225;,
9.36226096,23.90306908,9.2457736,O6,O,64;68;,
12.132596,33.979923119999995,10.55775,O7,O,65;185;,
