x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.719600885116528e-16,2.444836,1.9966093,O1,O,6;7;,
1.3140000000000005,3.533,0.0,O2,O,6;,
4.1292468710775164e-16,5.0536032,1.6899687,O3,O,6;23;,
3.942,0.1851292000000001,2.2705186,O4,O,85;,
3.373524250578101e-16,1.2026332000000002,4.30675,O5,O,7;67;,
2.628,0.0,0.0,O6,O,,
2.792393707160826e-16,3.6404032,0.9199218,T1,Si,0;1;2,2.71960089e-16;2.44483600e+00;1.99660930e+00;N 1.31400000e+00;3.53300000e+00;0.00000000e+00;N 4.12924687e-16;5.05360320e+00;1.68996870e+00
2.2738559638300933e-16,1.0019588000000004,2.7115298,T2,Si,0;4;19,2.71960089e-16;2.44483600e+00;1.99660930e+00;N 3.37352425e-16;1.20263320e+00;4.30675000e+00;N 1.31400000e+00;1.85129200e-01;2.27051860e+00
2.628000000000001,13.7235852,1.5555981,T3,Si,11;153;155;169, 2.628    ;12.1196032; 1.6899687;N  3.942    ;14.3171292; 2.2705186;N  2.628    ;14.132    ; 0.       ;N  1.314    ;14.3171292; 2.2705186
2.628000000000001,9.510836,1.9966093,O1,O,15;16;,
3.9420000000000006,10.599,0.0,O2,O,15;,
2.628000000000001,12.119603199999998,1.6899687,O3,O,8;15;,
1.3140000000000007,7.2511292,2.2705186,O4,O,16;23;,
2.628000000000001,8.2686332,4.30675,O5,O,16;73;,
5.256,7.066,0.0,O6,O,17;,
2.628000000000001,10.7064032,0.9199218,T1,Si,9;10;11;20, 2.628    ; 9.510836 ; 1.9966093;N  3.942    ;10.599    ; 0.       ;N  2.628    ;12.1196032; 1.6899687;N  1.314    ;10.599    ; 0.       
2.628000000000001,8.0679588,2.7115298,T2,Si,9;12;13;21,2.628    ;9.510836 ;1.9966093;N 1.314    ;7.2511292;2.2705186;N 2.628    ;8.2686332;4.30675  ;N 3.942    ;7.2511292;2.2705186
5.256,6.657585199999998,1.5555981,T3,Si,14;21;80;90,5.256    ;7.066    ;0.       ;N 3.942    ;7.2511292;2.2705186;N 5.256    ;5.0536032;1.6899687;N 6.57     ;7.2511292;2.2705186
3.942,3.533,0.0,O2,O,84;,
1.3140000000000005,0.1851292000000001,2.2705186,O4,O,7;,
1.3140000000000007,10.599,0.0,O2,O,15;,
3.9420000000000006,7.2511292,2.2705186,O4,O,16;17;,
4.3266771413875993e-16,7.066,0.0,O6,O,23;,
5.029124319577748e-16,6.657585199999998,1.5555981,T3,Si,2;12;22,4.12924687e-16;5.05360320e+00;1.68996870e+00;N 1.31400000e+00;7.25112920e+00;2.27051860e+00;N 4.32667714e-16;7.06600000e+00;0.00000000e+00
1.365314218827937e-15,11.687164,10.6101093,O1,O,30;31;,
1.3140000000000012,10.599,8.6135,O2,O,30;72;,
1.1867969773039758e-15,9.0783968,10.3034687,O3,O,30;47;,
3.942000000000002,13.9468708,10.8840186,O4,O,107;182;,
