x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.8892500000000003,4.67875,0.0,O1,O,8;,
1.3179408000000004,2.1653255,0.0225584,O2,O,8;,
3.7785,2.9101825,0.6034372,O3,O,8;28;,
1.8061230000000004,3.5614645,2.25584,O4,O,8;9;,
2.4764289000000006,5.835337,3.52475,O5,O,9;23;,
5.199673347717185e-16,4.966961,3.52475,O6,O,9;,
4.3165738052946335e-16,4.3165738052946335e-16,7.0495,O7,O,10;,
6.670379243366222e-16,1.6375625000000005,9.2559935,O8,O,10;48;,
2.2225137,3.2900970000000003,0.7275084,T1,Si,0;1;2;3,1.88925  ;4.67875  ;0.       ;N 1.3179408;2.1653255;0.0225584;N 3.7785   ;2.9101825;0.6034372;N 1.806123 ;3.5614645;2.25584  
1.5476736000000006,4.5196725,3.52475,T2,Si,3;4;5;108,1.80612300e+00;3.56146450e+00;2.25584000e+00;N 2.47642890e+00;5.83533700e+00;3.52475000e+00;N 5.19967335e-16;4.96696100e+00;3.52475000e+00;N 1.80612300e+00;3.56146450e+00;4.79366000e+00
5.597976615419111e-16,1.4878425000000004,7.654347100000001,T3,Si,6;7;107,4.31657381e-16;4.31657381e-16;7.04950000e+00;N 6.67037924e-16;1.63756250e+00;9.25599350e+00;N 1.31794080e+00;2.16532550e+00;7.02694160e+00
1.204336583074554e-15,16.143559,3.52475,T4,Si,34;44;77,1.30207110e+00;1.51928370e+01;3.52475000e+00;N 1.18080022e-15;1.70774375e+01;2.20649350e+00;N 1.34224008e-15;1.70774375e+01;4.84300650e+00
5.667750000000001,14.03625,0.0,O1,O,20;,
5.096440800000001,11.5228255,0.0225584,O2,O,20;,
7.557000000000001,12.2676825,0.6034372,O3,O,20;148;,
5.5846230000000014,12.9189645,2.25584,O4,O,20;21;,
6.254928900000001,15.192837,3.52475,O5,O,21;125;,
3.778500000000001,14.324461,3.52475,O6,O,21;36;,
3.778500000000001,9.3575,7.0495,O7,O,22;85;,
3.7785000000000015,10.9950625,9.2559935,O8,O,22;60;,
6.0010137000000014,12.647597,0.7275084,T1,Si,12;13;14;15, 5.66775  ;14.03625  ; 0.       ;N  5.0964408;11.5228255; 0.0225584;N  7.557    ;12.2676825; 0.6034372;N  5.584623 ;12.9189645; 2.25584  
5.326173600000001,13.8771725,3.52475,T2,Si,15;16;17;112, 5.584623 ;12.9189645; 2.25584  ;N  6.2549289;15.192837 ; 3.52475  ;N  3.7785   ;14.324461 ; 3.52475  ;N  5.584623 ;12.9189645; 4.79366  
3.778500000000001,10.8453425,7.654347100000001,T3,Si,18;19;100;110, 3.7785   ; 9.3575   ; 7.0495   ;N  3.7785   ;10.9950625; 9.2559935;N  2.4605592;11.5228255; 7.0269416;N  5.0964408;11.5228255; 7.0269416
3.7785000000000006,6.786059000000001,3.52475,T4,Si,4;27;56;83,2.4764289;5.835337 ;3.52475  ;N 5.0805711;5.835337 ;3.52475  ;N 3.7785   ;7.7199375;2.2064935;N 3.7785   ;7.7199375;4.8430065
5.66775,4.67875,0.0,O1,O,28;,
6.239059200000001,2.1653255,0.0225584,O2,O,28;,
5.750877,3.5614645,2.25584,O4,O,28;29;,
5.0805711,5.835337,3.52475,O5,O,23;29;,
5.3344863,3.2900970000000003,0.7275084,T1,Si,2;24;25;26,3.7785   ;2.9101825;0.6034372;N 5.66775  ;4.67875  ;0.       ;N 6.2390592;2.1653255;0.0225584;N 5.750877 ;3.5614645;2.25584  
6.009326400000001,4.5196725,3.52475,T2,Si,26;27;95;119,5.750877 ;3.5614645;2.25584  ;N 5.0805711;5.835337 ;3.52475  ;N 5.750877 ;3.5614645;4.79366  ;N 7.557    ;4.966961 ;3.52475  
1.889250000000001,14.03625,0.0,O1,O,35;,
2.460559200000001,11.5228255,0.0225584,O2,O,35;,
7.881287771023722e-16,12.2676825,0.6034372,O3,O,35;,
1.9723770000000012,12.9189645,2.25584,O4,O,35;36;,
1.3020711000000011,15.192837,3.52475,O5,O,11;36;,
1.555986300000001,12.647597,0.7275084,T1,Si,30;31;32;33,1.88925000e+00;1.40362500e+01;0.00000000e+00;N 2.46055920e+00;1.15228255e+01;2.25584000e-02;N 7.88128777e-16;1.22676825e+01;6.03437200e-01;N 1.97237700e+00;1.29189645e+01;2.25584000e+00
2.230826400000001,13.8771725,3.52475,T2,Si,17;33;34;102, 3.7785   ;14.324461 ; 3.52475  ;N  1.972377 ;12.9189645; 2.25584  ;N  1.3020711;15.192837 ; 3.52475  ;N  1.972377 ;12.9189645; 4.79366  
1.8892500000000012,14.03625,7.0495,O1,O,45;105;,
1.3179408000000017,16.5496745,7.0720584,O2,O,45;79;,
3.7785000000000015,15.8048175,7.652937199999999,O3,O,45;65;,
1.8061230000000013,15.1535355,9.30534,O4,O,45;46;,
2.476428900000001,12.879663,10.57425,O5,O,46;60;,
1.489310668589344e-15,13.748039,10.57425,O6,O,46;,
8.633147610589267e-16,8.633147610589267e-16,14.099,O7,O,99;,
1.1808002187064209e-15,17.0774375,2.206493499999998,O8,O,11;47;,
2.2225137000000013,15.424903,7.7770084,T1,Si,37;38;39;40, 1.88925  ;14.03625  ; 7.0495   ;N  1.3179408;16.5496745; 7.0720584;N  3.7785   ;15.8048175; 7.6529372;N  1.806123 ;15.1535355; 9.30534  
1.5476736000000018,14.1953275,10.57425,T2,Si,40;41;42;87,1.80612300e+00;1.51535355e+01;9.30534000e+00;N 2.47642890e+00;1.28796630e+01;1.05742500e+01;N 1.48931067e-15;1.37480390e+01;1.05742500e+01;N 1.80612300e+00;1.51535355e+01;1.18431600e+01
1.091895367788544e-15,17.2271575,0.6048470999999991,T3,Si,44;320,1.18080022e-15;1.70774375e+01;2.20649350e+00;N 1.14596324e-15;1.87150000e+01;0.00000000e+00
8.049414202865084e-16,2.571441,10.57425,T4,Si,7;71;97,6.67037924e-16;1.63756250e+00;9.25599350e+00;N 1.30207110e+00;3.52216300e+00;1.05742500e+01;N 8.28477785e-16;1.63756250e+00;1.18925065e+01
5.66775,4.67875,7.0495,O1,O,57;98;,
5.0964408,7.192174499999999,7.0720584,O2,O,57;85;,
7.557000000000001,6.447317500000001,7.652937199999999,O3,O,57;184;,
5.5846230000000014,5.7960355,9.30534,O4,O,57;58;,
6.254928900000001,3.522163,10.57425,O5,O,58;161;,
3.778500000000001,4.390539,10.57425,O6,O,58;73;,
3.7785000000000015,9.3575,14.099,O7,O,106;507;,
