x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.4582688655443037,5.125082057069463,2.010846168116509,T1,Si,10;11;12;13,1.52986377;5.36779084;0.42180088;N 2.69748571;4.23433462;2.51980176;N 1.47170683;6.53618582;2.78440976;N 0.08094498;4.35473748;2.3364974 
-0.4694524437248866,4.961194889432695,7.906277555122907,T2,Si,14;15;16;250, 0.25649684; 6.30808648; 8.40650021;N -1.53107286; 5.36038678; 6.76400934;N  0.62142241; 3.93155038; 7.32055944;N -1.21161438; 4.26834912; 9.15473829
1.264659894782976,3.495418290430943,5.909928063107645,T3,Si,16;17;18;19,0.62142241;3.93155038;7.32055944;N 1.88376825;2.01324822;5.99751943;N 2.42188008;4.5467736 ;5.52777472;N 0.09869759;3.48590934;4.80049569
-0.8157610153477671,4.156376656345835,3.659275433701814,T4,Si,13;19;20, 0.08094498; 4.35473748; 2.3364974 ;N  0.09869759; 3.48590934; 4.80049569;N -1.33117763; 5.59630998; 4.16342791
2.861329203817274,0.8171171091574208,6.44700371384666,T5,Si,17;22;23;24, 1.88376825; 2.01324822; 5.99751943;N  2.40180316;-0.55986643; 5.74810673;N  4.3719591 ; 1.15047838; 5.99961533;N  2.761174  ; 0.65058272; 8.04582989
0.1200382811865367,8.740910092220656,5.701996823366248,T6,Si,25;26;27;142, 0.96999437; 8.4479692 ; 7.03822358;N -1.14079927; 7.74220191; 5.65737151;N  1.06079419; 8.54098669; 4.41100669;N -0.39798611;10.26611539; 5.74810673
-1.8598490807340085,6.310929745828129,5.5066410134958135,T7,Si,15;20;26;51,-1.53107286; 5.36038678; 6.76400934;N -1.33117763; 5.59630998; 4.16342791;N -1.14079927; 7.74220191; 5.65737151;N -3.45568153; 6.50522647; 5.39852725
4.246047125355084,3.866406302864274,2.759346233561076,T8,Si,11;28;29;48,2.69748571;4.23433462;2.51980176;N 4.83938473;3.27212215;1.38556785;N 4.36698323;2.76508797;3.92790059;N 5.06387251;5.1797665 ;3.20516269
1.472362371840226,7.301699765394312,8.050458351768452,T9,Si,14;25;58;294,0.25649684;6.30808648;8.40650021;N 0.96999437;8.4479692 ;7.03822358;N 2.64636785;6.45441795;7.34736956;N 1.98310044;7.97651566;9.42004493
2.194770694467301,7.657503617865255,3.6850375990624658,T10,Si,12;27;53;59,1.47170683;6.53618582;2.78440976;N 1.06079419;8.54098669;4.41100669;N 3.11379349;8.57606172;2.73332208;N 3.11876936;6.96145213;4.80503682
1.529863770624317,5.367790840814152,0.4218008769218596,O1,O,0;,
2.6974857070479983,4.234334621977181,2.5198017603940657,O2,O,0;7;,
1.4717068272613352,6.536185816073519,2.7844097639288967,O3,O,0;9;,
0.0809449810694637,4.354737480227842,2.33649740414997,O4,O,0;3;,
0.2564968372353622,6.308086479909355,8.406500209990073,O5,O,1;8;,
-1.5310728597701122,5.360386777509772,6.764009341843833,O6,O,1;6;,
0.6214224120582796,3.931550378672272,7.320559443008017,O7,O,1;2;,
1.8837682509351337,2.0132482206859064,5.997519425333862,O8,O,2;4;,
2.4218800780413363,4.546773595205056,5.527774722028958,O9,O,2;37;,
0.0986975907772697,3.48590933708962,4.80049569449164,O10,O,2;3;,
-1.3311776256134928,5.596309980958846,4.163427910403656,O11,O,3;6;,
10.941434120495728,3.2213136274092387,3.3344101620352884,O12,O,36;63;,
2.401803159485981,-0.5598664296433816,5.74810673289311,O13,O,4;,
4.37195909561281,1.1504783832067065,5.999615330312356,O14,O,4;39;,
2.761174001558752,0.6505827206873374,8.045829894940946,O15,O,4;278;,
0.9699943715250264,8.447969204088496,7.038223576530093,O16,O,5;8;,
-1.1407992712582182,7.742201906123598,5.657371513199153,O17,O,5;6;,
