x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.6962377306,6.1548181457,2.782791198,Si1,Si,11;12;13;14,1.32030104;6.95821194;2.56109278;N 2.4448315 ;4.632423  ;2.32497716;N 3.91279709;6.83162328;1.97842037;N 3.02231287;6.09874159;4.35943419
2.7004208626,0.6904078629000002,2.7224021808,Si2,Si,16;17;18,2.87789024;2.0717788 ;1.91748731;N 1.30450971;0.00888341;2.30511951;N 2.79495965;1.00132737;4.30067731
2.6274252092,3.491181859200001,1.2066922535999998,Si3,Si,12;16;19;20,2.4448315 ;4.632423  ;2.32497716;N 2.87789024;2.0717788 ;1.91748731;N 1.31266682;3.42011454;0.28616778;N 3.91028722;3.87483432;0.3177224 
3.656789416100001,4.9897028258,5.3381715024,Si4,Si,14;21;22;23,3.02231287;6.09874159;4.35943419;N 3.44188101;3.48729537;4.802559  ;N 2.99010275;5.11962276;6.800565  ;N 5.228915  ;5.29479259;5.48587977
3.6705937517000007,1.9582376618000004,5.2587409032,Si5,Si,18;21;24;25,2.79495965;1.00132737;4.30067731;N 3.44188101;3.48729537;4.802559  ;N 5.228915  ;1.58596708;5.09715948;N 3.239522  ;1.77862613;6.800565  
5.591791787261519e-16,7.384615826700001,1.7474731824,Si6,Si,11;26;27,1.32030104e+00;6.95821194e+00;2.56109278e+00;N 6.53621668e-16;8.99362426e+00;1.68082765e+00;N 4.29945062e-16;6.75250537e+00;2.69030351e-01
8.976117067889155e-16,13.202974652000002,1.4561369778,Si7,Si,28;29;349,7.91299914e-16;1.15995184e+01;1.32338995e+00;N 8.49925391e-16;1.38803350e+01;0.00000000e+00;N 1.31308513e+00;1.36057820e+01;2.29505468e+00
9.578448152888857e-16,0.5205125625000009,15.1222803792,Si8,Si,30;31,1.05911924e-15;2.13174185e+00;1.51649879e+01;N 8.32829016e-16;8.32829016e-16;1.36011300e+01
1.3052612003221426e-15,6.4113267365,14.9052063444,Si9,Si,32;89;367,1.21954173e-15;4.81175693e+00;1.51048709e+01;N 1.22982736e-15;6.75250537e+00;1.33320996e+01;N 1.31611791e+00;7.04871172e+00;1.55795504e+01
6.5863765839029315e-16,10.172064701400002,0.5843045447999999,Si10,Si,26;28,6.53621668e-16;8.99362426e+00;1.68082765e+00;N 7.91299914e-16;1.15995184e+01;1.32338995e+00
1.083480993353874e-15,3.451484101100001,14.243103336,Si11,Si,30;32;83,1.05911924e-15;2.13174185e+00;1.51649879e+01;N 1.21954173e-15;4.81175693e+00;1.51048709e+01;N 1.31266682e+00;3.42011454e+00;1.33149622e+01
1.3203010375000006,6.9582119355,2.561092779,O1,O,0;5;,
2.4448314974,4.6324230029,2.3249771622,O2,O,0;2;,
3.9127970945,6.8316232803000005,1.9784203698,O3,O,0;297;,
3.0223128700000004,6.098741592300001,4.3594341876,O4,O,0;3;,
3.9158298652000014,27.486116973700003,2.2950546762,O5,O,199;785;,
