x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.3145548000000002,1.3933725118998799e-16,2.2755499999999995,O1,O,3;4;,
1.3138622,1.3138622,0.0,O2,O,3;,
3.463,4.6432667086691765e-17,0.758303,O3,O,3;11;,
1.8554754,4.647191701660445e-17,0.758944,T1,Si,0;1;2,1.31455480e+00;1.39337251e-16;2.27555000e+00;N 1.31386220e+00;1.31386220e+00;0.00000000e+00;N 3.46300000e+00;4.64326671e-17;7.58303000e-01
1.9624964956336334e-16,1.9624964956336334e-16,3.205,T2,Si,0;5,1.31455480e+00;1.39337251e-16;2.27555000e+00;N 3.33655314e-16;1.31455480e+00;4.13445000e+00
3.336553143429282e-16,1.3145548000000002,4.134449999999999,O1,O,4;8;,
5.6121378,1.3138622,0.0,O2,O,11;,
5.581142253123992e-16,3.4630000000000005,5.651697,O3,O,8;14;,
4.59642482585455e-16,1.8554754000000009,5.651055999999999,T1,Si,5;7;61,3.33655314e-16;1.31455480e+00;4.13445000e+00;N 5.58114225e-16;3.46300000e+00;5.65169700e+00;N 1.31386220e+00;1.31386220e+00;6.41000000e+00
5.6114452,1.3933725118998799e-16,2.2755499999999995,O1,O,11;19;,
5.6121378,5.6121378,0.0,O2,O,41;,
5.0705246,4.647191701660445e-17,0.758944,T1,Si,2;6;9,3.46300000e+00;4.64326671e-17;7.58303000e-01;N 5.61213780e+00;1.31386220e+00;0.00000000e+00;N 5.61144520e+00;1.39337251e-16;2.27555000e+00
5.967639680752777e-16,5.6114452,4.134449999999999,O1,O,14;34;,
1.3138622000000004,5.6121378,0.0,O2,O,33;,
6.565074681795179e-16,5.0705246,5.651055999999999,T1,Si,7;12;73,5.58114225e-16;3.46300000e+00;5.65169700e+00;N 5.96763968e-16;5.61144520e+00;4.13445000e+00;N 1.31386220e+00;5.61213780e+00;6.41000000e+00
8.2405548,1.3933725118998799e-16,2.2755499999999995,O1,O,18;19;,
8.2398622,1.3138622,0.0,O2,O,18;,
10.389,4.6432667086691765e-17,0.758303,O3,O,18;26;,
8.7814754,4.647191701660445e-17,0.758944,T1,Si,15;16;17,8.24055480e+00;1.39337251e-16;2.27555000e+00;N 8.23986220e+00;1.31386220e+00;0.00000000e+00;N 1.03890000e+01;4.64326671e-17;7.58303000e-01
6.926,1.9624964956336334e-16,3.205,T2,Si,9;15;20,5.61144520e+00;1.39337251e-16;2.27555000e+00;N 8.24055480e+00;1.39337251e-16;2.27555000e+00;N 6.92600000e+00;1.31455480e+00;4.13445000e+00
6.926,1.3145548000000002,4.134449999999999,O1,O,19;23;,
12.5381378,1.3138622,0.0,O2,O,26;,
6.926,3.4630000000000005,5.651697,O3,O,23;29;,
6.926,1.8554754000000009,5.651055999999999,T1,Si,20;22;66;76,6.926    ;1.3145548;4.13445  ;N 6.926    ;3.463    ;5.651697 ;N 5.6121378;1.3138622;6.41     ;N 8.2398622;1.3138622;6.41     
12.5374452,1.3933725118998799e-16,2.2755499999999995,O1,O,26;,
12.5381378,5.6121378,0.0,O2,O,56;,
11.9965246,4.647191701660445e-17,0.758944,T1,Si,17;21;24,1.03890000e+01;4.64326671e-17;7.58303000e-01;N 1.25381378e+01;1.31386220e+00;0.00000000e+00;N 1.25374452e+01;1.39337251e-16;2.27555000e+00
6.926,5.6114452,4.134449999999999,O1,O,29;49;,
8.2398622,5.6121378,0.0,O2,O,48;,
6.926,5.0705246,5.651055999999999,T1,Si,22;27;70;88,6.926    ;3.463    ;5.651697 ;N 6.926    ;5.6114452;4.13445  ;N 5.6121378;5.6121378;6.41     ;N 8.2398622;5.6121378;6.41     
1.3145548000000007,6.926,2.2755499999999995,O1,O,33;34;,
1.3138622000000004,8.2398622,0.0,O2,O,33;,
3.4630000000000005,6.926,0.758303,O3,O,33;41;,
1.8554754000000009,6.926,0.758944,T1,Si,13;30;31;32,1.3138622;5.6121378;0.       ;N 1.3145548;6.926    ;2.27555  ;N 1.3138622;8.2398622;0.       ;N 3.463    ;6.926    ;0.758303 
6.203448361080919e-16,6.926,3.205,T2,Si,12;30;35,5.96763968e-16;5.61144520e+00;4.13445000e+00;N 1.31455480e+00;6.92600000e+00;2.27555000e+00;N 7.57750501e-16;8.24055480e+00;4.13445000e+00
7.577505008876566e-16,8.2405548,4.134449999999999,O1,O,34;38;,
5.612137800000001,8.2398622,0.0,O2,O,41;,
9.822094118571276e-16,10.389,5.651697,O3,O,38;44;,
8.837376691301834e-16,8.7814754,5.651055999999999,T1,Si,35;37;91,7.57750501e-16;8.24055480e+00;4.13445000e+00;N 9.82209412e-16;1.03890000e+01;5.65169700e+00;N 1.31386220e+00;8.23986220e+00;6.41000000e+00
5.6114452,6.926,2.2755499999999995,O1,O,41;49;,
5.612137800000001,12.5381378,0.0,O2,O,,
5.0705246,6.926,0.758944,T1,Si,10;32;36;39,5.6121378;5.6121378;0.       ;N 3.463    ;6.926    ;0.758303 ;N 5.6121378;8.2398622;0.       ;N 5.6114452;6.926    ;2.27555  
1.020859154620006e-15,12.5374452,4.134449999999999,O1,O,44;,
1.3138622000000006,12.5381378,0.0,O2,O,,
1.0806026547242465e-15,11.9965246,5.651055999999999,T1,Si,37;42;103,9.82209412e-16;1.03890000e+01;5.65169700e+00;N 1.02085915e-15;1.25374452e+01;4.13445000e+00;N 1.31386220e+00;1.25381378e+01;6.41000000e+00
8.2405548,6.926,2.2755499999999995,O1,O,48;49;,
8.2398622,8.2398622,0.0,O2,O,48;,
10.389,6.926,0.758303,O3,O,48;56;,
8.7814754,6.926,0.758944,T1,Si,28;45;46;47, 8.2398622; 5.6121378; 0.       ;N  8.2405548; 6.926    ; 2.27555  ;N  8.2398622; 8.2398622; 0.       ;N 10.389    ; 6.926    ; 0.758303 
6.926,6.926,3.205,T2,Si,27;39;45;50,6.926    ;5.6114452;4.13445  ;N 5.6114452;6.926    ;2.27555  ;N 8.2405548;6.926    ;2.27555  ;N 6.926    ;8.2405548;4.13445  
6.926000000000001,8.2405548,4.134449999999999,O1,O,49;53;,
12.5381378,8.2398622,0.0,O2,O,56;,
6.926000000000001,10.389,5.651697,O3,O,53;59;,
6.926000000000001,8.7814754,5.651055999999999,T1,Si,50;52;96;106, 6.926    ; 8.2405548; 4.13445  ;N  6.926    ;10.389    ; 5.651697 ;N  5.6121378; 8.2398622; 6.41     ;N  8.2398622; 8.2398622; 6.41     
12.5374452,6.926,2.2755499999999995,O1,O,56;,
12.5381378,12.5381378,0.0,O2,O,,
11.9965246,6.926,0.758944,T1,Si,25;47;51;54,12.5381378; 5.6121378; 0.       ;N 10.389    ; 6.926    ; 0.758303 ;N 12.5381378; 8.2398622; 0.       ;N 12.5374452; 6.926    ; 2.27555  
6.926000000000001,12.5374452,4.134449999999999,O1,O,59;,
8.2398622,12.5381378,0.0,O2,O,,
6.926000000000001,11.9965246,5.651055999999999,T1,Si,52;57;100;118, 6.926    ;10.389    ; 5.651697 ;N  6.926    ;12.5374452; 4.13445  ;N  5.6121378;12.5381378; 6.41     ;N  8.2398622;12.5381378; 6.41     
1.3145548000000005,5.318365503167147e-16,8.68555,O1,O,63;64;,
1.3138622000000004,1.3138622000000004,6.409999999999999,O2,O,8;63;,
3.4630000000000005,4.3893196621341855e-16,7.168303,O3,O,63;71;,
1.8554754000000009,4.389712161433312e-16,7.168944,T1,Si,60;61;62,1.31455480e+00;5.31836550e-16;8.68555000e+00;N 1.31386220e+00;1.31386220e+00;6.41000000e+00;N 3.46300000e+00;4.38931966e-16;7.16830300e+00
5.887489486900901e-16,5.887489486900901e-16,9.614999999999998,T2,Si,60;65,1.31455480e+00;5.31836550e-16;8.68555000e+00;N 7.26154613e-16;1.31455480e+00;1.05444500e+01
7.261546134696549e-16,1.3145548000000007,10.54445,O1,O,64;68;,
5.6121378,1.3138622000000004,6.409999999999999,O2,O,23;71;,
9.506135244391258e-16,3.463000000000001,12.061697,O3,O,68;74;,
8.521417817121817e-16,1.8554754000000009,12.061056,T1,Si,65;67,7.26154613e-16;1.31455480e+00;1.05444500e+01;N 9.50613524e-16;3.46300000e+00;1.20616970e+01
5.611445200000001,5.318365503167147e-16,8.68555,O1,O,71;79;,
5.6121378,5.6121378,6.409999999999999,O2,O,29;101;,
5.0705246,4.389712161433312e-16,7.168944,T1,Si,62;66;69,3.46300000e+00;4.38931966e-16;7.16830300e+00;N 5.61213780e+00;1.31386220e+00;6.41000000e+00;N 5.61144520e+00;5.31836550e-16;8.68555000e+00
9.892632672020045e-16,5.611445200000001,10.54445,O1,O,74;94;,
1.3138622000000009,5.6121378,6.409999999999999,O2,O,14;93;,
1.0490067673062448e-15,5.070524600000001,12.061056,T1,Si,67;72,9.50613524e-16;3.46300000e+00;1.20616970e+01;N 9.89263267e-16;5.61144520e+00;1.05444500e+01
8.2405548,5.318365503167147e-16,8.68555,O1,O,78;79;,
8.2398622,1.3138622000000004,6.409999999999999,O2,O,23;78;,
10.389,4.3893196621341855e-16,7.168303,O3,O,78;86;,
8.7814754,4.389712161433312e-16,7.168944,T1,Si,75;76;77,8.24055480e+00;5.31836550e-16;8.68555000e+00;N 8.23986220e+00;1.31386220e+00;6.41000000e+00;N 1.03890000e+01;4.38931966e-16;7.16830300e+00
6.926000000000001,5.887489486900901e-16,9.614999999999998,T2,Si,69;75;80,5.6114452e+00;5.3183655e-16;8.6855500e+00;N 8.2405548e+00;5.3183655e-16;8.6855500e+00;N 6.9260000e+00;1.3145548e+00;1.0544450e+01
6.926000000000001,1.3145548000000007,10.54445,O1,O,79;83;,
12.5381378,1.3138622000000004,6.409999999999999,O2,O,86;,
6.926000000000001,3.463000000000001,12.061697,O3,O,83;89;,
6.926000000000001,1.8554754000000009,12.061056,T1,Si,80;82, 6.926    ; 1.3145548;10.54445  ;N  6.926    ; 3.463    ;12.061697 
12.5374452,5.318365503167147e-16,8.68555,O1,O,86;,
12.5381378,5.6121378,6.409999999999999,O2,O,116;,
11.9965246,4.389712161433312e-16,7.168944,T1,Si,77;81;84,1.03890000e+01;4.38931966e-16;7.16830300e+00;N 1.25381378e+01;1.31386220e+00;6.41000000e+00;N 1.25374452e+01;5.31836550e-16;8.68555000e+00
6.926000000000001,5.611445200000001,10.54445,O1,O,89;109;,
8.2398622,5.6121378,6.409999999999999,O2,O,29;108;,
6.926000000000001,5.070524600000001,12.061056,T1,Si,82;87, 6.926    ; 3.463    ;12.061697 ;N  6.926    ; 5.6114452;10.54445  
1.314554800000001,6.926000000000001,8.68555,O1,O,93;94;,
1.3138622000000009,8.2398622,6.409999999999999,O2,O,38;93;,
3.463000000000001,6.926,7.168303,O3,O,93;101;,
1.855475400000001,6.926,7.168944,T1,Si,73;90;91;92,1.3138622;5.6121378;6.41     ;N 1.3145548;6.926    ;8.68555  ;N 1.3138622;8.2398622;6.41     ;N 3.463    ;6.926    ;7.168303 
1.0128441352348184e-15,6.926000000000001,9.614999999999998,T2,Si,72;90;95,9.89263267e-16;5.61144520e+00;1.05444500e+01;N 1.31455480e+00;6.92600000e+00;8.68555000e+00;N 1.15024980e-15;8.24055480e+00;1.05444500e+01
1.1502498000143834e-15,8.2405548,10.54445,O1,O,94;98;,
5.612137800000001,8.2398622,6.409999999999999,O2,O,53;101;,
1.3747087109838543e-15,10.389,12.061697,O3,O,98;104;,
1.2762369682569102e-15,8.7814754,12.061056,T1,Si,95;97,1.15024980e-15;8.24055480e+00;1.05444500e+01;N 1.37470871e-15;1.03890000e+01;1.20616970e+01
5.611445200000001,6.926000000000001,8.68555,O1,O,101;109;,
5.612137800000001,12.5381378,6.409999999999999,O2,O,59;,
5.0705246,6.926,7.168944,T1,Si,70;92;96;99,5.6121378;5.6121378;6.41     ;N 3.463    ;6.926    ;7.168303 ;N 5.6121378;8.2398622;6.41     ;N 5.6114452;6.926    ;8.68555  
1.4133584537467328e-15,12.5374452,10.54445,O1,O,104;,
1.313862200000001,12.5381378,6.409999999999999,O2,O,44;,
1.4731019538509729e-15,11.9965246,12.061056,T1,Si,97;102,1.37470871e-15;1.03890000e+01;1.20616970e+01;N 1.41335845e-15;1.25374452e+01;1.05444500e+01
8.2405548,6.926000000000001,8.68555,O1,O,108;109;,
8.2398622,8.2398622,6.409999999999999,O2,O,53;108;,
10.389,6.926,7.168303,O3,O,108;116;,
8.7814754,6.926,7.168944,T1,Si,88;105;106;107, 8.2398622; 5.6121378; 6.41     ;N  8.2405548; 6.926    ; 8.68555  ;N  8.2398622; 8.2398622; 6.41     ;N 10.389    ; 6.926    ; 7.168303 
6.926000000000001,6.926000000000001,9.614999999999998,T2,Si,87;99;105;110, 6.926    ; 5.6114452;10.54445  ;N  5.6114452; 6.926    ; 8.68555  ;N  8.2405548; 6.926    ; 8.68555  ;N  6.926    ; 8.2405548;10.54445  
6.926000000000002,8.2405548,10.54445,O1,O,109;113;,
12.5381378,8.2398622,6.409999999999999,O2,O,116;,
6.926000000000002,10.389,12.061697,O3,O,113;119;,
6.926000000000002,8.7814754,12.061056,T1,Si,110;112, 6.926    ; 8.2405548;10.54445  ;N  6.926    ;10.389    ;12.061697 
12.5374452,6.926000000000001,8.68555,O1,O,116;,
12.5381378,12.5381378,6.409999999999999,O2,O,,
11.9965246,6.926,7.168944,T1,Si,85;107;111;114,12.5381378; 5.6121378; 6.41     ;N 10.389    ; 6.926    ; 7.168303 ;N 12.5381378; 8.2398622; 6.41     ;N 12.5374452; 6.926    ; 8.68555  
6.926000000000002,12.5374452,10.54445,O1,O,119;,
8.2398622,12.5381378,6.409999999999999,O2,O,59;,
6.926000000000002,11.9965246,12.061056,T1,Si,112;117, 6.926    ;10.389    ;12.061697 ;N  6.926    ;12.5374452;10.54445  
