x,y,z,Site,Atom,Bonded Atoms,Bond Ends
3.475250000000001,9.4850289,10.291,O1,O,21;312;,
3.379333100000001,8.9546537,7.7017844,O2,O,21;24;,
5.6048832000000015,9.8370883,8.7432336,O3,O,21;149;,
3.4752500000000013,11.4305,8.547704600000001,O4,O,21;180;,
3.4752500000000004,8.2848264,0.0,O5,O,22;,
2.2408412000000006,7.036615800000001,1.9305916,O6,O,22;29;,
1.2955732000000006,9.3181436,0.9117826,O7,O,22;27;,
3.3821133000000003,9.3295741,2.4554326,O8,O,22;23;,
5.6215644000000005,9.9125296,3.560686,O9,O,23;151;,
3.4752500000000013,11.4305,4.0320138,O10,O,23;182;,
3.6643036000000007,9.0003757,5.0611138,O11,O,23;24;,
2.328417500000001,7.018327,6.2384042,O12,O,24;30;,
1.319204900000001,9.3890127,6.133436,O13,O,24;25;,
1.015309532938522e-15,11.4213556,5.1599074,O14,O,25;28;,
1.1469062693233512e-15,10.9915688,7.738832,O15,O,25;26;,
1.3300582723839616e-15,11.4305,10.291,O16,O,26;206;,
8.241078407418401e-16,10.881836,2.5768664,O17,O,27;28;,
6.99916261882691e-16,11.4305,0.0,O18,O,27;,
1.5652526000000009,5.71525,4.1081672000000005,O19,O,29;30;,
4.720796525764917e-16,5.71525,1.9943958,O20,O,29;,
7.303118484799126e-16,5.71525,6.2116476,O21,O,30;,
3.995147400000001,9.9308184,8.829678,T1,Si,0;1;2;3, 3.47525  ; 9.4850289;10.291    ;N  3.3793331; 8.9546537; 7.7017844;N  5.6048832; 9.8370883; 8.7432336;N  3.47525  ;11.4305   ; 8.5477046
2.6022672000000004,8.4837171,1.3337136,T2,Si,4;5;6;7,3.47525  ;8.2848264;0.       ;N 2.2408412;7.0366158;1.9305916;N 1.2955732;9.3181436;0.9117826;N 3.3821133;9.3295741;2.4554326
4.028509800000001,9.9353906,3.8014954,T3,Si,7;8;9;10, 3.3821133; 9.3295741; 2.4554326;N  5.6215644; 9.9125296; 3.560686 ;N  3.47525  ;11.4305   ; 4.0320138;N  3.6643036; 9.0003757; 5.0611138
2.705134600000001,8.584305500000001,6.2857428,T4,Si,1;10;11;12,3.3793331;8.9546537;7.7017844;N 3.6643036;9.0003757;5.0611138;N 2.3284175;7.018327 ;6.2384042;N 1.3192049;9.3890127;6.133436 
1.0153055344667229e-15,10.2851639,6.2960338,T5,Si,12;13;14,1.31920490e+00;9.38901270e+00;6.13343600e+00;N 1.01530953e-15;1.14213556e+01;5.15990740e+00;N 1.14690627e-15;1.09915688e+01;7.73883200e+00
1.2860451889642173e-15,12.1483354,8.854376400000001,T6,Si,14;15;171,1.14690627e-15;1.09915688e+01;7.73883200e+00;N 1.33005827e-15;1.14305000e+01;1.02910000e+01;N 1.34561680e+00;1.30239117e+01;8.74323360e+00
6.950119800784855e-16,10.2554446,1.0949624,T7,Si,6;16;17,1.29557320e+00;9.31814360e+00;9.11782600e-01;N 8.24107841e-16;1.08818360e+01;2.57686640e+00;N 6.99916262e-16;1.14305000e+01;0.00000000e+00
9.633304894843638e-16,12.0523192,3.6800616,T8,Si,13;16;176,1.01530953e-15;1.14213556e+01;5.15990740e+00;N 8.24107841e-16;1.08818360e+01;2.57686640e+00;N 1.32893560e+00;1.29484704e+01;3.56068600e+00
1.5263298000000003,5.71525,2.5027712,T9,Si,5;18;19;107,2.24084120e+00;7.03661580e+00;1.93059160e+00;N 1.56525260e+00;5.71525000e+00;4.10816720e+00;N 4.72079653e-16;5.71525000e+00;1.99439580e+00;N 2.24084120e+00;4.39388420e+00;1.93059160e+00
1.5346704000000009,5.71525,5.7176796,T10,Si,11;18;20;113,2.32841750e+00;7.01832700e+00;6.23840420e+00;N 1.56525260e+00;5.71525000e+00;4.10816720e+00;N 7.30311848e-16;5.71525000e+00;6.21164760e+00;N 2.32841750e+00;4.41217300e+00;6.23840420e+00
10.425750000000004,20.9155289,10.291,O1,O,52;292;,
10.329833100000002,20.3851537,7.7017844,O2,O,52;55;,
12.5553832,21.2675883,8.7432336,O3,O,52;473;,
10.425750000000004,22.861,8.547704600000001,O4,O,52;855;,
10.425750000000004,19.7153264,0.0,O5,O,53;,
9.191341200000002,18.4671158,1.9305916,O6,O,53;60;,
8.246073200000001,20.7486436,0.9117826,O7,O,53;58;,
10.3326133,20.7600741,2.4554326,O8,O,53;54;,
12.572064400000002,21.3430296,3.560686,O9,O,54;475;,
10.425750000000004,22.861,4.0320138,O10,O,54;857;,
10.614803600000002,20.4308757,5.0611138,O11,O,54;55;,
9.278917500000002,18.448827,6.2384042,O12,O,55;61;,
8.2697049,20.8195127,6.133436,O13,O,55;56;,
6.950500000000002,22.8518556,5.1599074,O14,O,56;755;,
6.950500000000003,22.4220688,7.738832,O15,O,56;753;,
6.950500000000003,22.861,10.291,O16,O,235;753;,
6.950500000000002,22.312336,2.5768664,O17,O,58;755;,
6.950500000000002,22.861,0.0,O18,O,58;,
8.515752600000003,17.14575,4.1081672000000005,O19,O,60;61;,
6.950500000000001,17.14575,1.9943958,O20,O,60;100;,
6.950500000000001,17.14575,6.2116476,O21,O,61;101;,
10.945647400000002,21.3613184,8.829678,T1,Si,31;32;33;34,10.42575  ;20.9155289;10.291    ;N 10.3298331;20.3851537; 7.7017844;N 12.5553832;21.2675883; 8.7432336;N 10.42575  ;22.861    ; 8.5477046
9.552767200000002,19.9142171,1.3337136,T2,Si,35;36;37;38,10.42575  ;19.7153264; 0.       ;N  9.1913412;18.4671158; 1.9305916;N  8.2460732;20.7486436; 0.9117826;N 10.3326133;20.7600741; 2.4554326
10.979009800000002,21.3658906,3.8014954,T3,Si,38;39;40;41,10.3326133;20.7600741; 2.4554326;N 12.5720644;21.3430296; 3.560686 ;N 10.42575  ;22.861    ; 4.0320138;N 10.6148036;20.4308757; 5.0611138
9.6556346,20.0148055,6.2857428,T4,Si,32;41;42;43,10.3298331;20.3851537; 7.7017844;N 10.6148036;20.4308757; 5.0611138;N  9.2789175;18.448827 ; 6.2384042;N  8.2697049;20.8195127; 6.133436 
6.950500000000001,21.7156639,6.2960338,T5,Si,43;44;45;94, 8.2697049;20.8195127; 6.133436 ;N  6.9505   ;22.8518556; 5.1599074;N  6.9505   ;22.4220688; 7.738832 ;N  5.6312951;20.8195127; 6.133436 
6.950500000000001,0.7178354000000028,8.854376400000001,T6,Si,104;154;224,5.60488320e+00;1.59341170e+00;8.74323360e+00;N 8.29611680e+00;1.59341170e+00;8.74323360e+00;N 6.95050000e+00;6.30142011e-16;1.02910000e+01
