x,y,z,Site,Atom,Bonded Atoms,Bond Ends
8.1212048676,2.3937470778000005,7.735364440600001,Si1,Si,7;8;9;10,7.82581069;2.78539043;6.20019184;N 7.40135139;3.47183962;8.69080266;N 7.57156209;0.90779209;8.02801795;N 9.704145  ;2.43429481;8.01525481
4.467982440900001,1.2218382188000008,10.834112139399998,Si2,Si,12;14;30, 3.3902401 ; 2.22265156;10.1772596 ;N  5.0836134 ; 1.82798701;12.19185906;N  5.70972484; 0.99206776; 9.83624995
3.3844176102000008,3.3220515444000007,8.9996348064,Si3,Si,12;16;17;234, 3.3902401 ; 2.22265156;10.1772596 ;N  3.11192522; 2.62558468; 7.57339834;N  4.8520725 ; 3.9752675 ; 8.98813   ;N  2.30279361; 4.47869538; 9.28545734
3.768507669300001,1.7301954267000006,6.4074581144,Si4,Si,16;18;19;32,3.11192522;2.62558468;7.57339834;N 2.94811925;1.88523086;5.02921826;N 5.29011761;2.18417098;6.14464519;N 3.74114198;0.18238527;6.84679791
6.5070173883,2.779507036000001,5.2754930222,Si5,Si,7;19;276;279,7.82581069;2.78539043;6.20019184;N 5.29011761;2.18417098;6.14464519;N 6.14020071;4.26752917;4.78042682;N 6.75602575;1.88523086;3.95891174
4.8520725,5.189791226600001,4.494065,Si6,Si,15;53;240;276,3.56394429;4.26752917;4.20770318;N 5.0836134 ;6.12254799;3.20372906;N 4.6205316 ;6.12254799;5.78440094;N 6.14020071;4.26752917;4.78042682
6.651609148800001,5.50364231741015e-16,8.98813,Si7,Si,9;30,7.57156209;0.90779209;8.02801795;N 5.70972484;0.99206776;9.83624995
7.825810693800001,2.7853904319,6.2001918366,O1,O,0;4;,
7.401351391500001,3.4718396238000007,8.6908026596,O2,O,0;229;,
7.571562094800002,0.9077920863000004,8.0280179534,O3,O,0;6;,
9.704145,2.4342948063000005,8.0152548088,O4,O,0;98;,
5.709724835100002,14.909002242700002,8.1400100532,O5,O,21;602;,
3.390240097200001,2.2226515646000005,10.177259599,O6,O,1;2;,
3.741141980400002,15.7186847271,11.1294620912,O7,O,23;597;,
5.083613399700001,1.8279870072000008,12.1918590572,O8,O,1;44;,
3.563944292700001,4.2675291666,4.2077031782,O9,O,5;266;,
3.1119252186000006,2.6255846784000005,7.573398338,O10,O,2;3;,
4.852072500000001,3.9752675000000006,8.98813,O11,O,2;229;,
2.948119251000001,1.8852308592,5.0292182602,O12,O,3;266;,
5.2901176053,2.1841709752000007,6.144645193200001,O13,O,3;4;,
8.1212048676,13.5073229222,10.2408955594,Si1,Si,26;27;28;29, 7.82581069;13.11567957;11.77606816;N  7.40135139;12.42923038; 9.28545734;N  7.57156209;14.99327791; 9.94824205;N  9.704145  ;13.46677519; 9.96100519
4.467982440900001,14.6792317812,7.142147860600001,Si2,Si,11;31;33;628, 5.70972484;14.90900224; 8.14001005;N  3.3902401 ;13.67841844; 7.7990004 ;N  5.0836134 ;14.07308299; 5.78440094;N  3.74114198;16.08345527; 6.84679791
3.3844176102000016,12.5790184556,8.9766251936,Si3,Si,31;35;36;251, 3.3902401 ;13.67841844; 7.7990004 ;N  3.11192522;13.27548532;10.40286166;N  4.8520725 ;11.9258025 ; 8.98813   ;N  2.30279361;11.42237462; 8.69080266
3.768507669300002,14.1708745733,11.5688018856,Si4,Si,13;35;37;38, 3.74114198;15.71868473;11.12946209;N  3.11192522;13.27548532;10.40286166;N  2.94811925;14.01583914;12.94704174;N  5.29011761;13.71689902;11.83161481
6.507017388300002,13.121562964,12.7007669778,Si5,Si,26;38;295;298, 7.82581069;13.11567957;11.77606816;N  5.29011761;13.71689902;11.83161481;N  6.14020071;11.63354083;13.19583318;N  6.75602575;14.01583914;14.01734826
4.852072500000002,10.7112787734,13.482195,Si6,Si,34;73;257;295, 3.56394429;11.63354083;13.76855682;N  5.0836134 ; 9.77852201;14.77253094;N  4.6205316 ; 9.77852201;12.19185906;N  6.14020071;11.63354083;13.19583318
7.825810693800003,13.1156795681,11.7760681634,O1,O,20;24;,
7.401351391500002,12.4292303762,9.2854573404,O2,O,20;247;,
7.571562094800003,14.993277913700002,9.9482420466,O3,O,20;602;,
9.704145,13.466775193700002,9.961005191199998,O4,O,20;79;,
