x,y,z,Site,Atom,Bonded Atoms,Bond Ends
6.0876618,1.3130154000000005,1.8860041,O1,O,8;10;,
7.3181264,3.5657379,2.4561037,O2,O,8;75;,
6.5212722,3.0923086000000004,0.0,O3,O,8;,
4.7545,3.57575,1.88525,O4,O,8;85;,
2.0216134,1.3130154000000005,0.0,O5,O,9;11;,
1.8339380957110208e-16,2.9950482000000003,0.0,O6,O,9;,
3.8815738,8.048356108030621e-17,1.3143963,O7,O,10;11;,
4.8096522,2.3087653780925477e-16,3.7705,O8,O,10;91;,
6.1694392,2.8863454,1.5564624,T1,Si,0;1;2;3,6.0876618;1.3130154;1.8860041;N 7.3181264;3.5657379;2.4561037;N 6.5212722;3.0923086;0.       ;N 4.7545   ;3.57575  ;1.88525  
1.6032174000000003,2.8663212,0.0,T2,Si,4;5;82,2.0216134e+00;1.3130154e+00;0.0000000e+00;N 1.8339381e-16;2.9950482e+00;0.0000000e+00;N 2.1908736e+00;3.5857621e+00;1.3143963e+00
5.2166374,1.3552452769403255e-16,2.2132835,T3,Si,0;6;7,6.08766180e+00;1.31301540e+00;1.88600410e+00;N 3.88157380e+00;8.04835611e-17;1.31439630e+00;N 4.80965220e+00;2.30876538e-16;3.77050000e+00
2.9534954,0.0,0.0,T4,Si,4;6,2.02161340e+00;1.31301540e+00;0.00000000e+00;N 3.88157380e+00;8.04835611e-17;1.31439630e+00
15.5966618,8.4645154,5.6565041,O1,O,20;22;,
16.8271264,10.7172379,6.2266037,O2,O,20;508;,
16.0302722,10.2438086,3.7705,O3,O,20;109;,
14.2635,10.727250000000002,5.65575,O4,O,20;79;,
11.530613400000002,8.4645154,3.7705,O5,O,21;23;,
9.509,10.146548200000002,3.7705,O6,O,21;43;,
13.3905738,7.1515,5.0848963000000005,O7,O,22;23;,
14.3186522,7.151500000000001,7.541,O8,O,22;535;,
15.6784392,10.0378454,5.3269624,T1,Si,12;13;14;15,15.5966618; 8.4645154; 5.6565041;N 16.8271264;10.7172379; 6.2266037;N 16.0302722;10.2438086; 3.7705   ;N 14.2635   ;10.72725  ; 5.65575  
11.1122174,10.0178212,3.7705,T2,Si,16;17;63;77,11.5306134; 8.4645154; 3.7705   ;N  9.509    ;10.1465482; 3.7705   ;N 11.6998736;10.7372621; 2.4561037;N 11.6998736;10.7372621; 5.0848963
14.7256374,7.1515,5.9837835,T3,Si,12;18;19;54,15.5966618; 8.4645154; 5.6565041;N 13.3905738; 7.1515   ; 5.0848963;N 14.3186522; 7.1515   ; 7.541    ;N 15.5966618; 5.8384846; 5.6565041
12.4624954,7.1515,3.7705,T4,Si,16;18;58;94,11.5306134; 8.4645154; 3.7705   ;N 13.3905738; 7.1515   ; 5.0848963;N 11.5306134; 5.8384846; 3.7705   ;N 13.3905738; 7.1515   ; 2.4561037
12.9303382,1.3130154000000005,1.8860041,O1,O,31;33;,
11.6998736,3.5657379,2.4561037,O2,O,31;61;,
12.4967278,3.0923086000000004,0.0,O3,O,31;,
14.2635,3.57575,1.88525,O4,O,31;96;,
16.9963866,1.3130154000000005,0.0,O5,O,32;34;,
15.1364262,8.048356108030621e-17,1.3143963,O7,O,33;34;,
14.2083478,2.3087653780925477e-16,3.7705,O8,O,33;80;,
12.8485608,2.8863454,1.5564624,T1,Si,24;25;26;27,12.9303382; 1.3130154; 1.8860041;N 11.6998736; 3.5657379; 2.4561037;N 12.4967278; 3.0923086; 0.       ;N 14.2635   ; 3.57575  ; 1.88525  
17.4147826,2.8663212,0.0,T2,Si,28;93;115,16.9963866; 1.3130154; 0.       ;N 16.8271264; 3.5857621; 1.3143963;N 19.018    ; 2.9950482; 0.       
13.8013626,1.3552452769403255e-16,2.2132835,T3,Si,24;29;30,1.29303382e+01;1.31301540e+00;1.88600410e+00;N 1.51364262e+01;8.04835611e-17;1.31439630e+00;N 1.42083478e+01;2.30876538e-16;3.77050000e+00
16.0645046,0.0,0.0,T4,Si,28;29,1.69963866e+01;1.31301540e+00;0.00000000e+00;N 1.51364262e+01;8.04835611e-17;1.31439630e+00
3.421338200000001,8.4645154,5.6565041,O1,O,42;44;,
2.190873600000001,10.7172379,6.2266037,O2,O,42;493;,
2.9877278000000014,10.2438086,3.7705,O3,O,42;103;,
4.754500000000001,10.727250000000002,5.65575,O4,O,42;90;,
7.487386600000001,8.4645154,3.7705,O5,O,43;45;,
5.6274262,7.1515,5.0848963000000005,O7,O,44;45;,
4.699347800000001,7.151500000000001,7.541,O8,O,44;525;,
3.339560800000001,10.0378454,5.3269624,T1,Si,35;36;37;38, 3.4213382; 8.4645154; 5.6565041;N  2.1908736;10.7172379; 6.2266037;N  2.9877278;10.2438086; 3.7705   ;N  4.7545   ;10.72725  ; 5.65575  
7.905782600000001,10.0178212,3.7705,T2,Si,17;39;47;88, 9.509    ;10.1465482; 3.7705   ;N  7.4873866; 8.4645154; 3.7705   ;N  7.3181264;10.7372621; 2.4561037;N  7.3181264;10.7372621; 5.0848963
4.292362600000001,7.1515,5.9837835,T3,Si,35;40;41;69,3.4213382;8.4645154;5.6565041;N 5.6274262;7.1515   ;5.0848963;N 4.6993478;7.1515   ;7.541    ;N 3.4213382;5.8384846;5.6565041
6.555504600000001,7.1515,3.7705,T4,Si,39;40;73;83,7.4873866;8.4645154;3.7705   ;N 5.6274262;7.1515   ;5.0848963;N 7.4873866;5.8384846;3.7705   ;N 5.6274262;7.1515   ;2.4561037
6.087661800000001,12.9899846,1.8860041,O1,O,52;230;,
7.318126400000001,10.7372621,2.4561037,O2,O,43;52;,
6.521272200000001,11.210691400000002,0.0,O3,O,52;,
4.754500000000001,10.727250000000002,1.88525,O4,O,52;103;,
2.021613400000001,12.9899846,0.0,O5,O,53;231;,
6.924123488391275e-16,11.3079518,0.0,O6,O,53;,
6.169439200000001,11.4166546,1.5564624,T1,Si,46;47;48;49, 6.0876618;12.9899846; 1.8860041;N  7.3181264;10.7372621; 2.4561037;N  6.5212722;11.2106914; 0.       ;N  4.7545   ;10.72725  ; 1.88525  
1.6032174000000008,11.4366788,0.0,T2,Si,50;51;102,2.02161340e+00;1.29899846e+01;0.00000000e+00;N 6.92412349e-16;1.13079518e+01;0.00000000e+00;N 2.19087360e+00;1.07172379e+01;1.31439630e+00
15.5966618,5.8384846,5.6565041,O1,O,22;60;,
16.8271264,3.585762100000001,6.2266037,O2,O,60;472;,
16.0302722,4.0591914,3.7705,O3,O,60;96;,
14.2635,3.5757500000000007,5.65575,O4,O,60;100;,
11.530613400000002,5.8384846,3.7705,O5,O,23;61;,
9.509,4.1564518,3.7705,O6,O,61;75;,
15.6784392,4.265154600000001,5.3269624,T1,Si,54;55;56;57,15.5966618; 5.8384846; 5.6565041;N 16.8271264; 3.5857621; 6.2266037;N 16.0302722; 4.0591914; 3.7705   ;N 14.2635   ; 3.57575  ; 5.65575  
11.1122174,4.2851788,3.7705,T2,Si,25;58;59;99,11.6998736; 3.5657379; 2.4561037;N 11.5306134; 5.8384846; 3.7705   ;N  9.509    ; 4.1564518; 3.7705   ;N 11.6998736; 3.5657379; 5.0848963
12.9303382,12.9899846,1.8860041,O1,O,67;253;,
11.6998736,10.7372621,2.4561037,O2,O,21;67;,
12.4967278,11.210691400000002,0.0,O3,O,67;,
14.2635,10.727250000000002,1.88525,O4,O,67;109;,
16.9963866,12.9899846,0.0,O5,O,68;254;,
12.8485608,11.4166546,1.5564624,T1,Si,62;63;64;65,12.9303382;12.9899846; 1.8860041;N 11.6998736;10.7372621; 2.4561037;N 12.4967278;11.2106914; 0.       ;N 14.2635   ;10.72725  ; 1.88525  
17.4147826,11.4366788,0.0,T2,Si,66;108;161,16.9963866;12.9899846; 0.       ;N 16.8271264;10.7172379; 1.3143963;N 19.018    ;11.3079518; 0.       
3.421338200000001,5.8384846,5.6565041,O1,O,44;74;,
2.190873600000001,3.585762100000001,6.2266037,O2,O,74;449;,
2.9877278000000014,4.0591914,3.7705,O3,O,74;85;,
4.7545,3.5757500000000007,5.65575,O4,O,74;106;,
7.4873866,5.8384846,3.7705,O5,O,45;75;,
3.339560800000001,4.265154600000001,5.3269624,T1,Si,69;70;71;72,3.4213382;5.8384846;5.6565041;N 2.1908736;3.5857621;6.2266037;N 2.9877278;4.0591914;3.7705   ;N 4.7545   ;3.57575  ;5.65575  
7.9057826,4.2851788,3.7705,T2,Si,1;59;73;105,7.3181264;3.5657379;2.4561037;N 9.509    ;4.1564518;3.7705   ;N 7.4873866;5.8384846;3.7705   ;N 7.3181264;3.5657379;5.0848963
12.9303382,12.9899846,5.6549959,O1,O,79;300;,
11.6998736,10.7372621,5.0848963000000005,O2,O,21;79;,
15.1364262,3.812695145382033e-16,6.2266037,O7,O,80;474;,
12.8485608,11.4166546,5.9845376,T1,Si,15;76;77;504,14.2635   ;10.72725  ; 5.65575  ;N 12.9303382;12.9899846; 5.6549959;N 11.6998736;10.7372621; 5.0848963;N 12.4967278;11.2106914; 7.541    
13.8013626,3.2622854792447697e-16,5.3277165,T3,Si,30;78;98,1.42083478e+01;2.30876538e-16;3.77050000e+00;N 1.51364262e+01;3.81269515e-16;6.22660370e+00;N 1.29303382e+01;1.31301540e+00;5.65499590e+00
3.421338200000001,5.8384846,1.8844959,O1,O,85;86;,
2.1908736000000006,3.5857621000000006,1.3143963,O2,O,9;85;,
5.6274262,7.1515,2.4561037,O7,O,45;86;,
4.6993478,7.1515,0.0,O8,O,86;,
3.3395608,4.265154600000001,2.2140376,T1,Si,3;71;81;82,4.7545   ;3.57575  ;1.88525  ;N 2.9877278;4.0591914;3.7705   ;N 3.4213382;5.8384846;1.8844959;N 2.1908736;3.5857621;1.3143963
4.292362600000001,7.1515,1.5572165000000002,T3,Si,81;83;84;101,3.4213382;5.8384846;1.8844959;N 5.6274262;7.1515   ;2.4561037;N 4.6993478;7.1515   ;0.       ;N 3.4213382;8.4645154;1.8844959
6.087661800000001,12.9899846,5.6549959,O1,O,90;311;,
7.318126400000001,10.7372621,5.0848963000000005,O2,O,43;90;,
3.881573800000001,3.812695145382033e-16,6.2266037,O7,O,91;451;,
6.169439200000001,11.4166546,5.9845376,T1,Si,38;87;88;488, 4.7545   ;10.72725  ; 5.65575  ;N  6.0876618;12.9899846; 5.6549959;N  7.3181264;10.7372621; 5.0848963;N  6.5212722;11.2106914; 7.541    
