x,y,z,Site,Atom,Bonded Atoms,Bond Ends
3.249678336,3.6483749162472017,2.535528534,T1,Si,6;13;40;159,4.10546664;2.37029227;3.0131819 ;N 2.38306368;3.25535491;1.23821089;N 4.24785533;4.85813963;2.17179461;N 2.25631306;4.10741   ;3.71513784
3.238218864000002,3.667126707971829,20.195820722,T2,Si,11;16;18;108, 2.42896488; 4.00772943;21.54416216;N  2.19844589; 3.22706273;19.04980628;N  4.27280026; 2.46690238;20.4782197 ;N  4.04975208; 4.9725146 ;19.71513624
3.249615024000001,3.610323034794309,10.086796269,T3,Si,10;12;57;166, 2.2607449 ; 3.40734311;11.33940496;N  4.49255621; 2.59377854;10.21612389;N  3.78327187; 5.12636701;10.07568218;N  2.46207706; 3.31610633; 8.71521628
1.543989744000002,2.666811830123708,17.691108534,T5,Si,16;38;51;101,2.19844589e+00;3.22706273e+00;1.90498063e+01;N 2.33792222e+00;1.34980003e+00;1.72149707e+01;N 1.64079379e+00;3.79027444e+00;1.65440837e+01;N 1.72956773e-15;2.29407885e+00;1.79533001e+01
1.5401277120000008,2.6675794473288077,0.0,T4,Si,13;20,2.38306368e+00;3.25535491e+00;1.23821089e+00;N 7.03439920e-16;2.48291268e+00;4.33196995e-01
1.5774184800000013,2.7321689521580725,12.62965,T6,Si,8;10;140;158,2.22604992e+00;1.28521052e+00;1.28958830e+01;N 2.26074490e+00;3.40734311e+00;1.13394050e+01;N 1.42355377e-15;2.57042104e+00;1.23634170e+01;N 1.82047325e+00;3.66153407e+00;1.39198950e+01
4.105466640000001,2.370292269753029,3.013181897,O1,O,0;74;,
6.331200000000003,8.671881225633564,7.305999932,O2,O,99;354;,
2.226049920000001,1.2852105205415465,12.895883022,O3,O,5;79;,
2.228329152000004,10.491791959328744,16.544083721,O4,O,164;384;,
2.260744896000001,3.4073431138452985,11.339404956,O5,O,2;5;,
2.4289648800000023,4.007729427835485,21.544162156,O6,O,1;153;,
4.492556208000002,2.593778536038325,10.216123885,O7,O,2;76;,
2.38306368,3.2553549072351795,1.238210886,O8,O,0;4;,
2.281447920000002,5.993445477832606,5.544163757,O9,O,97;154;,
6.331200000000001,0.7132260431401213,10.075682177,O10,O,23;76;,
2.198445888000001,3.227062730247151,19.049806281,O11,O,1;3;,
6.331200000000002,8.26636002213846,17.214970728999997,O12,O,45;66;,
4.272800256000001,2.4669023779951043,20.478219696,O13,O,1;75;,
8.414544672000002,4.858139631487331,2.171794614,O14,O,42;85;,
7.0343992009352465e-16,2.482912679701507,0.433196995,O15,O,4;89;,
7.877975472000001,0.990116534980342,2.535528534,T1,Si,27;34;61,8.55693336;2.37029227;3.0131819 ;N 8.65164811;0.43611623;1.23821089;N 6.3312    ;1.24968081;2.17179461
7.86746568,0.9708164452520752,20.195820722,T2,Si,32;37;39;127, 7.97712206; 0.09968058;21.54416216;N  8.76845875; 0.29037862;19.04980628;N  8.38959974; 2.46690238;20.4782197 ;N  6.3312    ; 1.02093088;19.71513624
7.910961024,1.0090876459064255,10.086796269,T3,Si,15;31;33;175, 6.3312    ; 0.71322604;10.07568218;N  8.58118186; 0.25419095;11.33940496;N  8.16984379; 2.59377854;10.21612389;N  8.55952915; 0.47416811; 8.71521628
9.580878336,0.0037284264247811,17.691108534,T5,Si,37;59, 8.76845875; 0.29037862;19.04980628;N 10.32447778; 1.34980003;17.21497073
9.582144576,0.0,0.0,T4,Si,34,8.65164811;0.43611623;1.23821089
9.50756304,1.3394694063762017e-15,12.62965,T6,Si,29;31,10.43635008; 1.28521052;12.89588302;N  8.58118186; 0.25419095;11.33940496
8.55693336,2.370292269753029,3.013181897,O1,O,21;85;,
1.9867305600000011,1.1470394236232568,7.305999932,O2,O,156;,
10.43635008,1.2852105205415465,12.895883022,O3,O,26;270;,
-3.8691229439999977,7.649853746841143,16.544083721,O4,O,173;,
8.581181856,0.2541909544893611,11.339404956,O5,O,23;26;,
7.977122064000002,0.099680577062482,21.544162156,O6,O,22;,
8.169843792,2.593778536038325,10.216123885,O7,O,23;87;,
8.651648112,0.4361162320984404,1.238210886,O8,O,21;25;,
2.6440339759618003e-15,9.945029190094942,5.544163757,O9,O,116;163;,
8.879128128000001,5.126367014869979,10.075682177,O10,O,44;87;,
8.768458752,0.2903786227298665,19.049806281,O11,O,22;24;,
2.337922224000001,1.3498000253708096,17.214970728999997,O12,O,3;77;,
8.389599744000002,2.4669023779951043,20.478219696,O13,O,22;86;,
4.247855328000002,4.858139631487331,2.171794614,O14,O,0;63;,
4.180934544000002,9.724503733029325,0.433196995,O15,O,67;385;,
7.865946192000002,6.327468621652533,2.535528534,T1,Si,19;48;55;357,8.41454467;4.85813963;2.17179461;N 6.3312    ;6.22537553;3.0131819 ;N 7.95888821;7.27448893;1.23821089;N 8.76016488;6.95823065;3.71513784
7.887915456000002,6.328016919656179,20.195820722,T2,Si,53;58;60;146, 8.58751306; 6.85855007;21.54416216;N  8.02669536; 7.44851872;19.04980628;N  6.3312    ; 6.03215532;20.4782197 ;N  8.61264792; 4.9725146 ;19.71513624
7.833023952000002,6.3465493921793446,10.086796269,T3,Si,36;52;54;157, 8.87912813; 5.12636701;10.07568218;N  8.15167325; 7.304426  ;11.33940496;N  6.3312    ; 5.778403  ;10.21612389;N  7.97199379; 7.17568563; 8.71521628
7.868731920000003,8.295419816331593,17.691108534,T5,Si,17;58;210;319, 6.3312    ; 8.26636002;17.21497073;N  8.02669536; 7.44851872;19.04980628;N  8.79327706; 7.64985375;16.54408372;N  8.31793056; 9.81892065;17.95330007
-4.791072287999998,8.29838062555127,0.0,T4,Si,62,-4.18093454; 9.72450373; 0.43319699
-4.753781519999997,8.233791120722007,12.62965,T6,Si,121;176,-4.10515008; 9.68074955;12.36341698;N -4.0704551 ; 7.55861696;13.91989504
6.331200000000002,6.225375533374019,3.013181897,O1,O,42;63;,
10.675669439999998,1.1470394236232568,7.305999932,O2,O,317;,
6.331200000000003,8.39553903179699,12.895883022,O3,O,68;227;,
1.6407937920000024,3.790274439590271,16.544083721,O4,O,3;155;,
8.151673248000002,7.3044260045454195,11.339404956,O5,O,44;227;,
8.587513056000002,6.858550067982118,21.544162156,O6,O,43;351;,
6.331200000000003,5.778403000803428,10.216123885,O7,O,44;65;,
7.958888208000002,7.274488933546456,1.238210886,O8,O,42;226;,
-2.2814479199999984,5.993445477832606,5.544163757,O9,O,135;172;,
3.783271872000001,5.126367014869979,10.075682177,O10,O,2;65;,
8.026695360000002,7.448518719903065,19.049806281,O11,O,43;45;,
10.324477776000004,1.349800025370811,17.214970728999997,O12,O,24;88;,
6.331200000000002,6.032155316889874,20.478219696,O13,O,43;64;,
6.331200000000001,1.249680809905413,2.171794614,O14,O,21;74;,
-4.180934543999998,9.724503733029325,0.433196995,O15,O,46;438;,
4.796453808000002,6.327468621652533,2.535528534,T1,Si,40;48;72;105,4.24785533;4.85813963;2.17179461;N 6.3312    ;6.22537553;3.0131819 ;N 4.70351179;7.27448893;1.23821089;N 3.90223512;6.95823065;3.71513784
4.774484544000002,6.328016919656179,20.195820722,T2,Si,60;71;73;108, 6.3312    ; 6.03215532;20.4782197 ;N  4.07488694; 6.85855007;21.54416216;N  4.63570464; 7.44851872;19.04980628;N  4.04975208; 4.9725146 ;19.71513624
4.829376048000001,6.3465493921793446,10.086796269,T3,Si,54;57;70;141, 6.3312    ; 5.778403  ;10.21612389;N  3.78327187; 5.12636701;10.07568218;N  4.51072675; 7.304426  ;11.33940496;N  4.69040621; 7.17568563; 8.71521628
4.793668080000002,8.295419816331593,17.691108534,T5,Si,17;73;80;120, 6.3312    ; 8.26636002;17.21497073;N  4.63570464; 7.44851872;19.04980628;N  3.86912294; 7.64985375;16.54408372;N  4.34446944; 9.81892065;17.95330007
4.791072288000001,8.29838062555127,0.0,T4,Si,41;72,4.18093454;9.72450373;0.43319699;N 4.70351179;7.27448893;1.23821089
4.753781520000004,8.233791120722007,12.62965,T6,Si,50;70;102;104, 6.3312    ; 8.39553903;12.89588302;N  4.51072675; 7.304426  ;11.33940496;N  4.10515008; 9.68074955;12.36341698;N  4.0704551 ; 7.55861696;13.91989504
-1.6407937919999984,3.790274439590271,16.544083721,O4,O,136;,
4.510726752000003,7.3044260045454195,11.339404956,O5,O,65;68;,
4.074886944000004,6.858550067982118,21.544162156,O6,O,64;96;,
4.703511792000001,7.274488933546456,1.238210886,O8,O,63;67;,
4.635704640000002,7.448518719903065,19.049806281,O11,O,64;66;,
4.784424528,0.990116534980342,2.535528534,T1,Si,6;61;83,4.10546664;2.37029227;3.0131819 ;N 6.3312    ;1.24968081;2.17179461;N 4.01075189;0.43611623;1.23821089
4.79493432,0.9708164452520752,20.195820722,T2,Si,18;82;84;127, 4.27280026; 2.46690238;20.4782197 ;N  4.68527794; 0.09968058;21.54416216;N  3.89394125; 0.29037862;19.04980628;N  6.3312    ; 1.02093088;19.71513624
4.751438976000001,1.0090876459064255,10.086796269,T3,Si,12;15;81;103, 4.49255621; 2.59377854;10.21612389;N  6.3312    ; 0.71322604;10.07568218;N  4.08121814; 0.25419095;11.33940496;N  4.10287085; 0.47416811; 8.71521628
3.081521664000001,0.0037284264247811,17.691108534,T5,Si,38;84, 2.33792222; 1.34980003;17.21497073;N  3.89394125; 0.29037862;19.04980628
3.080255424,0.0,0.0,T4,Si,83,4.01075189;0.43611623;1.23821089
3.154836960000001,1.3394694063762017e-15,12.62965,T6,Si,8;81, 2.22604992; 1.28521052;12.89588302;N  4.08121814; 0.25419095;11.33940496
3.869122944000004,7.649853746841143,16.544083721,O4,O,66;98;,
4.081218144,0.2541909544893611,11.339404956,O5,O,76;79;,
4.685277936000001,0.099680577062482,21.544162156,O6,O,75;,
4.010751888,0.4361162320984404,1.238210886,O8,O,74;78;,
3.893941248000001,0.2903786227298665,19.049806281,O11,O,75;77;,
9.412721664,3.6483749162472017,2.535528534,T1,Si,19;27;94;323, 8.41454467; 4.85813963; 2.17179461;N  8.55693336; 2.37029227; 3.0131819 ;N 10.27933632; 3.25535491; 1.23821089;N 10.40608694; 4.10741   ; 3.71513784
9.424181136000003,3.667126707971829,20.195820722,T2,Si,39;93;95;146, 8.38959974; 2.46690238;20.4782197 ;N 10.23343512; 4.00772943;21.54416216;N 10.46395411; 3.22706273;19.04980628;N  8.61264792; 4.9725146 ;19.71513624
9.412784976,3.610323034794309,10.086796269,T3,Si,33;36;92;122, 8.16984379; 2.59377854;10.21612389;N  8.87912813; 5.12636701;10.07568218;N 10.4016551 ; 3.40734311;11.33940496;N 10.20032294; 3.31610633; 8.71521628
