x,y,z,Site,Atom,Bonded Atoms,Bond Ends
8.547655400000002,0.4459329348912835,39.79522,O1,O,187;,
4.131911000000006,9.636501958870088,40.5870218,O2,O,,
0.0006279500000043,9.36132870880303,30.7695,O3,O,16;124;,
1.7318861000000048,10.830732111335028,32.086434600000004,O4,O,16;765;,
2.5689434500000035,8.734847317346015,30.7695,O5,O,16;133;,
4.153261300000002,6.830387392968864,3.7087504,O6,O,13;202;,
2.272551050000002,8.562999991217175,3.07695,O7,O,13;130;,
2.065955500000001,6.058162066693722,2.3015586,O8,O,13;112;,
4.682452724448282e-15,9.449427654476674,35.758261600000004,O9,O,14;122;,
8.129440700000002,0.1218158261166458,34.712098600000004,O10,O,189;,
2.5331503000000035,8.71418213255837,35.795185000000004,O11,O,14;131;,
1.886989750000002,6.1614879906319455,7.6349386,O12,O,15;114;,
2.5306385000000016,8.712006849949141,7.807247800000001,O13,O,15;132;,
3.091397850000002,7.266531556118628,2.5846380000000004,T1,Si,5;6;7;190,4.1532613 ;6.83038739;3.7087504 ;N 2.27255105;8.56299999;3.07695   ;N 2.0659555 ;6.05816207;2.3015586 ;N 3.88763845;7.62545319;1.23078   
1.522150800000004,9.9584437850355,35.89775,T2,Si,8;10;179;585,4.68245272e-15;9.44942765e+00;3.57582616e+01;N 2.53315030e+00;8.71418213e+00;3.57951850e+01;N 1.71241965e+00;1.06947769e+01;3.73172496e+01;N 1.84994070e+00;1.09982289e+01;3.47120986e+01
3.102700950000002,7.216500056106436,7.671862000000001,T3,Si,11;12;192;197,1.88698975;6.16148799;7.6349386 ;N 2.5306385 ;8.71200685;7.8072478 ;N 4.0452539 ;6.91522341;8.9395654 ;N 3.95922475;7.10121008;6.3139014 
1.5039402500000043,9.937778600247857,30.7695,T4,Si,2;3;4;206,6.27950000e-04;9.36132871e+00;3.07695000e+01;N 1.73188610e+00;1.08307321e+01;3.20864346e+01;N 2.56894345e+00;8.73484732e+00;3.07695000e+01;N 1.73188610e+00;1.08307321e+01;2.94525654e+01
9.482045,0.0,0.0,T5,Si,177,10.411411  ; 1.23991109; 0.4389782 
7.898983050000004,7.179520251749601,39.79522,O1,O,201;,
-4.131910999999995,9.636501958870088,40.5870218,O2,O,,
-1.827962449999997,6.196292512379561,30.7695,O3,O,34;115;,
-3.966132199999997,6.960904349522413,32.086434600000004,O4,O,34;,
-2.569571399999996,8.7337596760414,30.7695,O5,O,34;124;,
4.56708035,0.1816360978703513,3.7087504,O6,O,174;,
-2.272551049999998,8.562999991217175,3.07695,O7,O,31;121;,
2.5140208756222385e-15,9.636501958870085,2.3015586,O8,O,31;130;,
-1.9039443999999963,6.151699218890433,35.758261600000004,O9,O,32;113;,
8.388784050000003,6.979394251700832,34.712098600000004,O10,O,203;320;,
-2.5337782499999952,8.713094491253756,35.795185000000004,O11,O,32;122;,
2.9830360506066324e-15,9.42985011099364,7.6349386,O12,O,33;132;,
-2.5306384999999976,8.71200684994914,7.807247800000001,O13,O,33;123;,
-1.5591998499999975,9.920376339374046,2.5846380000000004,T1,Si,24;25;162;599,-2.27255105e+00; 8.56299999e+00; 3.07695000e+00;N  2.51402088e-15; 9.63650196e+00; 2.30155860e+00;N -2.26815540e+00; 1.04304801e+01; 1.23078000e+00;N -1.71241965e+00; 1.10580491e+01; 3.70875040e+00
-3.1058406999999955,7.2154124148018255,35.89775,T2,Si,26;28;193,-1.9039444 ; 6.15169922;35.7582616 ;N -2.53377825; 8.71309449;35.795185  ;N -3.83865835; 7.01202349;37.3172496 
-1.521522849999997,9.955180861121658,7.671862000000001,T3,Si,29;30;169;740, 2.98303605e-15; 9.42985011e+00; 7.63493860e+00;N -2.53063850e+00; 8.71200685e+00; 7.80724780e+00;N -1.84994070e+00; 1.07545972e+01; 6.31390140e+00;N -1.73188610e+00; 1.09220940e+01; 8.93956540e+00
-3.078838849999996,7.209974208278762,30.7695,T4,Si,20;21;22;220,-1.82796245; 6.19629251;30.7695    ;N -3.9661322 ; 6.96090435;32.0864346 ;N -2.5695714 ; 8.73375968;30.7695    ;N -3.9661322 ; 6.96090435;29.4525654 
-4.741022499999998,8.211691849827217,0.0,T5,Si,246,-3.88763845; 7.62545319; 1.23078   
2.3918615500000038,3.250959859487893,39.79522,O1,O,173;,
3.1301881880015187e-15,2.4798221745173623,40.5870218,O2,O,,
1.8273345000000032,6.195204871074948,30.7695,O3,O,52;133;,
2.2342461000000027,3.961189631400099,32.086434600000004,O4,O,52;175;,
0.0006279500000034,4.284219098870124,30.7695,O5,O,52;115;,
10.11815835,3.86438955528955,3.7087504,O6,O,188;337;,
