x,y,z,Site,Atom,Bonded Atoms,Bond Ends
5.13645,3.831113,2.54,T1,Si,4;5;6;44,4.347255 ;2.4536886;2.54     ;N 6.04131  ;3.903779 ;1.2699492;N 4.125    ;5.04625  ;2.54     ;N 6.04131  ;3.903779 ;3.8100508
3.06735,1.5300230000000004,2.54,T2,Si,4;7;8;45,4.34725500e+00;2.45368860e+00;2.54000000e+00;N 3.50559000e+00;1.55530143e-16;2.54000000e+00;N 2.20902000e+00;1.82411845e+00;3.81030480e+00;N 2.20902000e+00;1.82411845e+00;1.26969520e+00
1.5180000000000002,2.4201815,0.0,T3,Si,9;10;45,1.23053649e-16;2.00961860e+00;0.00000000e+00;N 1.65363000e+00;4.00571325e+00;0.00000000e+00;N 2.20902000e+00;1.82411845e+00;1.26969520e+00
1.5180000000000005,5.591245,0.0,T4,Si,10;11;66,1.65363000e+00;4.00571325e+00;0.00000000e+00;N 3.67504742e-16;6.00180790e+00;0.00000000e+00;N 2.20869000e+00;6.18872100e+00;1.26994920e+00
4.347255,2.4536886,2.54,O1,O,0;1;,
6.04131,3.903779,1.2699492,O2,O,0;64;,
4.125,5.04625,2.54,O3,O,0;61;,
3.50559,1.5553014349171386e-16,2.54,O4,O,1;,
2.20902,1.8241184500000005,3.8103048,O5,O,1;386;,
1.2305364929984922e-16,2.0096186,0.0,O6,O,2;,
1.6536300000000004,4.00571325,0.0,O7,O,2;3;,
3.675047416916148e-16,6.001807899999999,0.0,O8,O,3;,
11.363550000000002,16.353887,2.54,T1,Si,16;17;18;42,12.152745 ;17.7313114; 2.54     ;N 10.45869  ;16.281221 ; 1.2699492;N 12.375    ;15.13875  ; 2.54     ;N 10.45869  ;16.281221 ; 3.8100508
13.432650000000002,18.654977,2.54,T2,Si,16;20;43;211,12.152745  ;17.7313114 ; 2.54      ;N 14.29098   ;18.36088155; 3.8103048 ;N 14.29098   ;18.36088155; 1.2696952 ;N 12.99441   ;20.185     ; 2.54      
14.982000000000005,17.7648185,0.0,T3,Si,22;43;117,14.84637   ;16.17928675; 0.        ;N 14.29098   ;18.36088155; 1.2696952 ;N 16.5       ;18.1753814 ; 0.        
14.982000000000005,14.593754999999998,0.0,T4,Si,22;55;119,14.84637   ;16.17928675; 0.        ;N 14.29131   ;13.996279  ; 1.2699492 ;N 16.5       ;14.1831921 ; 0.        
