x,y,z,Site,Atom,Bonded Atoms,Bond Ends
8.8984331,12.0345,9.1645,O1,O,18;255;,
6.873500000000002,10.9441743,7.8961332,O2,O,18;67;,
8.688104,12.2727831,6.5306227,O3,O,18;19;,
9.2805997,9.9621591,7.5753757,O4,O,18;258;,
10.31025,13.0574325,4.58225,O5,O,19;326;,
10.1934005,14.3812275,6.8715421,O6,O,19;20;,
8.1904626,14.4678759,5.1889399,O7,O,19;25;,
10.637428600000002,15.654477599999998,9.1443381,O8,O,20;21;,
10.209896900000002,17.0264106,6.9393594,O9,O,20;22;,
12.4355362,15.6520707,7.276613,O10,O,20;400;,
10.112293200000002,16.4752305,11.583928,O11,O,21;240;,
8.186338500000002,16.2874923,9.7766886,O12,O,21;23;,
10.310250000000002,18.1600605,4.58225,O13,O,22;329;,
8.195961400000002,18.4970265,6.169541400000001,O14,O,22;24;,
6.873500000000002,18.1359915,8.4350058,O15,O,23;24;,
6.873500000000002,18.1552467,11.0652173,O16,O,23;244;,
6.873500000000001,16.2778647,6.611270300000001,O17,O,24;25;,
6.873500000000001,16.4054304,4.0213826,O18,O,25;333;,
8.4365339,11.3148369,7.800822399999999,T1,Si,0;1;2;3, 8.8984331;12.0345   ; 9.1645   ;N  6.8735   ;10.9441743; 7.8961332;N  8.688104 ;12.2727831; 6.5306227;N  9.2805997; 9.9621591; 7.5753757
9.3575829,13.5364056,5.788298200000001,T2,Si,2;4;5;6, 8.688104 ;12.2727831; 6.5306227;N 10.31025  ;13.0574325; 4.58225  ;N 10.1934005;14.3812275; 6.8715421;N  8.1904626;14.4678759; 5.1889399
10.850507100000002,15.683360399999998,7.5497151,T3,Si,5;7;8;9,10.1934005;14.3812275; 6.8715421;N 10.6374286;15.6544776; 9.1443381;N 10.2098969;17.0264106; 6.9393594;N 12.4355362;15.6520707; 7.276613 
9.5500409,15.6376293,10.3302244,T4,Si,7;10;11;246,10.6374286;15.6544776; 9.1443381;N 10.1122932;16.4752305;11.583928 ;N  8.1863385;16.2874923; 9.7766886;N  9.2805997;14.1068409;10.7536243
9.798861600000002,18.3357642,6.096225400000001,T5,Si,8;12;13;229,10.2098969;17.0264106; 6.9393594;N 10.31025  ;18.1600605; 4.58225  ;N  8.1959614;18.4970265; 6.1695414;N 10.5082068;19.6282695; 6.745072 
6.873500000000002,17.2165557,9.7583596,T6,Si,11;14;15;64, 8.1863385;16.2874923; 9.7766886;N  6.8735   ;18.1359915; 8.4350058;N  6.8735   ;18.1552467;11.0652173;N  5.5606615;16.2874923; 9.7766886
6.873500000000001,17.873639400000002,6.8458815,T7,Si,13;14;16;66, 8.1959614;18.4970265; 6.1695414;N  6.8735   ;18.1359915; 8.4350058;N  6.8735   ;16.2778647; 6.6112703;N  5.5510386;18.4970265; 6.1695414
6.873500000000001,15.3873117,5.2677546,T8,Si,6;16;17;59, 8.1904626;14.4678759; 5.1889399;N  6.8735   ;16.2778647; 6.6112703;N  6.8735   ;16.4054304; 4.0213826;N  5.5565374;14.4678759; 5.1889399
1.4190400249975909e-15,16.4222787,6.7524036,T9,Si,62;233;324,1.31146380e+00;1.56520707e+01;7.27661300e+00;N 1.54379196e-15;1.79482533e+01;7.26378270e+00;N 1.31946800e-15;1.64054304e+01;5.14311740e+00
2.024933100000001,24.069,9.1645,O1,O,45;990;,
