x,y,z,Site,Atom,Bonded Atoms,Bond Ends
8.466091200000001,24.674386,11.273124,O1,O,59;376;,
7.148000000000002,22.7152,10.112536,O2,O,59;790;,
7.148000000000002,22.9480308,12.736033,O3,O,59;65;,
5.834197600000002,20.7616928,13.393429,O4,O,65;503;,
7.148000000000002,22.118926,15.2175,O5,O,65;793;,
7.1480000000000015,16.1107556,15.2175,O6,O,64;792;,
8.464661600000001,17.4225584,13.365023,O7,O,64;377;,
7.1480000000000015,15.2305416,12.748207,O8,O,64;788;,
7.148000000000001,15.4860876,0.0142029999999999,O9,O,789;,
8.456084000000002,13.504186400000002,19.176079,O10,O,60;716;,
7.148000000000001,4.083057200000001,12.817193,O11,O,66;67;,
5.834197600000001,6.280752800000001,13.464444,O12,O,66;499;,
7.148000000000001,6.167176800000001,11.208196,O13,O,66;797;,
7.148000000000001,2.0330104000000007,11.1595,O14,O,67;796;,
8.456084,1.8796828000000003,13.429951,O15,O,67;384;,
3.2466216,1.9648648,0.980007,O16,O,47;50;,
2.814882400000001,3.617395600000002,19.263326,O17,O,620;,
3.8341872,4.531682399999999,1.211313,O18,O,47;56;,
3.3295384,9.284838,3.00292,O19,O,48;58;,
3.6983752,6.6953052,2.67828,O20,O,56;58;,
3.219459200000001,7.6550224,5.0725,O21,O,58;898;,
3.811313600000001,11.8346192,3.268719,O22,O,48;57;,
2.7705648000000007,10.9203324,1.032761,O23,O,48;,
3.3652784000000007,16.5366656,1.193052,O24,O,49;51;,
3.5740000000000007,14.197,0.0,O25,O,49;,
3.383863200000001,14.33897,2.619439,O26,O,49;57;,
3.249480800000001,21.8690588,5.0725,O27,O,54;894;,
3.675501600000001,21.210318,2.552482,O28,O,52;54;,
3.350982400000001,23.7430628,3.236255,O29,O,53;54;,
3.9070968000000015,26.321238,3.114515,O30,O,53;55;,
2.757698400000001,28.621152,2.609294,O31,O,55;237;,
2.827748800000002,27.7068652,5.0725,O32,O,55;895;,
5.8384864,1.9648648,1.2863859999999998,O33,O,50;68;,
4.6948064,0.0,0.0,O34,O,50;,
5.824190399999999,6.2807528,1.207255,O35,O,56;69;,
3.5325416,6.865669199999999,0.0568119999999999,O36,O,56;,
5.832768000000001,13.5325804,3.169298,O37,O,57;70;,
4.0357608,13.7313384,5.0725,O38,O,57;897;,
5.831338400000001,17.46231,1.150443,O39,O,51;789;,
3.7798624000000016,19.109162,0.951601,O40,O,51;52;,
5.8270496000000005,20.7049048,1.099718,O41,O,52;62;,
5.837056800000002,24.5721676,3.177414,O42,O,53;63;,
7.148,4.11713,0.580294,O43,O,68;69;,
7.148000000000001,14.7875952,5.0725,O44,O,70;798;,
7.148000000000001,15.741633599999998,2.631613,O45,O,70;789;,
7.1480000000000015,22.3517568,2.6377,O46,O,62;63;,
7.1480000000000015,23.3001164,5.0725,O47,O,63;791;,
2.8077344,3.464068,0.5742069999999999,T1,Si,15;17;329,3.2466216;1.9648648;0.980007 ;N 3.8341872;4.5316824;1.211313 ;N 1.3180912;3.719614 ;1.128124 
