x,y,z,Site,Atom,Bonded Atoms,Bond Ends
4.5993306283,2.2060308384,2.946181289,T1,Si,9;10;11;12,5.6285185 ;2.66229826;4.09665804;N 3.42263892;1.3198901 ;3.5938939 ;N 3.9380185 ;3.49694279;2.24893771;N 5.35531233;1.32081298;1.8344679 
3.2549048628,7.0311695748,2.9620842074,T2,Si,13;14;15;243,2.03578861;7.91435712;3.53359534;N 4.10968075;7.91177308;1.92044305;N 2.62600036;5.74930176;2.21895408;N 4.1919765 ;6.56641174;4.18611196
2.6953330577,4.2725235816,1.5815121038,T3,Si,11;15;17;19,3.9380185 ;3.49694279;2.24893771;N 2.62600036;5.74930176;2.21895408;N 1.31653556;3.48845238;1.85119909;N 2.955969  ;4.40154095;0.        
4.855645547799999,4.1131761801566445e-16,6.71732647,T4,Si,22;23;248,3.48961469e+00;3.59068616e-16;5.86403550e+00;N 4.48462725e+00;5.07173388e-16;8.28277000e+00;N 5.71081425e+00;1.31693692e+00;6.36232695e+00
2.9159013754000003,2.669862151366289e-16,4.360215783399999,T5,Si,10;22;24,3.42263892e+00;1.31989010e+00;3.59389390e+00;N 3.48961469e+00;3.59068616e-16;5.86403550e+00;N 1.30651865e+00;2.67290519e-16;4.36518545e+00
1.593669928600001,9.22871,4.3489512162,T6,Si,13;20;21;123,2.03578861e+00;7.91435712e+00;3.53359534e+00;N 2.29269276e+00;9.22871000e+00;5.79843597e+00;N 8.43949581e-16;9.22871000e+00;4.55403260e+00;N 2.03578861e+00;1.05430629e+01;3.53359534e+00
3.594890399700001,9.22871,6.743500023199999,T7,Si,20;25;201;246, 2.29269276; 9.22871   ; 5.79843597;N  3.12409587; 9.22871   ; 8.28277   ;N  4.46518267;10.54952298; 6.4483021 ;N  4.46518267; 7.90789702; 6.4483021 
2.5463071141544206e-16,2.6132015236,1.5452335711999998,T8,Si,16;17;18,1.32334066e-16;2.16117931e+00;0.00000000e+00;N 1.31653556e+00;3.48845238e+00;1.85119909e+00;N 2.33092568e-16;1.31324543e+00;2.49344508e+00
2.0958433103427024e-16,2.0958433103427024e-16,3.4227718748,T9,Si,18;24,2.33092568e-16;1.31324543e+00;2.49344508e+00;N 1.30651865e+00;2.67290519e-16;4.36518545e+00
5.6285185043,2.6622982608000005,4.096658042,O1,O,0;239;,
3.4226389174,1.3198901042000002,3.593893903,O2,O,0;4;,
3.938018495,3.4969427932,2.2489377103999995,O3,O,0;2;,
5.3553123334,1.3208129752000002,1.8344678996,O4,O,0;242;,
2.0357886135000003,7.914357121799999,3.5335953373999995,O5,O,1;5;,
4.109680747600001,7.911773082999999,1.9204430522,O6,O,1;193;,
2.6260003630000006,5.7493017558,2.218954083,O7,O,1;2;,
1.3233406608403812e-16,2.1611793078,0.0,O8,O,7;,
1.3165355597000006,3.48845238,1.851199095,O9,O,2;7;,
2.3309256765348816e-16,1.3132454330000003,2.4934450807999995,O10,O,7;8;,
2.955968995,4.401540947399999,0.0,O11,O,2;,
2.2926927627000007,9.22871,5.7984359662,O12,O,5;6;,
8.439495805138186e-16,9.22871,4.554032601399999,O13,O,5;,
3.4896146933,3.5906861553974123e-16,5.8640355046,O14,O,3;4;,
4.484627246700001,5.071733884286861e-16,8.28277,O15,O,3;29;,
1.3065186548,2.672905191696862e-16,4.3651854454,O16,O,4;8;,
3.124095869400001,9.22871,8.28277,O17,O,6;32;,
4.5993306283000015,16.2513891616,13.619358711,T1,Si,35;36;37;38, 5.6285185 ;15.79512174;12.46888196;N  3.42263892;17.1375299 ;12.9716461 ;N  3.9380185 ;14.96047721;14.31660229;N  5.35531233;17.13660702;14.7310721 
3.254904862800001,11.4262504252,13.603455792599998,T2,Si,39;40;41;258, 2.03578861;10.54306288;13.03194466;N  4.10968075;10.54564692;14.64509695;N  2.62600036;12.70811824;14.34658592;N  4.1919765 ;11.89100826;12.37942804
2.695333057700001,14.1848964184,14.9840278962,T3,Si,37;41;43, 3.9380185 ;14.96047721;14.31660229;N  2.62600036;12.70811824;14.34658592;N  1.31653556;14.96896762;14.7143409 
4.8556455478,6.03029158841708e-16,9.84821353,T4,Si,23;48;227,4.48462725e+00;5.07173388e-16;8.28277000e+00;N 3.48961469e+00;6.55278161e-16;1.07015045e+01;N 5.71081425e+00;1.31693692e+00;1.02032131e+01
2.9159013754000007,7.473605617207435e-16,12.2053242166,T5,Si,48;49;131,3.48961469e+00;6.55278161e-16;1.07015045e+01;N 1.30651865e+00;7.47056258e-16;1.22003546e+01;N 3.42263892e+00;1.31989010e+00;1.29716461e+01
1.5936699286000011,9.22871,12.2165887838,T6,Si,39;46;47;134,2.03578861e+00;1.05430629e+01;1.30319447e+01;N 2.29269276e+00;9.22871000e+00;1.07671040e+01;N 1.30058821e-15;9.22871000e+00;1.20115074e+01;N 2.03578861e+00;7.91435712e+00;1.30319447e+01
3.594890399700001,9.22871,9.8220399768,T7,Si,25;46;225;261, 3.12409587; 9.22871   ; 8.28277   ;N  2.29269276; 9.22871   ;10.76710403;N  4.46518267; 7.90789702;10.1172379 ;N  4.46518267;10.54952298;10.1172379 
1.8899070816178477e-15,15.8442184764,15.020306428799998,T8,Si,43;44,1.31653556e+00;1.49689676e+01;1.47143409e+01;N 1.91144523e-15;1.71441746e+01;1.40720949e+01
8.047624458231019e-16,8.047624458231019e-16,13.142768125199998,T9,Si,49;66,1.30651865e+00;7.47056258e-16;1.22003546e+01;N 9.42080391e-16;1.31324543e+00;1.40720949e+01
5.6285185043000014,15.7951217392,12.468881958,O1,O,26;254;,
3.4226389174000014,17.1375298958,12.971646097,O2,O,26;626;,
3.938018495000002,14.9604772068,14.3166022896,O3,O,26;28;,
5.3553123334000015,17.1366070248,14.731072100399995,O4,O,26;257;,
2.035788613500001,10.5430628782,13.0319446626,O5,O,27;31;,
4.1096807476000015,10.545646917,14.6450969478,O6,O,27;217;,
2.626000363000002,12.708118244199998,14.346585917,O7,O,27;28;,
9.978569500918788e-16,16.296240692199998,0.0,O8,O,80;,
1.316535559700002,14.96896762,14.714340904999998,O9,O,28;33;,
1.911445225379801e-15,17.144174566999997,14.0720949192,O10,O,33;630;,
2.9559689950000005,14.0558790526,0.0,O11,O,118;,
2.2926927627000007,9.22871,10.767104033799995,O12,O,31;32;,
1.3005882125194705e-15,9.22871,12.0115073986,O13,O,31;,
3.4896146933,6.55278161317631e-16,10.701504495399998,O14,O,29;30;,
1.3065186548000003,7.47056257687686e-16,12.2003545546,O16,O,30;34;,
15.0416593717,2.2060308384000007,13.619358711,T1,Si,58;59;60;61,14.0124715 ; 2.66229826;12.46888196;N 16.21835108; 1.3198901 ;12.9716461 ;N 15.70297151; 3.49694279;14.31660229;N 14.28567767; 1.32081298;14.7310721 
16.3860851372,7.031169574800001,13.603455792599998,T2,Si,62;63;64;273,17.60520139; 7.91435712;13.03194466;N 15.53130925; 7.91177308;14.64509695;N 17.01498964; 5.74930176;14.34658592;N 15.4490135 ; 6.56641174;12.37942804
16.9456569423,4.272523581600001,14.9840278962,T3,Si,60;64;65,15.70297151; 3.49694279;14.31660229;N 17.01498964; 5.74930176;14.34658592;N 18.32445444; 3.48845238;14.7143409 
14.7853444522,6.03029158841708e-16,9.84821353,T4,Si,69;70;278,1.61513753e+01;6.55278161e-16;1.07015045e+01;N 1.51563628e+01;5.07173388e-16;8.28277000e+00;N 1.39301757e+01;1.31693692e+00;1.02032131e+01
16.725088624599998,7.473605617207435e-16,12.2053242166,T5,Si,59;69;71,1.62183511e+01;1.31989010e+00;1.29716461e+01;N 1.61513753e+01;6.55278161e-16;1.07015045e+01;N 1.83344713e+01;7.47056258e-16;1.22003546e+01
18.0473200714,9.22871,12.2165887838,T6,Si,62;68;101;345,17.60520139; 7.91435712;13.03194466;N 17.34829724; 9.22871   ;10.76710403;N 17.60520139;10.54306288;13.03194466;N 19.64099   ; 9.22871   ;12.0115074 
16.0460996003,9.22871,9.8220399768,T7,Si,68;72;150;276,17.34829724; 9.22871   ;10.76710403;N 16.51689413; 9.22871   ; 8.28277   ;N 15.17580733;10.54952298;10.1172379 ;N 15.17580733; 7.90789702;10.1172379 
1.0797409535823029e-15,2.613201523600001,15.020306428799998,T8,Si,66;137,9.42080391e-16;1.31324543e+00;1.40720949e+01;N 1.31653556e+00;3.48845238e+00;1.47143409e+01
14.0124714957,2.662298260800001,12.468881958,O1,O,50;269;,
16.218351082599998,1.3198901042000009,12.971646097,O2,O,50;54;,
15.702971505,3.496942793200001,14.3166022896,O3,O,50;52;,
14.2856776666,1.3208129752000008,14.731072100399995,O4,O,50;272;,
