x,y,z,Site,Atom,Bonded Atoms,Bond Ends
4.910176715000001,4.606641699038443,0.9914392400000002,T1,Si,6;7;8,6.0928618 ;5.69096366;1.12818948;N 5.46204326;3.15351214;1.4141218 ;N 3.68841438;5.02379486;1.95490684
2.4347522350000013,6.0349078210191776,1.9890944000000004,T2,Si,8;9;10;217,3.68841438;5.02379486;1.95490684;N 2.94913651;7.5059943 ;2.39623716;N 1.33261415;5.4962001 ;3.03647692;N 1.75688149;6.08739729;0.53146116
-0.0007974949999981,6.225527477531113,3.5710460400000006,T3,Si,10;11;14;112, 1.33261415e+00; 5.49620010e+00; 3.03647692e+00;N  7.97495000e-04; 6.33879423e+00; 5.18096932e+00;N  7.97495000e-04; 7.69799526e+00; 2.92769832e+00;N -1.33261414e+00; 5.49620010e+00; 3.03647692e+00
-0.0007974949999973,7.5184260173511985,6.271863280000002,T4,Si,11;12;13;41, 7.97495000e-04; 6.33879423e+00; 5.18096932e+00;N  1.30071435e+00; 8.45771128e+00; 6.09470956e+00;N -7.97495000e-04; 6.92170361e+00; 7.76990000e+00;N -1.30071434e+00; 8.45771128e+00; 6.09470956e+00
-0.0007974949999977,9.20913949250054,2.3775894000000006,T5,Si,14;15;29;43, 7.97495000e-04; 7.69799526e+00; 2.92769832e+00;N -7.97495000e-04; 9.20913949e+00; 7.67666120e-01;N  1.30789180e+00; 9.96471161e+00; 2.92769832e+00;N -1.30868929e+00; 9.96333031e+00; 2.92769832e+00
4.393399955000002,4.565202643274982,30.548138840000007,O1,O,216;,
6.0928618000000005,5.690963658182424,1.1281894800000003,O2,O,0;103;,
5.462043255,3.1535121435996296,1.4141218000000002,O3,O,0;113;,
3.6884143750000016,5.02379486039065,1.9549068400000005,O4,O,0;1;,
2.949136510000002,7.5059943006221586,2.3962371600000005,O5,O,1;104;,
1.3326141450000009,5.4962000960941415,3.0364769200000006,O6,O,1;2;,
0.0007974950000021,6.338794229951249,5.180969320000001,O7,O,2;3;,
1.3007143450000025,8.457711281323053,6.094709560000001,O8,O,3;19;,
