x,y,z,Site,Atom,Bonded Atoms,Bond Ends
11.042435745,4.282336030000001,15.261953679,T1,Si,16;18;27;206,10.1001489 ; 3.42230041;14.27991485;N 10.5474807 ; 4.1188418 ;16.78523232;N 10.96402703; 5.83075   ;14.83014607;N 12.5655    ; 3.77412786;15.13607376
8.598445994999999,2.912226395000001,14.003373762,T2,Si,12;15;16;17, 7.60036833; 3.55804027;15.08694988;N  8.13678952; 3.32341089;12.51825385;N 10.1001489 ; 3.42230041;14.27991485;N  8.56162908; 1.30900338;14.14219256
10.995943395000005,4.308224560000001,18.32057262,T3,Si,13;18;180;198,10.72013067; 5.83075   ;18.76904726;N 10.5474807 ; 4.1188418 ;16.78523232;N 10.17591887; 3.27618181;19.24559267;N 12.5655    ; 3.98216902;18.45851421
8.79585,3.3306410150000003,8.571896361,T4,Si,9;11;20;137, 8.57105321; 4.5153328 ; 7.50608378;N  8.80238406; 3.95021651;10.0583321 ;N 10.17591886; 2.55456819; 8.28044267;N  7.59421124; 2.26582945; 8.46860465
7.814987070000002,4.301111045000001,11.281604229,T5,Si,10;11;15;19, 8.04393048; 5.83075   ;11.72964026;N  8.80238406; 3.95021651;10.0583321 ;N  8.13678952; 3.32341089;12.51825385;N  6.28275   ; 4.10333201;10.8263312 
6.282750000000001,4.294580605000001,18.85567194,T6,Si,21;23;26;69, 6.28275   ; 5.83075   ;19.33660342;N  4.97128877; 3.56492055;19.43375465;N  6.28275   ; 4.22915959;17.24927746;N  7.59421124; 3.56492055;19.43375465
6.282750000000001,4.294697220000001,15.642663687,T7,Si,12;25;26;63, 7.60036833; 3.55804027;15.08694988;N  6.28275   ; 5.83075   ;15.1610743 ;N  6.28275   ; 4.22915959;17.24927746;N  4.96513167; 3.55804027;15.08694988
7.817877135,5.83075,3.746791755,T8,Si,24;28;101;178,7.87731195;5.83075   ;5.35362484;N 6.28275   ;5.83075   ;3.26191282;N 8.56162908;7.13975337;3.17704256;N 8.56162908;4.52174662;3.17704256
7.819384995,5.83075,6.961115826,T9,Si,9;24;29;75,8.57105321;4.5153328 ;7.50608378;N 7.87731195;5.83075   ;5.35362484;N 6.28275   ;5.83075   ;7.44226661;N 8.57105321;7.1461672 ;7.50608378
8.571053205,4.515332800000001,7.506083781,O1,O,3;8;,
