x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.1020670000000004,2.2919346000000003,1.3145012,O1,O,12;14;,
8.95963844724195e-17,1.46322,0.0,O2,O,14;,
2.1700126,0.0,0.0,O3,O,14;,
1.9385729000000007,1.6866936000000003,6.338,O4,O,11;158;,
1.6880235000000003,2.656868046668505e-16,4.3389948,O5,O,11;,
2.5076173000000006,2.4568794000000005,3.89787,O6,O,11;12;,
4.032435786149621e-16,1.9992906,4.5861768000000005,O7,O,11;,
4.45893,1.6800426000000002,2.2968912,O8,O,12;13;,
3.6563226,4.1808186,2.2664688,O9,O,12;98;,
6.3571602,9.795406003200858e-17,1.5997112,O10,O,13;,
5.7095537,1.9833282,0.0,O11,O,13;,
1.528776,1.5377112000000002,4.7877252,T1,Si,3;4;5;6,1.93857290e+00;1.68669360e+00;6.33800000e+00;N 1.68802350e+00;2.65686805e-16;4.33899480e+00;N 2.50761730e+00;2.45687940e+00;3.89787000e+00;N 4.03243579e-16;1.99929060e+00;4.58617680e+00
3.18495,2.6524188,2.4502708,T2,Si,0;5;7;8,2.102067 ;2.2919346;1.3145012;N 2.5076173;2.4568794;3.89787  ;N 4.45893  ;1.6800426;2.2968912;N 3.6563226;4.1808186;2.2664688
5.870924500000001,1.5337206,1.5375988,T3,Si,7;9;10;94,4.4589300e+00;1.6800426e+00;2.2968912e+00;N 6.3571602e+00;9.7954060e-17;1.5997112e+00;N 5.7095537e+00;1.9833282e+00;0.0000000e+00;N 6.9601774e+00;2.4701814e+00;2.2664688e+00
1.6052148,1.509777,0.0,T4,Si,0;1;2,2.10206700e+00;2.29193460e+00;1.31450120e+00;N 8.95963845e-17;1.46322000e+00;0.00000000e+00;N 2.17001260e+00;0.00000000e+00;0.00000000e+00
12.718567,8.9429346,1.3145012,O1,O,27;29;,
10.6165,8.11422,0.0,O2,O,29;55;,
12.7865126,6.651,0.0,O3,O,29;79;,
12.5550729,8.3376936,6.338,O4,O,26;165;,
12.3045235,6.651,4.3389948,O5,O,26;76;,
13.1241173,9.1078794,3.89787,O6,O,26;27;,
10.6165,8.6502906,4.5861768000000005,O7,O,26;52;,
15.07543,8.3310426,2.2968912,O8,O,27;28;,
14.2728226,10.8318186,2.2664688,O9,O,27;88;,
16.9736602,6.651,1.5997112,O10,O,28;78;,
16.3260537,8.6343282,0.0,O11,O,28;,
12.145276,8.1887112,4.7877252,T1,Si,18;19;20;21,12.5550729; 8.3376936; 6.338    ;N 12.3045235; 6.651    ; 4.3389948;N 13.1241173; 9.1078794; 3.89787  ;N 10.6165   ; 8.6502906; 4.5861768
13.80145,9.3034188,2.4502708,T2,Si,15;20;22;23,12.718567 ; 8.9429346; 1.3145012;N 13.1241173; 9.1078794; 3.89787  ;N 15.07543  ; 8.3310426; 2.2968912;N 14.2728226;10.8318186; 2.2664688
