x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.1057621,8.631222600000001,0.0,O11,O,15;,
6.397361200854487e-16,8.916794900000001,1.5308888,O12,O,15;,
1.686744800000001,6.947146699999999,1.9787964,O13,O,15;16;,
2.364645400000001,9.4372304,2.5067336000000005,O14,O,15;20;,
2.6342043000000004,4.5397989,2.3544192,O15,O,16;19;,
1.7454606,5.2257062,0.0,O16,O,16;,
4.21296476721701e-16,4.9428028,1.9374908000000004,O17,O,16;,
1.8789056000000008,1.8789056000000008,6.454000000000001,O18,O,18;260;,
3.961530389752168e-16,1.8602233,4.6094468,O19,O,18;,
2.4633947000000003,2.4633947000000003,3.9588836,O20,O,18;19;,
2.215187,2.215187,1.3295240000000002,O21,O,19;21;,
2.305929600000001,12.0340701,2.1246568000000003,O22,O,20;313;,
1.14396094478553e-16,1.8682300000000005,0.0,O23,O,21;,
1.0822107751756106e-15,13.3445,4.3293432,O24,O,17;60;,
1.118176839189306e-15,11.8072136,6.454000000000001,O25,O,17;188;,
1.5479620000000005,8.4790953,1.5037820000000002,T1,Si,0;1;2;3,2.1057621e+00;8.6312226e+00;0.0000000e+00;N 6.3973612e-16;8.9167949e+00;1.5308888e+00;N 1.6867448e+00;6.9471467e+00;1.9787964e+00;N 2.3646454e+00;9.4372304e+00;2.5067336e+00
1.5079285000000002,5.3965158,1.5825208000000002,T2,Si,2;4;5;6,1.68674480e+00;6.94714670e+00;1.97879640e+00;N 2.63420430e+00;4.53979890e+00;2.35441920e+00;N 1.74546060e+00;5.22570620e+00;0.00000000e+00;N 4.21296477e-16;4.94280280e+00;1.93749080e+00
1.0204273441586268e-15,11.817889200000002,4.846954,T3,Si,13;14;308,1.08221078e-15;1.33445000e+01;4.32934320e+00;N 1.11817684e-15;1.18072136e+01;6.45400000e+00;N 1.31042990e+00;1.10385704e+01;4.32934320e+00
1.5479620000000005,1.5479620000000005,4.9140756,T4,Si,7;8;9;139,1.87890560e+00;1.87890560e+00;6.45400000e+00;N 3.96153039e-16;1.86022330e+00;4.60944680e+00;N 2.46339470e+00;2.46339470e+00;3.95888360e+00;N 1.86022330e+00;2.82247213e-16;4.60944680e+00
2.9758235,2.9758235,2.5222232,T5,Si,4;9;10;410,2.6342043;4.5397989;2.3544192;N 2.4633947;2.4633947;3.9588836;N 2.215187 ;2.215187 ;1.329524 ;N 4.5397989;2.6342043;2.3544192
2.4714014000000004,10.8730986,3.2270000000000003,T6,Si,3;11;300;308, 2.3646454; 9.4372304; 2.5067336;N  2.3059296;12.0340701; 2.1246568;N  3.9072696;10.9798546; 3.9472664;N  1.3104299;11.0385704; 4.3293432
1.5773199,1.5773199,0.0,T7,Si,10;12;143,2.21518700e+00;2.21518700e+00;1.32952400e+00;N 1.14396094e-16;1.86823000e+00;0.00000000e+00;N 1.86823000e+00;0.00000000e+00;0.00000000e+00
15.450262100000002,21.9757226,6.454000000000001,O11,O,37;341;,
13.344500000000002,22.261294900000003,7.984888800000001,O12,O,37;394;,
15.031244800000003,20.2916467,8.4327964,O13,O,37;38;,
15.709145400000002,22.7817304,8.960733600000001,O14,O,37;42;,
15.978704300000002,17.8842989,8.808419200000001,O15,O,38;41;,
15.089960600000005,18.5702062,6.454000000000001,O16,O,38;342;,
13.344500000000002,18.287302800000003,8.391490800000001,O17,O,38;395;,
15.223405600000005,15.2234056,12.908,O18,O,40;,
13.344500000000002,15.2047233,11.0634468,O19,O,40;127;,
15.807894700000004,15.807894700000002,10.4128836,O20,O,40;41;,
15.559687,15.559686999999998,7.783524000000001,O21,O,41;43;,
15.650429600000002,25.3785701,8.578656800000001,O22,O,42;1130;,
13.344500000000002,15.212730000000002,6.454000000000001,O23,O,43;130;,
13.344500000000002,26.689,10.7833432,O24,O,39;919;,
13.344500000000002,25.1517136,12.908,O25,O,39;,
14.892462000000004,21.8235953,7.957782000000002,T1,Si,22;23;24;25,15.4502621;21.9757226; 6.454    ;N 13.3445   ;22.2612949; 7.9848888;N 15.0312448;20.2916467; 8.4327964;N 15.7091454;22.7817304; 8.9607336
14.852428500000002,18.7410158,8.036520800000002,T2,Si,24;26;27;28,15.0312448;20.2916467; 8.4327964;N 15.9787043;17.8842989; 8.8084192;N 15.0899606;18.5702062; 6.454    ;N 13.3445   ;18.2873028; 8.3914908
13.344500000000002,25.162389200000003,11.300954,T3,Si,35;36;291;347,13.3445   ;26.689    ;10.7833432;N 13.3445   ;25.1517136;12.908    ;N 14.6549299;24.3830704;10.7833432;N 12.0340701;24.3830704;10.7833432
14.892462000000004,14.892462000000002,11.3680756,T4,Si,29;30;31;160,15.2234056;15.2234056;12.908    ;N 13.3445   ;15.2047233;11.0634468;N 15.8078947;15.8078947;10.4128836;N 15.2047233;13.3445   ;11.0634468
16.3203235,16.3203235,8.976223200000002,T5,Si,26;31;32;416,15.9787043;17.8842989; 8.8084192;N 15.8078947;15.8078947;10.4128836;N 15.559687 ;15.559687 ; 7.783524 ;N 17.8842989;15.9787043; 8.8084192
15.815901400000005,24.2175986,9.681,T6,Si,25;33;284;291,15.7091454;22.7817304; 8.9607336;N 15.6504296;25.3785701; 8.5786568;N 17.2517696;24.3243546;10.4012664;N 14.6549299;24.3830704;10.7833432
14.921819900000004,14.9218199,6.454000000000001,T7,Si,32;34;164;272,15.559687;15.559687; 7.783524;N 13.3445  ;15.21273 ; 6.454   ;N 15.21273 ;13.3445  ; 6.454   ;N 15.559687;15.559687; 5.124476
24.5832379,18.0577774,0.0,O11,O,58;,
1.1819736079137898e-15,17.772205099999997,1.5308888,O12,O,376;,
25.0022552,19.7418533,1.9787964,O13,O,58;59;,
24.3243546,17.2517696,2.5067336000000005,O14,O,58;63;,
24.0547957,22.1492011,2.3544192,O15,O,59;62;,
24.9435394,21.4632938,0.0,O16,O,59;,
1.450207635060229e-15,21.7461972,1.9374908000000004,O17,O,377;,
24.8100944,24.8100944,6.454000000000001,O18,O,61;295;,
1.8025713090929703e-15,24.8287767,4.6094468,O19,O,148;,
24.2256053,24.2256053,3.9588836,O20,O,61;62;,
24.473813,24.473813,1.3295240000000002,O21,O,62;64;,
24.3830704,14.654929899999996,2.1246568000000003,O22,O,63;278;,
1.5198338266436325e-15,24.82077,0.0,O23,O,151;,
1.3064401261025816e-15,14.8817864,6.454000000000001,O25,O,60;223;,
25.141038,18.2099047,1.5037820000000002,T1,Si,44;46;47;465,24.5832379;18.0577774; 0.       ;N 25.0022552;19.7418533; 1.9787964;N 24.3243546;17.2517696; 2.5067336;N 26.689    ;17.7722051; 1.5308888
25.1810715,21.2924842,1.5825208000000002,T2,Si,46;48;49;470,25.0022552;19.7418533; 1.9787964;N 24.0547957;22.1492011; 2.3544192;N 24.9435394;21.4632938; 0.       ;N 26.689    ;21.7461972; 1.9374908
1.2073832471350046e-15,14.8711108,4.846954,T3,Si,13;57;368,1.08221078e-15;1.33445000e+01;4.32934320e+00;N 1.30644013e-15;1.48817864e+01;6.45400000e+00;N 1.31042990e+00;1.56504296e+01;4.32934320e+00
25.141038,25.141038,4.9140756,T4,Si,51;53;472;932,24.8100944;24.8100944; 6.454    ;N 24.2256053;24.2256053; 3.9588836;N 26.689    ;24.8287767; 4.6094468;N 24.8287767;26.689    ; 4.6094468
23.7131765,23.7131765,2.5222232,T5,Si,48;53;54;398,24.0547957;22.1492011; 2.3544192;N 24.2256053;24.2256053; 3.9588836;N 24.473813 ;24.473813 ; 1.329524 ;N 22.1492011;24.0547957; 2.3544192
24.2175986,15.8159014,3.2270000000000003,T6,Si,47;55;265;273,24.3243546;17.2517696; 2.5067336;N 24.3830704;14.6549299; 2.1246568;N 22.7817304;15.7091454; 3.9472664;N 25.3785701;15.6504296; 4.3293432
25.1116801,25.1116801,0.0,T7,Si,54;476;936,24.473813;24.473813; 1.329524;N 26.689   ;24.82077 ; 0.      ;N 24.82077 ;26.689   ; 0.      
11.2387379,4.713277399999999,6.454000000000001,O11,O,80;327;,
13.3445,4.427705100000001,7.984888800000001,O12,O,80;382;,
11.6577552,6.397353300000002,8.4327964,O13,O,80;81;,
10.9798546,3.9072696,8.960733600000001,O14,O,80;85;,
10.7102957,8.804701099999999,8.808419200000001,O15,O,81;84;,
11.5990394,8.1187938,6.454000000000001,O16,O,81;328;,
13.3445,8.4016972,8.391490800000001,O17,O,81;383;,
11.4655944,11.4655944,12.908,O18,O,83;,
13.3445,11.4842767,11.0634468,O19,O,83;170;,
10.8811053,10.8811053,10.4128836,O20,O,83;84;,
