x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.1915445961664e-16,1.94594,0.0,O1,O,4;,
1.314,7.269102327911969e-17,1.1871345,O2,O,4;,
1.3140000000000005,2.410075,2.2257752,O3,O,4;5;,
2.628000000000001,3.725000000000001,4.0795,O4,O,5;15;,
1.314,1.5726950000000002,0.8501678,T1,Si,0;1;2;6,1.19154460e-16;1.94594000e+00;0.00000000e+00;N 1.31400000e+00;7.26910233e-17;1.18713450e+00;N 1.31400000e+00;2.41007500e+00;2.22577520e+00;N 2.62800000e+00;1.94594000e+00;0.00000000e+00
1.3140000000000005,3.725,3.1534535000000004,T2,Si,2;3;7;9,1.31400000e+00;2.41007500e+00;2.22577520e+00;N 2.62800000e+00;3.72500000e+00;4.07950000e+00;N 4.77887797e-16;3.72500000e+00;4.07950000e+00;N 1.31400000e+00;5.03992500e+00;2.22577520e+00
2.628,1.94594,0.0,O1,O,4;,
4.77887797197276e-16,3.725000000000001,4.0795,O4,O,5;,
3.3702647306574897e-16,5.50406,0.0,O1,O,10;,
1.3140000000000005,5.039925,2.2257752,O3,O,5;10;,
1.3140000000000005,5.877305,0.8501678,T1,Si,8;9;11;38,3.37026473e-16;5.50406000e+00;0.00000000e+00;N 1.31400000e+00;5.03992500e+00;2.22577520e+00;N 2.62800000e+00;5.50406000e+00;0.00000000e+00;N 1.31400000e+00;7.45000000e+00;1.18713450e+00
2.628000000000001,5.50406,0.0,O1,O,10;,
3.9420000000000006,4.269036384330431e-16,6.971865500000001,O2,O,18;,
3.942000000000001,5.039925,5.933224800000001,O3,O,14;15;,
3.942000000000001,5.877305000000001,7.308832200000001,T1,Si,13;49;85;100,3.942    ;5.039925 ;5.9332248;N 3.942    ;7.45     ;6.9718655;N 2.628    ;5.50406  ;8.159    ;N 5.256    ;5.50406  ;8.159    
3.942000000000001,3.725000000000001,5.0055465,T2,Si,3;13;16;17,2.628    ;3.725    ;4.0795   ;N 3.942    ;5.039925 ;5.9332248;N 5.256    ;3.725    ;4.0795   ;N 3.942    ;2.410075 ;5.9332248
5.256,3.725000000000001,4.0795,O4,O,15;24;,
3.9420000000000006,2.4100750000000004,5.933224800000001,O3,O,15;18;,
3.9420000000000006,1.5726950000000006,7.308832200000001,T1,Si,12;17;80;93,3.94200000e+00;4.26903638e-16;6.97186550e+00;N 3.94200000e+00;2.41007500e+00;5.93322480e+00;N 2.62800000e+00;1.94594000e+00;8.15900000e+00;N 5.25600000e+00;1.94594000e+00;8.15900000e+00
5.256,1.94594,0.0,O1,O,23;,
6.57,7.269102327911969e-17,1.1871345,O2,O,23;,
6.57,2.410075,2.2257752,O3,O,23;24;,
7.884,3.725000000000001,4.0795,O4,O,24;33;,
6.57,1.5726950000000002,0.8501678,T1,Si,19;20;21;25,5.25600000e+00;1.94594000e+00;0.00000000e+00;N 6.57000000e+00;7.26910233e-17;1.18713450e+00;N 6.57000000e+00;2.41007500e+00;2.22577520e+00;N 7.88400000e+00;1.94594000e+00;0.00000000e+00
6.57,3.725,3.1534535000000004,T2,Si,16;21;22;27,5.256    ;3.725    ;4.0795   ;N 6.57     ;2.410075 ;2.2257752;N 7.884    ;3.725    ;4.0795   ;N 6.57     ;5.039925 ;2.2257752
7.884,1.94594,0.0,O1,O,23;,
5.256,5.50406,0.0,O1,O,28;,
6.57,5.039925,2.2257752,O3,O,24;28;,
6.57,5.877305,0.8501678,T1,Si,26;27;29;57,5.256    ;5.50406  ;0.       ;N 6.57     ;5.039925 ;2.2257752;N 7.884    ;5.50406  ;0.       ;N 6.57     ;7.45     ;1.1871345
7.884,5.50406,0.0,O1,O,28;,
9.198,4.269036384330431e-16,6.971865500000001,O2,O,36;,
9.198,5.039925,5.933224800000001,O3,O,32;33;,
9.198,5.877305000000001,7.308832200000001,T1,Si,31;67;103,9.198    ;5.039925 ;5.9332248;N 9.198    ;7.45     ;6.9718655;N 7.884    ;5.50406  ;8.159    
9.198,3.725000000000001,5.0055465,T2,Si,22;31;34;35, 7.884    ; 3.725    ; 4.0795   ;N  9.198    ; 5.039925 ; 5.9332248;N 10.512    ; 3.725    ; 4.0795   ;N  9.198    ; 2.410075 ; 5.9332248
10.512,3.725000000000001,4.0795,O4,O,33;,
9.198,2.4100750000000004,5.933224800000001,O3,O,33;36;,
9.198,1.5726950000000006,7.308832200000001,T1,Si,30;35;99,9.19800000e+00;4.26903638e-16;6.97186550e+00;N 9.19800000e+00;2.41007500e+00;5.93322480e+00;N 7.88400000e+00;1.94594000e+00;8.15900000e+00
5.753353922990291e-16,9.39594,0.0,O1,O,41;,
1.3140000000000005,7.45,1.1871345,O2,O,10;41;,
1.314000000000001,9.860075000000002,2.2257752,O3,O,41;42;,
2.628000000000001,11.175,4.0795,O4,O,42;52;,
1.3140000000000005,9.022695,0.8501678,T1,Si,37;38;39;43,5.75335392e-16;9.39594000e+00;0.00000000e+00;N 1.31400000e+00;7.45000000e+00;1.18713450e+00;N 1.31400000e+00;9.86007500e+00;2.22577520e+00;N 2.62800000e+00;9.39594000e+00;0.00000000e+00
1.314000000000001,11.175,3.1534535000000004,T2,Si,39;40;44;46,1.3140000e+00;9.8600750e+00;2.2257752e+00;N 2.6280000e+00;1.1175000e+01;4.0795000e+00;N 9.3406873e-16;1.1175000e+01;4.0795000e+00;N 1.3140000e+00;1.2489925e+01;2.2257752e+00
2.628000000000001,9.39594,0.0,O1,O,41;,
9.34068729879665e-16,11.175,4.0795,O4,O,42;,
7.93207405748138e-16,12.95406,0.0,O1,O,47;,
1.314000000000001,12.489925,2.2257752,O3,O,42;47;,
