x,y,z,Site,Atom,Bonded Atoms,Bond Ends
13.044858,1.2709530000000009,14.474493,O1,O,82;580;,
11.21253,0.287424,1.151193,O2,O,4;,
12.287376,2.690109,1.544904,O3,O,4;5;,
14.068806,4.483515,2.252985,O4,O,5;65;,
12.54486,1.1841270000000002,1.034427,T1,Si,1;2;84,11.21253 ; 0.287424; 1.151193;N 12.287376; 2.690109; 1.544904;N 13.699047; 0.495507; 1.925142
13.03887,4.043397000000001,1.094307,T2,Si,2;3;123,12.287376; 2.690109; 1.544904;N 14.068806; 4.483515; 2.252985;N 11.968515; 5.232015; 0.901194
14.474493,13.044858,1.270953,O1,O,88;154;,
1.1511930000000006,11.21253,0.287424,O2,O,10;,
1.544904000000001,12.287376,2.690109,O3,O,10;11;,
2.2529850000000016,14.068806,4.483515,O4,O,11;107;,
1.0344270000000009,12.54486,1.1841270000000002,T1,Si,7;8;72, 1.151193;11.21253 ; 0.287424;N  1.544904;12.287376; 2.690109;N  1.925142;13.699047; 0.495507
1.094307000000001,13.03887,4.043397000000001,T2,Si,8;9;57, 1.544904;12.287376; 2.690109;N  2.252985;14.068806; 4.483515;N  0.901194;11.968515; 5.232015
1.2709530000000018,14.474493,13.044858,O1,O,76;304;,
0.2874240000000007,1.1511930000000006,11.21253,O2,O,16;,
2.690109000000001,1.5449040000000007,12.287376,O3,O,16;17;,
4.483515000000001,2.252985000000001,14.068806,O4,O,17;113;,
1.1841270000000008,1.0344270000000009,12.54486,T1,Si,13;14;78, 0.287424; 1.151193;11.21253 ;N  2.690109; 1.544904;12.287376;N  0.495507; 1.925142;13.699047
4.0433970000000015,1.0943070000000008,13.03887,T2,Si,14;15;99, 2.690109; 1.544904;12.287376;N  4.483515; 2.252985;14.068806;N  5.232015; 0.901194;11.968515
5.559858,1.2709530000000004,7.980507,O1,O,22;100;,
3.7275300000000025,0.2874240000000004,6.333807000000001,O2,O,22;,
4.802376,2.6901090000000005,5.9400960000000005,O3,O,22;23;,
6.583806,4.483515,5.2320150000000005,O4,O,23;47;,
5.059860000000001,1.1841270000000006,6.450573,T1,Si,18;19;20;102,5.559858;1.270953;7.980507;N 3.72753 ;0.287424;6.333807;N 4.802376;2.690109;5.940096;N 6.214047;0.495507;5.559858
5.55387,4.043397000000001,6.390693000000001,T2,Si,20;21;97;141,4.802376;2.690109;5.940096;N 6.583806;4.483515;5.232015;N 6.333807;3.75747 ;7.772424;N 4.483515;5.232015;6.583806
6.989493,13.044858,6.214047000000001,O1,O,28;106;,
8.636193,11.21253,7.197576000000001,O2,O,28;95;,
9.029904,12.287376,4.794891000000001,O3,O,28;29;,
9.737985,14.068806,3.001485,O4,O,29;89;,
8.519427,12.54486,6.300873,T1,Si,24;25;26;90, 6.989493;13.044858; 6.214047;N  8.636193;11.21253 ; 7.197576;N  9.029904;12.287376; 4.794891;N  9.410142;13.699047; 6.989493
