x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.924978100000001,0.472642950000001,16.74220126,O1,O,33;588;,
4.64696685,1.5503462,1.6025111200000002,O2,O,12;142;,
3.4728108000000004,8.938654399999999,2.1849363800000003,O3,O,16;300;,
2.0952198,1.5020187000000005,2.1849363800000003,O4,O,12;17;,
1.220609700000001,7.6183471,2.5316982400000003,O5,O,16;,
3.266172150000001,7.155369649999999,4.1072764,O6,O,16;140;,
15.34091745,7.573885799999999,4.368189450000001,O7,O,13;53;,
14.8171125,8.45054665,1.93917312,O8,O,13;105;,
0.3043515000000002,0.1894438000000002,3.5787170600000007,O9,O,17;,
2.5373304000000005,1.0187437,4.72000124,O10,O,14;17;,
4.805549999999999,0.3566569500000003,5.852868870000001,O11,O,14;,
4.366643100000001,7.4868963,6.455493850000001,O12,O,15;140;,
3.28859805,0.6978491000000001,1.45942977,T1,Si,1;3,4.64696685;1.5503462 ;1.60251112;N 2.0952198 ;1.5020187 ;2.18493638
15.9320001,8.36935645,3.0989737100000005,T2,Si,6;7;148;440,15.34091745; 7.5738858 ; 4.36818945;N 14.8171125 ; 8.45054665; 1.93917312;N 17.2391097 ; 7.6183471 ; 2.53169824;N 16.3228515 ; 9.8549438 ; 3.57871706
3.934143600000001,1.58417545,5.28727671,T3,Si,9;10;131;137,2.5373304 ;1.0187437 ;4.72000124;N 4.80555   ;0.35665695;5.85286887;N 4.74307785;2.32261965;4.1072764 ;N 3.6426069 ;2.6541463 ;6.45549385
5.260475400000001,8.78690605,6.77868937,T4,Si,11;18;97;298, 4.3666431 ; 7.4868963 ; 6.45549385;N  5.0842719 ; 9.19285705; 8.32565126;N  6.8078625 ; 8.45054665; 6.47737688;N  4.80555   ;10.02215695; 5.85286887
2.8256634000000003,7.52459175,2.6040805700000003,T5,Si,2;4;5;127,3.4728108 ;8.9386544 ;2.18493638;N 1.2206097 ;7.6183471 ;2.53169824;N 3.26617215;7.15536965;4.1072764 ;N 3.36228315;6.3830962 ;1.60251112
1.40161875,1.3657351500000003,3.63258298,T6,Si,3;8;9;42,2.0952198 ;1.5020187 ;2.18493638;N 0.3043515 ;0.1894438 ;3.57871706;N 2.5373304 ;1.0187437 ;4.72000124;N 0.67758255;2.7411358 ;4.04836055
5.084271900000002,9.19285705,8.325651260000003,O1,O,15;30;,
