x,y,z,Site,Atom,Bonded Atoms,Bond Ends
5.919937238632389e-16,3.4480768,6.2199144,O1,O,4;,
1.7054604000000004,4.5478944,4.5478944,O2,O,4;120;,
2.1513324000000007,4.6445,7.1376676,O3,O,4;265;,
2.3612638,2.3612638,5.8502122,O4,O,4;114;,
1.5549786000000003,3.7527560000000006,5.9393866,T1,Si,0;1;2;3,5.91993724e-16;3.44807680e+00;6.21991440e+00;N 1.70546040e+00;4.54789440e+00;4.54789440e+00;N 2.15133240e+00;4.64450000e+00;7.13766760e+00;N 2.36126380e+00;2.36126380e+00;5.85021220e+00
9.289,12.7370768,15.5089144,O1,O,9;65;,
10.9944604,13.8368944,13.8368944,O2,O,9;123;,
11.4403324,13.9335,16.4266676,O3,O,9;263;,
11.6502638,11.6502638,15.1392122,O4,O,9;117;,
10.843978600000002,13.041756,15.2283866,T1,Si,5;6;7;8, 9.289    ;12.7370768;15.5089144;N 10.9944604;13.8368944;13.8368944;N 11.4403324;13.9335   ;16.4266676;N 11.6502638;11.6502638;15.1392122
6.2199144,2.111338108167124e-16,3.4480767999999995,O1,O,14;,
4.5478944,1.7054604000000002,4.5478944,O2,O,14;114;,
7.1376676,2.1513324000000003,4.6445,O3,O,14;261;,
5.8502122,2.3612638,2.3612638,O4,O,14;126;,
5.9393866,1.5549786,3.752756,T1,Si,10;11;12;13,6.21991440e+00;2.11133811e-16;3.44807680e+00;N 4.54789440e+00;1.70546040e+00;4.54789440e+00;N 7.13766760e+00;2.15133240e+00;4.64450000e+00;N 5.85021220e+00;2.36126380e+00;2.36126380e+00
15.5089144,9.289,12.7370768,O1,O,19;251;,
13.8368944,10.9944604,13.8368944,O2,O,19;117;,
16.4266676,11.4403324,13.9335,O3,O,19;260;,
15.1392122,11.6502638,11.6502638,O4,O,19;129;,
15.2283866,10.8439786,13.041756,T1,Si,15;16;17;18,15.5089144; 9.289    ;12.7370768;N 13.8368944;10.9944604;13.8368944;N 16.4266676;11.4403324;13.9335   ;N 15.1392122;11.6502638;11.6502638
3.4480768,6.2199144,0.0,O1,O,24;,
4.5478944,4.5478944,1.7054604,O2,O,24;126;,
4.6445,7.1376676,2.1513324,O3,O,24;259;,
2.3612638,5.8502122,2.3612638,O4,O,24;120;,
3.7527560000000006,5.9393866,1.5549786,T1,Si,20;21;22;23,3.4480768;6.2199144;0.       ;N 4.5478944;4.5478944;1.7054604;N 4.6445   ;7.1376676;2.1513324;N 2.3612638;5.8502122;2.3612638
12.7370768,15.5089144,9.289,O1,O,29;57;,
13.8368944,13.8368944,10.9944604,O2,O,29;129;,
13.9335,16.4266676,11.4403324,O3,O,29;257;,
11.6502638,15.1392122,11.6502638,O4,O,29;123;,
13.041756,15.2283866,10.8439786,T1,Si,25;26;27;28,12.7370768;15.5089144; 9.289    ;N 13.8368944;13.8368944;10.9944604;N 13.9335   ;16.4266676;11.4403324;N 11.6502638;15.1392122;11.6502638
9.678483094981622e-16,3.4480768000000004,12.3580856,O1,O,34;,
1.705460400000001,4.547894400000001,14.0301056,O2,O,34;138;,
2.151332400000001,4.644500000000001,11.4403324,O3,O,34;273;,
2.3612638000000006,2.3612638000000006,12.7277878,O4,O,34;132;,
1.5549786000000008,3.752756000000001,12.6386134,T1,Si,30;31;32;33,9.67848309e-16;3.44807680e+00;1.23580856e+01;N 1.70546040e+00;4.54789440e+00;1.40301056e+01;N 2.15133240e+00;4.64450000e+00;1.14403324e+01;N 2.36126380e+00;2.36126380e+00;1.27277878e+01
9.289,12.7370768,3.0690856,O1,O,39;93;,
10.9944604,13.8368944,4.741105599999999,O2,O,39;141;,
11.4403324,13.9335,2.1513324000000003,O3,O,39;272;,
11.6502638,11.6502638,3.4387878,O4,O,39;135;,
10.8439786,13.041756,3.3496134000000004,T1,Si,35;36;37;38, 9.289    ;12.7370768; 3.0690856;N 10.9944604;13.8368944; 4.7411056;N 11.4403324;13.9335   ; 2.1513324;N 11.6502638;11.6502638; 3.4387878
6.2199144,9.26440600911264e-16,15.1299232,O1,O,44;,
4.547894400000001,1.7054604000000009,14.0301056,O2,O,44;132;,
7.1376676,2.1513324000000007,13.9335,O3,O,44;271;,
5.8502122000000005,2.3612638000000006,16.2167362,O4,O,44;143;,
5.939386600000001,1.5549786000000008,14.825244,T1,Si,40;41;42;43,6.21991440e+00;9.26440601e-16;1.51299232e+01;N 4.54789440e+00;1.70546040e+00;1.40301056e+01;N 7.13766760e+00;2.15133240e+00;1.39335000e+01;N 5.85021220e+00;2.36126380e+00;1.62167362e+01
15.5089144,9.289,5.8409232,O1,O,49;237;,
13.8368944,10.9944604,4.741105599999999,O2,O,49;135;,
16.4266676,11.4403324,4.6445,O3,O,49;270;,
15.1392122,11.6502638,6.9277362,O4,O,49;145;,
15.2283866,10.8439786,5.536244,T1,Si,45;46;47;48,15.5089144; 9.289    ; 5.8409232;N 13.8368944;10.9944604; 4.7411056;N 16.4266676;11.4403324; 4.6445   ;N 15.1392122;11.6502638; 6.9277362
4.547894400000001,4.547894400000001,16.8725396,O2,O,53;143;,
