x,y,z,Site,Atom,Bonded Atoms,Bond Ends
5.197836867377183e-16,2.529211800000001,5.9595,O1,O,3;14;,
1.3146657000000002,1.3146657000000002,4.0333896,O2,O,3;34;,
4.330800894554368e-16,3.5363673,3.5363673,O3,O,3;36;,
4.0191642275549216e-16,2.1728337000000004,4.3909596,T1,Si,0;1;2,5.19783687e-16;2.52921180e+00;5.95950000e+00;N 1.31466570e+00;1.31466570e+00;4.03338960e+00;N 4.33080089e-16;3.53636730e+00;3.53636730e+00
5.9595,1.5486955676178579e-16,2.5292118,O1,O,7;23;,
4.0333896,1.3146657,1.3146657,O2,O,7;38;,
3.5363673,2.165400447277184e-16,3.5363673,O3,O,7;34;,
4.3909596,1.3304769178922502e-16,2.1728337,T1,Si,4;5;6,5.95950000e+00;1.54869557e-16;2.52921180e+00;N 4.03338960e+00;1.31466570e+00;1.31466570e+00;N 3.53636730e+00;2.16540045e-16;3.53636730e+00
2.529211800000001,5.9595,0.0,O1,O,11;66;,
1.3146657000000002,4.0333896,1.3146657,O2,O,11;36;,
3.5363673,3.5363673,0.0,O3,O,11;38;,
2.1728337000000004,4.3909596,0.0,T1,Si,8;9;10,2.5292118;5.9595   ;0.       ;N 1.3146657;4.0333896;1.3146657;N 3.5363673;3.5363673;0.       
1.3146657000000004,1.3146657000000004,7.8856104,O2,O,14;39;,
7.298282599518653e-16,3.5363673000000007,8.3826327,O3,O,14;41;,
5.94007220774823e-16,2.1728337000000004,7.528040399999999,T1,Si,0;12;13,5.19783687e-16;2.52921180e+00;5.95950000e+00;N 1.31466570e+00;1.31466570e+00;7.88561040e+00;N 7.29828260e-16;3.53636730e+00;8.38263270e+00
5.959500000000001,5.749587031900796e-16,9.389788200000002,O1,O,18;31;,
4.0333896000000005,1.3146657000000006,10.6043343,O2,O,18;326;,
3.5363673000000007,5.132882152241468e-16,8.3826327,O3,O,18;39;,
4.390959600000001,5.967805681626401e-16,9.7461663,T1,Si,15;16;17,5.95950000e+00;5.74958703e-16;9.38978820e+00;N 4.03338960e+00;1.31466570e+00;1.06043343e+01;N 3.53636730e+00;5.13288215e-16;8.38263270e+00
1.3146657000000008,4.0333896000000005,10.6043343,O2,O,41;299;,
10.6043343,1.3146657000000002,4.0333896,O2,O,70;75;,
7.8856104,1.3146657,1.3146657,O2,O,23;71;,
8.3826327,2.165400447277184e-16,3.5363673,O3,O,23;70;,
7.528040399999999,1.3304769178922502e-16,2.1728337,T1,Si,4;21;22,5.95950000e+00;1.54869557e-16;2.52921180e+00;N 7.88561040e+00;1.31466570e+00;1.31466570e+00;N 8.38263270e+00;2.16540045e-16;3.53636730e+00
9.389788200000002,5.9595,0.0,O1,O,27;61;,
10.6043343,4.0333896,1.3146657,O2,O,27;108;,
8.3826327,3.5363673,0.0,O3,O,27;71;,
9.7461663,4.3909596,0.0,T1,Si,24;25;26, 9.3897882; 5.9595   ; 0.       ;N 10.6043343; 4.0333896; 1.3146657;N  8.3826327; 3.5363673; 0.       
10.6043343,1.3146657000000004,7.8856104,O2,O,68;86;,
7.885610400000001,1.3146657000000006,10.6043343,O2,O,31;359;,
8.3826327,5.132882152241468e-16,8.3826327,O3,O,31;68;,
7.5280404,5.967805681626401e-16,9.7461663,T1,Si,15;29;30,5.95950000e+00;5.74958703e-16;9.38978820e+00;N 7.88561040e+00;1.31466570e+00;1.06043343e+01;N 8.38263270e+00;5.13288215e-16;8.38263270e+00
10.6043343,4.0333896000000005,10.6043343,O2,O,113;315;,
2.529211800000001,3.6491412997593264e-16,5.9595,O1,O,34;39;,
2.1728337000000004,2.6886873096626714e-16,4.3909596,T1,Si,1;6;33,1.31466570e+00;1.31466570e+00;4.03338960e+00;N 3.53636730e+00;2.16540045e-16;3.53636730e+00;N 2.52921180e+00;3.64914130e-16;5.95950000e+00
