x,y,z,Site,Atom,Bonded Atoms,Bond Ends
-4.034215599999998,9.483679998426831,0.4143784,O1,O,90;445;,
-3.7399055999999975,7.003564068092508,3.7385463000000008,O2,O,95;,
8.208460800000001,4.739157052512491,2.4649421000000005,O3,O,10;101;,
6.195380400000002,6.287753888285934,3.138307,O4,O,10;94;,
2.215070000000002,5.875653275023979,5.566686300000001,O5,O,11;88;,
2.304912000000003,8.484550647002662,5.377778500000001,O6,O,11;102;,
4.374995600000001,7.16776040618907,6.297942300000001,O7,O,11;96;,
4.039781486538782e-15,10.077147808671262,22.851750000000003,O8,O,82;110;,
1.9089876000000023,8.255963588083922,22.851750000000003,O9,O,68;110;,
7.848473200000001,7.038978964544707,1.2431352000000002,O10,O,10;306;,
7.729510000000001,6.264143957317801,2.6477561000000005,T1,Si,2;3;9;217,8.2084608 ;4.73915705;2.4649421 ;N 6.1953804 ;6.28775389;3.138307  ;N 7.8484732 ;7.03897896;1.2431352 ;N 8.6520944 ;7.00356407;3.7385463 
3.1630580000000026,7.13341868841724,5.234574200000001,T2,Si,4;5;6;91,2.21507   ;5.87565328;5.5666863 ;N 2.304912  ;8.48455065;5.3777785 ;N 4.3749956 ;7.16776041;6.2979423 ;N 3.7399056 ;7.00356407;3.7385463 
7.721455200000003,6.293119781687784,7.617250000000001,T3,Si,63;78;92;207,8.727066  ;5.0385739 ;7.61725   ;N 6.1966196 ;5.78121355;7.61725   ;N 8.0170044 ;7.16776041;6.2979423 ;N 8.0170044 ;7.16776041;8.9365577 
3.0905648,0.0,0.0,T4,Si,86,4.024302  ;0.41532015;1.2431352 
7.319285289868043e-16,2.4962136105398662,0.4143784,O1,O,27;104;,
2.0006884000000014,3.991151512294827,3.7385463000000008,O2,O,24;88;,
4.183539200000001,4.739157052512491,2.4649421000000005,O3,O,24;94;,
3.8489552,2.2214798683652317,3.138307,O4,O,24;87;,
2.8625063428966408e-15,9.71226705734557,5.566686300000001,O5,O,25;102;,
-2.3042923999999974,8.485623825683032,5.377778500000001,O6,O,25;95;,
3.9970396,0.2049771279506089,6.297942300000001,O7,O,89;,
-2.5310659999999965,5.693212899361136,22.851750000000003,O8,O,54;124;,
-1.908367999999996,8.257036766764292,22.851750000000003,O9,O,82;124;,
2.3718288000000003,3.2774876898489915,1.2431352000000002,O10,O,24;104;,
3.1023372000000005,3.561880040146956,2.6477561000000005,T1,Si,15;16;17;23,2.0006884 ;3.99115151;3.7385463 ;N 4.1835392 ;4.73915705;2.4649421 ;N 3.8489552 ;2.22147987;3.138307  ;N 2.3718288 ;3.27748769;1.2431352 
-1.5632507999999974,9.904366041131745,5.234574200000001,T2,Si,18;19;84;452, 2.86250634e-15; 9.71226706e+00; 5.56668630e+00;N -2.30429240e+00; 8.48562383e+00; 5.37777850e+00;N -1.73921720e+00; 1.04688580e+01; 3.73854630e+00;N -2.19896040e+00; 1.09367639e+01; 6.29794230e+00
3.0812708000000013,3.540416466539563,7.617250000000001,T3,Si,50;77;85;202,4.2870124 ;2.47582322;7.61725   ;N 3.664934  ;5.0385739 ;7.61725   ;N 2.1760352 ;3.35904927;6.2979423 ;N 2.1760352 ;3.35904927;8.9365577 
-1.5452823999999994,2.676507628841973,0.0,T4,Si,14,7.31928529e-16;2.49621361e+00;4.14378400e-01
4.034215600000003,9.483679998426831,0.4143784,O1,O,41;529;,
1.7392172000000024,10.468858027006194,3.7385463000000008,O2,O,102;470;,
6.196000000000001,1.2534726986717823,2.4649421000000005,O3,O,38;87;,
8.5436644,2.2225530470456,3.138307,O4,O,38;101;,
-2.215069999999998,5.875653275023979,5.566686300000001,O5,O,39;95;,
-0.0006195999999992,4.493399134707835,5.377778500000001,O6,O,39;88;,
10.2159648,3.3590492695570875,6.297942300000001,O7,O,103;255;,
2.5310660000000027,5.693212899361136,22.851750000000003,O8,O,68;117;,
-0.0006195999999975,4.95057325254532,22.851750000000003,O9,O,54;117;,
8.367697999999999,0.4153201493030644,1.2431352000000002,O10,O,38;97;,
7.756152800000001,0.9057628062320076,2.6477561000000005,T1,Si,30;31;37,6.196     ;1.2534727 ;2.4649421 ;N 8.5436644 ;2.22255305;3.138307  ;N 8.367698  ;0.41532015;1.2431352 
-1.5998071999999992,4.425788877844546,5.234574200000001,T2,Si,32;33;98,-2.21507000e+00; 5.87565328e+00; 5.56668630e+00;N -6.19600000e-04; 4.49339913e+00; 5.37777850e+00;N -2.00068840e+00; 3.99115151e+00; 3.73854630e+00
7.785274000000002,0.8982505554694199,7.617250000000001,T3,Si,49;64;99;212,6.196     ;0.654639  ;7.61725   ;N 8.104368  ;2.47475004;7.61725   ;N 8.3949604 ;0.20497713;6.2979423 ;N 8.3949604 ;0.20497713;8.9365577 
4.650717600000001,8.05527917485479,0.0,T4,Si,28;93,4.0342156 ;9.48368   ;0.4143784 ;N 4.5435268 ;7.03897896;1.2431352 
10.230215600000005,1.248106805269935,15.6488784,O1,O,55;327;,
9.935905600000002,3.7282227356042585,18.973046300000004,O2,O,116;268;,
-2.0124607999999973,5.992629751184275,17.699442100000002,O3,O,52;122;,
0.0006196000000015,4.444032915410832,18.372807,O4,O,52;115;,
3.980930000000002,4.856133528672787,20.8011863,O5,O,53;109;,
3.891088000000001,2.247236156694105,20.6122785,O6,O,53;123;,
1.8210044000000016,3.564026397507697,21.532442300000003,O7,O,53;117;,
6.196,0.6546389950255039,7.617250000000001,O8,O,40;89;,
4.287012400000002,2.475823215612845,7.617250000000001,O9,O,26;89;,
-1.6524731999999982,3.692807839152058,16.4776352,O10,O,52;111;,
-1.5335099999999977,4.467642846378965,17.882256100000003,T1,Si,44;45;51,-2.01246080e+00; 5.99262975e+00; 1.76994421e+01;N  6.19600000e-04; 4.44403292e+00; 1.83728070e+01;N -1.65247320e+00; 3.69280784e+00; 1.64776352e+01
3.0329420000000016,3.5983681152795275,20.4690742,T2,Si,46;47;48;112, 3.98093   ; 4.85613353;20.8011863 ;N  3.891088  ; 2.24723616;20.6122785 ;N  1.8210044 ; 3.5640264 ;21.5324423 ;N  2.4560944 ; 3.72822274;18.9730463 
-1.5254551999999972,4.438667022008984,22.851750000000003,T3,Si,21;36;113;192,-2.53106600e+00; 5.69321290e+00; 2.28517500e+01;N -6.19600000e-04; 4.95057325e+00; 2.28517500e+01;N -1.82100440e+00; 3.56402640e+00; 2.15324423e+01;N -1.82100440e+00; 3.56402640e+00; 2.41710577e+01
