x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.4184712,2.4184712,1.831536,O1,O,4;48;,
1.7136676000000004,4.1699712,0.0,O2,O,4;,
3.2454149286367363e-16,3.4427484,1.8574164,O3,O,4;,
2.0667700000000004,4.93923,2.4885,O4,O,4;91;,
1.5497272000000004,3.7426052,1.5428700000000002,T1,Si,0;1;2;3,2.41847120e+00;2.41847120e+00;1.83153600e+00;N 1.71366760e+00;4.16997120e+00;0.00000000e+00;N 3.24541493e-16;3.44274840e+00;1.85741640e+00;N 2.06677000e+00;4.93923000e+00;2.48850000e+00
9.4244712,9.4244712,6.808536,O1,O,9;51;,
8.7196676,11.1759712,4.977,O2,O,9;81;,
7.006000000000001,10.4487484,6.8344164,O3,O,9;45;,
9.07277,11.94523,7.4655,O4,O,9;90;,
8.555727200000002,10.7486052,6.519870000000001,T1,Si,5;6;7;8, 9.4244712; 9.4244712; 6.808536 ;N  8.7196676;11.1759712; 4.977    ;N  7.006    ;10.4487484; 6.8344164;N  9.07277  ;11.94523  ; 7.4655   
11.5935288,2.4184712,1.831536,O1,O,14;42;,
9.8420288,1.7136676000000002,0.0,O2,O,14;,
10.5692516,1.1373395244718998e-16,1.8574164,O3,O,14;,
9.07277,2.06677,2.4885,O4,O,14;89;,
10.2693948,1.5497272000000002,1.5428700000000002,T1,Si,10;11;12;13,1.15935288e+01;2.41847120e+00;1.83153600e+00;N 9.84202880e+00;1.71366760e+00;0.00000000e+00;N 1.05692516e+01;1.13733952e-16;1.85741640e+00;N 9.07277000e+00;2.06677000e+00;2.48850000e+00
4.587528800000001,9.4244712,6.808536,O1,O,19;45;,
2.836028800000001,8.7196676,4.977,O2,O,19;87;,
3.5632516000000005,7.006,6.8344164,O3,O,19;63;,
2.0667700000000013,9.07277,7.4655,O4,O,19;88;,
3.263394800000001,8.555727200000002,6.519870000000001,T1,Si,15;16;17;18,4.5875288;9.4244712;6.808536 ;N 2.8360288;8.7196676;4.977    ;N 3.5632516;7.006    ;6.8344164;N 2.06677  ;9.07277  ;7.4655   
11.5935288,11.5935288,1.831536,O1,O,24;60;,
12.2983324,9.8420288,0.0,O2,O,24;,
7.609139595133421e-16,10.5692516,1.8574164,O3,O,54;,
11.94523,9.07277,2.4885,O4,O,24;95;,
12.4622728,10.2693948,1.5428700000000002,T1,Si,20;21;23;118,11.5935288;11.5935288; 1.831536 ;N 12.2983324; 9.8420288; 0.       ;N 11.94523  ; 9.07277  ; 2.4885   ;N 14.012    ;10.5692516; 1.8574164
4.5875288,4.5875288,6.808536,O1,O,29;63;,
5.2923324,2.8360288000000007,4.977,O2,O,29;69;,
7.006,3.5632516,6.8344164,O3,O,29;57;,
4.939230000000001,2.066770000000001,7.4655,O4,O,29;94;,
5.4562728,3.2633948000000004,6.519870000000001,T1,Si,25;26;27;28,4.5875288;4.5875288;6.808536 ;N 5.2923324;2.8360288;4.977    ;N 7.006    ;3.5632516;6.8344164;N 4.93923  ;2.06677  ;7.4655   
2.418471200000001,11.5935288,1.831536,O1,O,34;54;,
4.169971200000001,12.2983324,0.0,O2,O,34;,
3.4427484,1.1373395244718998e-16,1.8574164,O3,O,48;,
4.939230000000001,11.94523,2.4885,O4,O,34;93;,
3.742605200000001,12.4622728,1.5428700000000002,T1,Si,30;31;33;224, 2.4184712;11.5935288; 1.831536 ;N  4.1699712;12.2983324; 0.       ;N  4.93923  ;11.94523  ; 2.4885   ;N  3.4427484;14.012    ; 1.8574164
9.4244712,4.5875288,6.808536,O1,O,39;57;,
11.1759712,5.2923324,4.977,O2,O,39;75;,
10.4487484,7.006,6.8344164,O3,O,39;51;,
11.94523,4.939230000000001,7.4655,O4,O,39;92;,
10.7486052,5.4562728,6.519870000000001,T1,Si,35;36;37;38, 9.4244712; 4.5875288; 6.808536 ;N 11.1759712; 5.2923324; 4.977    ;N 10.4487484; 7.006    ; 6.8344164;N 11.94523  ; 4.93923  ; 7.4655   
12.2983324,4.1699712,0.0,O2,O,42;,
11.94523,4.93923,2.4885,O4,O,42;75;,
12.4622728,3.7426052,1.5428700000000002,T1,Si,10;40;41;98,11.5935288; 2.4184712; 1.831536 ;N 12.2983324; 4.1699712; 0.       ;N 11.94523  ; 4.93923  ; 2.4885   ;N 14.012    ; 3.4427484; 1.8574164
5.292332400000001,11.1759712,4.977,O2,O,45;93;,
4.939230000000002,11.94523,7.4655,O4,O,45;72;,
5.456272800000001,10.7486052,6.519870000000001,T1,Si,7;15;43;44, 7.006    ;10.4487484; 6.8344164;N  4.5875288; 9.4244712; 6.808536 ;N  5.2923324;11.1759712; 4.977    ;N  4.93923  ;11.94523  ; 7.4655   
4.1699712,1.7136676000000002,0.0,O2,O,48;,
4.93923,2.06677,2.4885,O4,O,48;69;,
3.7426052,1.5497272000000002,1.5428700000000002,T1,Si,0;32;46;47,2.41847120e+00;2.41847120e+00;1.83153600e+00;N 3.44274840e+00;1.13733952e-16;1.85741640e+00;N 4.16997120e+00;1.71366760e+00;0.00000000e+00;N 4.93923000e+00;2.06677000e+00;2.48850000e+00
11.1759712,8.7196676,4.977,O2,O,51;95;,
11.94523,9.07277,7.4655,O4,O,51;66;,
10.7486052,8.555727200000002,6.519870000000001,T1,Si,5;37;49;50, 9.4244712; 9.4244712; 6.808536 ;N 10.4487484; 7.006    ; 6.8344164;N 11.1759712; 8.7196676; 4.977    ;N 11.94523  ; 9.07277  ; 7.4655   
1.7136676000000008,9.8420288,0.0,O2,O,54;,
2.0667700000000004,9.07277,2.4885,O4,O,54;87;,
1.5497272000000009,10.2693948,1.5428700000000002,T1,Si,22;30;52;53,7.60913960e-16;1.05692516e+01;1.85741640e+00;N 2.41847120e+00;1.15935288e+01;1.83153600e+00;N 1.71366760e+00;9.84202880e+00;0.00000000e+00;N 2.06677000e+00;9.07277000e+00;2.48850000e+00
8.7196676,2.8360288000000007,4.977,O2,O,57;89;,
9.07277,2.066770000000001,7.4655,O4,O,57;84;,
8.555727200000002,3.2633948000000004,6.519870000000001,T1,Si,27;35;55;56,7.006    ;3.5632516;6.8344164;N 9.4244712;4.5875288;6.808536 ;N 8.7196676;2.8360288;4.977    ;N 9.07277  ;2.06677  ;7.4655   
9.8420288,12.2983324,0.0,O2,O,60;,
9.07277,11.94523,2.4885,O4,O,60;81;,
10.2693948,12.4622728,1.5428700000000002,T1,Si,20;58;59;204,11.5935288;11.5935288; 1.831536 ;N  9.8420288;12.2983324; 0.       ;N  9.07277  ;11.94523  ; 2.4885   ;N 10.5692516;14.012    ; 1.8574164
2.836028800000001,5.2923324,4.977,O2,O,63;91;,
2.0667700000000013,4.939230000000001,7.4655,O4,O,63;78;,
3.263394800000001,5.4562728,6.519870000000001,T1,Si,17;25;61;62,3.5632516;7.006    ;6.8344164;N 4.5875288;4.5875288;6.808536 ;N 2.8360288;5.2923324;4.977    ;N 2.06677  ;4.93923  ;7.4655   
11.5935288,11.5935288,8.122464,O1,O,66;90;,
1.1429527665545998e-15,10.5692516,8.0965836,O3,O,88;,
12.4622728,10.2693948,8.41113,T1,Si,50;64;161;405,11.94523  ; 9.07277  ; 7.4655   ;N 11.5935288;11.5935288; 8.122464 ;N 14.012    ;10.5692516; 8.0965836;N 12.2983324; 9.8420288; 9.954    
4.5875288,4.5875288,3.145464,O1,O,69;91;,
7.006,3.5632516,3.1195836000000003,O3,O,69;89;,
5.4562728,3.2633948,3.43413,T1,Si,26;47;67;68,5.2923324;2.8360288;4.977    ;N 4.93923  ;2.06677  ;2.4885   ;N 4.5875288;4.5875288;3.145464 ;N 7.006    ;3.5632516;3.1195836
2.4184712000000013,11.5935288,8.122464,O1,O,72;88;,
3.4427484000000006,4.957727594884477e-16,8.0965836,O3,O,94;,
3.7426052000000016,12.4622728,8.41113,T1,Si,44;70;263;415, 4.93923  ;11.94523  ; 7.4655   ;N  2.4184712;11.5935288; 8.122464 ;N  3.4427484;14.012    ; 8.0965836;N  4.1699712;12.2983324; 9.954    
9.4244712,4.5875288,3.145464,O1,O,75;89;,
10.4487484,7.006,3.1195836000000003,O3,O,75;95;,
10.7486052,5.4562728,3.43413,T1,Si,36;41;73;74,11.1759712; 5.2923324; 4.977    ;N 11.94523  ; 4.93923  ; 2.4885   ;N  9.4244712; 4.5875288; 3.145464 ;N 10.4487484; 7.006    ; 3.1195836
2.4184712000000004,2.4184712000000004,8.122464,O1,O,78;94;,
7.065802999049313e-16,3.4427484000000006,8.0965836,O3,O,78;,
1.5497272000000009,3.7426052000000007,8.41113,T1,Si,62;76;77;385,2.0667700e+00;4.9392300e+00;7.4655000e+00;N 2.4184712e+00;2.4184712e+00;8.1224640e+00;N 7.0658030e-16;3.4427484e+00;8.0965836e+00;N 1.7136676e+00;4.1699712e+00;9.9540000e+00
9.4244712,9.4244712,3.145464,O1,O,81;95;,
7.006000000000001,10.4487484,3.1195836000000003,O3,O,81;93;,
8.555727200000002,10.7486052,3.43413,T1,Si,6;59;79;80, 8.7196676;11.1759712; 4.977    ;N  9.07277  ;11.94523  ; 2.4885   ;N  9.4244712; 9.4244712; 3.145464 ;N  7.006    ;10.4487484; 3.1195836
11.5935288,2.4184712000000004,8.122464,O1,O,84;92;,
10.5692516,4.957727594884477e-16,8.0965836,O3,O,84;,
10.2693948,1.5497272000000006,8.41113,T1,Si,56;82;83;395,9.07277000e+00;2.06677000e+00;7.46550000e+00;N 1.15935288e+01;2.41847120e+00;8.12246400e+00;N 1.05692516e+01;4.95772759e-16;8.09658360e+00;N 9.84202880e+00;1.71366760e+00;9.95400000e+00
4.587528800000001,9.4244712,3.145464,O1,O,87;93;,
3.5632516,7.006,3.1195836000000003,O3,O,87;91;,
3.2633948000000004,8.555727200000002,3.43413,T1,Si,16;53;85;86,2.8360288;8.7196676;4.977    ;N 2.06677  ;9.07277  ;2.4885   ;N 4.5875288;9.4244712;3.145464 ;N 3.5632516;7.006    ;3.1195836
1.5497272000000013,10.2693948,8.41113,T1,Si,18;65;70;436,2.06677000e+00;9.07277000e+00;7.46550000e+00;N 1.14295277e-15;1.05692516e+01;8.09658360e+00;N 2.41847120e+00;1.15935288e+01;8.12246400e+00;N 1.71366760e+00;9.84202880e+00;9.95400000e+00
8.555727200000002,3.2633948,3.43413,T1,Si,13;55;68;73,9.07277  ;2.06677  ;2.4885   ;N 8.7196676;2.8360288;4.977    ;N 7.006    ;3.5632516;3.1195836;N 9.4244712;4.5875288;3.145464 
10.2693948,12.4622728,8.41113,T1,Si,8;64;275;442, 9.07277  ;11.94523  ; 7.4655   ;N 11.5935288;11.5935288; 8.122464 ;N 10.5692516;14.012    ; 8.0965836;N  9.8420288;12.2983324; 9.954    
3.2633948000000004,5.4562728,3.43413,T1,Si,3;61;67;86,2.06677  ;4.93923  ;2.4885   ;N 2.8360288;5.2923324;4.977    ;N 4.5875288;4.5875288;3.145464 ;N 3.5632516;7.006    ;3.1195836
12.4622728,3.7426052000000007,8.41113,T1,Si,38;82;173;424,11.94523  ; 4.93923  ; 7.4655   ;N 11.5935288; 2.4184712; 8.122464 ;N 14.012    ; 3.4427484; 8.0965836;N 12.2983324; 4.1699712; 9.954    
5.456272800000001,10.7486052,3.43413,T1,Si,33;43;80;85, 4.93923  ;11.94523  ; 2.4885   ;N  5.2923324;11.1759712; 4.977    ;N  7.006    ;10.4487484; 3.1195836;N  4.5875288; 9.4244712; 3.145464 
3.7426052000000007,1.5497272000000006,8.41113,T1,Si,28;71;76;430,4.93923000e+00;2.06677000e+00;7.46550000e+00;N 3.44274840e+00;4.95772759e-16;8.09658360e+00;N 2.41847120e+00;2.41847120e+00;8.12246400e+00;N 4.16997120e+00;1.71366760e+00;9.95400000e+00
10.7486052,8.555727200000002,3.43413,T1,Si,23;49;74;79,11.94523  ; 9.07277  ; 2.4885   ;N 11.1759712; 8.7196676; 4.977    ;N 10.4487484; 7.006    ; 3.1195836;N  9.4244712; 9.4244712; 3.145464 
16.430471200000003,2.4184712,1.831536,O1,O,100;144;,
15.7256676,4.1699712,0.0,O2,O,100;,
14.012,3.4427484,1.8574164,O3,O,42;100;,
16.07877,4.93923,2.4885,O4,O,100;187;,
15.561727200000002,3.7426052,1.5428700000000002,T1,Si,96;97;98;99,16.4304712; 2.4184712; 1.831536 ;N 15.7256676; 4.1699712; 0.       ;N 14.012    ; 3.4427484; 1.8574164;N 16.07877  ; 4.93923  ; 2.4885   
23.436471200000003,9.4244712,6.808536,O1,O,105;147;,
22.7316676,11.1759712,4.977,O2,O,105;177;,
21.018,10.4487484,6.8344164,O3,O,105;141;,
23.08477,11.94523,7.4655,O4,O,105;186;,
22.5677272,10.7486052,6.519870000000001,T1,Si,101;102;103;104,23.4364712; 9.4244712; 6.808536 ;N 22.7316676;11.1759712; 4.977    ;N 21.018    ;10.4487484; 6.8344164;N 23.08477  ;11.94523  ; 7.4655   
25.6055288,2.4184712,1.831536,O1,O,110;138;,
23.8540288,1.7136676000000002,0.0,O2,O,110;,
24.5812516,1.1373395244718998e-16,1.8574164,O3,O,110;,
23.08477,2.06677,2.4885,O4,O,110;185;,
24.2813948,1.5497272000000002,1.5428700000000002,T1,Si,106;107;108;109,2.56055288e+01;2.41847120e+00;1.83153600e+00;N 2.38540288e+01;1.71366760e+00;0.00000000e+00;N 2.45812516e+01;1.13733952e-16;1.85741640e+00;N 2.30847700e+01;2.06677000e+00;2.48850000e+00
18.5995288,9.4244712,6.808536,O1,O,115;141;,
16.848028799999998,8.7196676,4.977,O2,O,115;183;,
17.5752516,7.006,6.8344164,O3,O,115;159;,
16.07877,9.07277,7.4655,O4,O,115;184;,
17.275394799999997,8.555727200000002,6.519870000000001,T1,Si,111;112;113;114,18.5995288; 9.4244712; 6.808536 ;N 16.8480288; 8.7196676; 4.977    ;N 17.5752516; 7.006    ; 6.8344164;N 16.07877  ; 9.07277  ; 7.4655   
25.6055288,11.5935288,1.831536,O1,O,120;156;,
26.3103324,9.8420288,0.0,O2,O,120;,
14.012,10.5692516,1.8574164,O3,O,24;150;,
25.957230000000003,9.07277,2.4885,O4,O,120;191;,
26.4742728,10.2693948,1.5428700000000002,T1,Si,116;117;119,25.6055288;11.5935288; 1.831536 ;N 26.3103324; 9.8420288; 0.       ;N 25.95723  ; 9.07277  ; 2.4885   
18.5995288,4.5875288,6.808536,O1,O,125;159;,
19.3043324,2.8360288000000007,4.977,O2,O,125;165;,
21.018,3.5632516,6.8344164,O3,O,125;153;,
18.95123,2.066770000000001,7.4655,O4,O,125;190;,
