x,y,z,Site,Atom,Bonded Atoms,Bond Ends
9.066274000000002,3.527924400000001,19.721322,O1,O,14;96;,
8.341806000000002,3.471000000000001,17.145,O2,O,14;361;,
6.515000000000001,3.4710000000000014,19.01952,O3,O,14;261;,
8.029086000000001,1.3536900000000012,18.786348,O4,O,14;363;,
15.604728,5.634127200000001,19.24812,O5,O,15;17;,
15.294614,4.640032800000001,21.572982,O6,O,15;,
14.348636,3.4015800000000014,19.45386,O7,O,15;309;,
9.092334,6.942000000000001,17.449037999999998,O8,O,16;98;,
6.515000000000001,6.942000000000001,17.145,O9,O,16;337;,
14.343424,6.942000000000001,17.369028,O10,O,17;20;,
13.03,8.7705228,0.0,O11,O,18;99;,
14.91935,6.942,0.0,O12,O,18;169;,
13.03,5.616078000000002,15.5448,O13,O,19;20;,
13.03,3.471000000000001,17.145,O14,O,19;309;,
8.000420000000002,2.964234000000001,18.64233,T1,Si,0;1;2;3, 9.066274 ; 3.5279244;19.721322 ;N  8.341806 ; 3.471    ;17.145    ;N  6.515    ; 3.471    ;19.01952  ;N  8.029086 ; 1.35369  ;18.786348 
15.589092,4.2387852000000015,20.043648,T2,Si,4;5;6;84,15.604728 ; 5.6341272;19.24812  ;N 15.294614 ; 4.6400328;21.572982 ;N 14.348636 ; 3.40158  ;19.45386  ;N 16.993726 ; 3.5279244;19.721322 
7.914422000000001,6.942000000000001,16.358616,T3,Si,7;8;355;449, 9.092334; 6.942   ;17.449038;N  6.515   ; 6.942   ;17.145   ;N  8.029086; 5.58831 ;15.503652;N  8.029086; 8.29569 ;15.503652
15.628182,6.942000000000001,18.329148,T4,Si,4;9;91;161,15.604728 ; 5.6341272;19.24812  ;N 14.343424 ; 6.942    ;17.369028 ;N 16.967666 ; 6.942    ;17.449038 ;N 15.604728 ; 8.2498728;19.24812  
14.624872,8.5275528,0.0,T5,Si,10;11;345,13.03     ; 8.7705228; 0.       ;N 14.91935  ; 6.942    ; 0.       ;N 15.294614 ; 9.2439672; 1.287018 
13.03,4.008310800000001,15.629382,T6,Si,12;13;301;358,13.03    ; 5.616078;15.5448  ;N 13.03    ; 3.471   ;17.145   ;N 11.711364; 3.54042 ;14.83614 ;N 14.348636; 3.54042 ;14.83614 
13.03,6.942000000000001,16.450056,T7,Si,9;12;93;165,14.343424; 6.942   ;17.369028;N 13.03    ; 5.616078;15.5448  ;N 11.716576; 6.942   ;17.369028;N 13.03    ; 8.267922;15.5448  
9.066274,10.4699244,8.291322000000001,O1,O,35;112;,
8.341806,10.413,5.715,O2,O,35;349;,
6.5150000000000015,10.413,7.589519999999997,O3,O,35;277;,
8.029086,8.29569,7.356348000000001,O4,O,35;351;,
15.604728,12.5761272,7.818120000000001,O5,O,36;38;,
15.294614,11.5820328,10.142982,O6,O,36;188;,
14.348636,10.34358,8.023859999999999,O7,O,36;294;,
9.092334,13.884,6.019038000000002,O8,O,37;114;,
6.515000000000001,13.884,5.715,O9,O,37;428;,
14.343424,13.884,5.939028,O10,O,38;41;,
13.03,1.8285228,11.43,O11,O,39;115;,
14.91935,13.884,11.43,O12,O,188;973;,
13.03,12.558078000000002,4.114800000000003,O13,O,40;41;,
13.03,10.413,5.715,O14,O,40;294;,
8.00042,9.906234,7.212330000000002,T1,Si,21;22;23;24, 9.066274 ;10.4699244; 8.291322 ;N  8.341806 ;10.413    ; 5.715    ;N  6.515    ;10.413    ; 7.58952  ;N  8.029086 ; 8.29569  ; 7.356348 
15.589091999999996,11.1807852,8.613648,T2,Si,25;26;27;100,15.604728 ;12.5761272; 7.81812  ;N 15.294614 ;11.5820328;10.142982 ;N 14.348636 ;10.34358  ; 8.02386  ;N 16.993726 ;10.4699244; 8.291322 
7.914422000000001,13.884,4.928616,T3,Si,28;29;343;1330, 9.092334;13.884   ; 6.019038;N  6.515   ;13.884   ; 5.715   ;N  8.029086;12.53031 ; 4.073652;N  8.029086;15.23769 ; 4.073652
15.628182,13.884,6.899148000000001,T4,Si,25;30;107;1108,15.604728 ;12.5761272; 7.81812  ;N 14.343424 ;13.884    ; 5.939028 ;N 16.967666 ;13.884    ; 6.019038 ;N 15.604728 ;15.1918728; 7.81812  
14.624872,1.5855527999999988,11.43,T5,Si,31;175;181;357,1.30300000e+01;1.82852280e+00;1.14300000e+01;N 1.52946140e+01;2.30196720e+00;1.01429820e+01;N 1.49193500e+01;6.99885646e-16;1.14300000e+01;N 1.52946140e+01;2.30196720e+00;1.27170180e+01
