x,y,z,Site,Atom,Bonded Atoms,Bond Ends
7.983410399999999,1.3182352000000002,3.4767825,O1,O,10;245;,
10.116435,2.223152,4.7169975,O2,O,10;269;,
8.543529399999999,3.914,3.48375,O3,O,10;244;,
7.7182112,2.7789400000000004,5.65761,O4,O,10;132;,
5.7155,3.914,0.0,O5,O,11;185;,
6.008133599999999,6.516027200000001,0.0,O6,O,11;233;,
11.431,1.9397784000000005,6.967499999999999,O7,O,12;269;,
11.431,5.357699015223862e-16,8.749786499999999,O8,O,12;,
7.2609712,7.828,5.640888,O9,O,13;14;,
5.7155000000000005,7.828,3.48375,O10,O,13;232;,
8.589253399999999,2.5441000000000007,4.3240305,T1,Si,0;1;2;3, 7.9834104; 1.3182352; 3.4767825;N 10.116435 ; 2.223152 ; 4.7169975;N  8.5435294; 3.914    ; 3.48375  ;N  7.7182112; 2.77894  ; 5.65761  
6.7877278,5.1101184,0.0,T2,Si,4;5;242,5.7155   ;3.914    ;0.       ;N 6.0081336;6.5160272;0.       ;N 7.7182112;5.04906  ;1.30989  
11.431,1.5937808000000004,8.537974499999999,T3,Si,6;7;266;293,1.14310000e+01;1.93977840e+00;6.96750000e+00;N 1.14310000e+01;5.35769902e-16;8.74978650e+00;N 1.27455650e+01;2.22315200e+00;9.21800250e+00;N 1.01164350e+01;2.22315200e+00;9.21800250e+00
7.2289644,7.828,4.030002,T4,Si,8;9;240;296,7.2609712;7.828    ;5.640888 ;N 5.7155   ;7.828    ;3.48375  ;N 7.9834104;6.5097648;3.4907175;N 7.9834104;9.1462352;3.4907175
6.3510636,7.828,6.967499999999999,T5,Si,8;104;193;237,7.2609712;7.828    ;5.640888 ;N 5.4228664;6.5160272;6.9675   ;N 5.4228664;9.1399728;6.9675   ;N 7.2609712;7.828    ;8.294112 
7.983410400000001,9.1462352,10.4442825,O1,O,25;239;,
10.116435,10.051152,11.6844975,O2,O,25;276;,
8.543529399999999,11.742,10.451249999999998,O3,O,25;238;,
7.718211200000002,10.60694,12.62511,O4,O,25;,
5.7155000000000005,11.742,6.967499999999999,O5,O,26;196;,
6.0081336,14.3440272,6.967499999999999,O6,O,26;98;,
11.431,9.7677784,13.935,O7,O,276;,
11.431,7.828,1.7822864999999986,O8,O,27;133;,
7.260971200000001,15.656,12.608388,O9,O,28;29;,
5.715500000000001,15.656,10.451249999999998,O10,O,28;285;,
8.589253399999999,10.3721,11.2915305,T1,Si,15;16;17;18, 7.9834104; 9.1462352;10.4442825;N 10.116435 ;10.051152 ;11.6844975;N  8.5435294;11.742    ;10.45125  ;N  7.7182112;10.60694  ;12.62511  
6.787727800000001,12.9381184,6.967499999999999,T2,Si,19;20;117;236, 5.7155   ;11.742    ; 6.9675   ;N  6.0081336;14.3440272; 6.9675   ;N  7.7182112;12.87706  ; 5.65761  ;N  7.7182112;12.87706  ; 8.27739  
11.431,9.4217808,1.5704745000000002,T3,Si,22;271;273;297,11.431    ; 7.828    ; 1.7822865;N 12.745565 ;10.051152 ; 2.2505025;N 11.431    ; 9.7677784; 0.       ;N 10.116435 ;10.051152 ; 2.2505025
7.228964400000001,15.656,10.997502,T4,Si,23;24;234;880, 7.2609712;15.656    ;12.608388 ;N  5.7155   ;15.656    ;10.45125  ;N  7.9834104;14.3377648;10.4582175;N  7.9834104;16.9742352;10.4582175
6.351063600000001,15.656,13.935,T5,Si,23, 7.2609712;15.656    ;12.608388 
19.4144104,9.1462352,3.4767825,O1,O,40;263;,
21.547435,10.051152,4.7169975,O2,O,40;308;,
19.9745294,11.742,3.48375,O3,O,40;261;,
19.1492112,10.60694,5.65761,O4,O,40;156;,
17.1465,11.742,0.0,O5,O,41;164;,
17.439133599999998,14.3440272,0.0,O6,O,41;278;,
22.862,9.7677784,6.967499999999999,O7,O,42;308;,
22.862,7.828000000000001,8.749786499999999,O8,O,42;146;,
18.6919712,15.656,5.640888,O9,O,43;44;,
17.1465,15.656,3.48375,O10,O,43;277;,
20.0202534,10.3721,4.3240305,T1,Si,30;31;32;33,19.4144104; 9.1462352; 3.4767825;N 21.547435 ;10.051152 ; 4.7169975;N 19.9745294;11.742    ; 3.48375  ;N 19.1492112;10.60694  ; 5.65761  
18.2187278,12.9381184,0.0,T2,Si,34;35;257,17.1465   ;11.742    ; 0.       ;N 17.4391336;14.3440272; 0.       ;N 19.1492112;12.87706  ; 1.30989  
22.862,9.4217808,8.537974499999999,T3,Si,36;37;304;581,22.862    ; 9.7677784; 6.9675   ;N 22.862    ; 7.828    ; 8.7497865;N 21.547435 ;10.051152 ; 9.2180025;N 24.176565 ;10.051152 ; 9.2180025
18.6599644,15.656,4.030002,T4,Si,38;39;255;898,18.6919712;15.656    ; 5.640888 ;N 17.1465   ;15.656    ; 3.48375  ;N 19.4144104;14.3377648; 3.4907175;N 19.4144104;16.9742352; 3.4907175
17.7820636,15.656,6.967499999999999,T5,Si,38;77;306;775,18.6919712;15.656    ; 5.640888 ;N 16.8538664;14.3440272; 6.9675   ;N 18.6919712;15.656    ; 8.294112 ;N 16.8538664;16.9679728; 6.9675   
19.4144104,1.3182352000000006,10.4442825,O1,O,55;254;,
21.547435,2.2231520000000007,11.6844975,O2,O,55;315;,
19.9745294,3.9140000000000006,10.451249999999998,O3,O,55;252;,
19.1492112,2.778940000000001,12.62511,O4,O,55;,
17.1465,3.9140000000000006,6.967499999999999,O5,O,56;173;,
17.439133599999998,6.516027200000001,6.967499999999999,O6,O,56;71;,
22.862,1.939778400000001,13.935,O7,O,315;,
22.862,1.0913357286942687e-16,1.7822864999999986,O8,O,57;,
18.6919712,7.828000000000001,12.608388,O9,O,58;59;,
17.1465,7.828000000000001,10.451249999999998,O10,O,58;205;,
20.0202534,2.544100000000001,11.2915305,T1,Si,45;46;47;48,19.4144104; 1.3182352;10.4442825;N 21.547435 ; 2.223152 ;11.6844975;N 19.9745294; 3.914    ;10.45125  ;N 19.1492112; 2.77894  ;12.62511  
18.2187278,5.1101184,6.967499999999999,T2,Si,49;50;139;249,17.1465   ; 3.914    ; 6.9675   ;N 17.4391336; 6.5160272; 6.9675   ;N 19.1492112; 5.04906  ; 5.65761  ;N 19.1492112; 5.04906  ; 8.27739  
22.862,1.5937808,1.5704745000000002,T3,Si,52;311;313;587,2.28620000e+01;1.09133573e-16;1.78228650e+00;N 2.15474350e+01;2.22315200e+00;2.25050250e+00;N 2.28620000e+01;1.93977840e+00;0.00000000e+00;N 2.41765650e+01;2.22315200e+00;2.25050250e+00
18.6599644,7.828000000000001,10.997502,T4,Si,53;54;247;303,18.6919712; 7.828    ;12.608388 ;N 17.1465   ; 7.828    ;10.45125  ;N 19.4144104; 6.5097648;10.4582175;N 19.4144104; 9.1462352;10.4582175
17.7820636,7.828000000000001,13.935,T5,Si,53,18.6919712; 7.828    ;12.608388 
14.8785896,1.3182352000000002,3.4767825,O1,O,68;214;,
12.745565,2.223152,4.7169975,O2,O,68;269;,
14.3184706,3.914,3.48375,O3,O,68;212;,
15.1437888,2.7789400000000004,5.65761,O4,O,68;173;,
17.1465,3.914,0.0,O5,O,69;145;,
16.8538664,6.516027200000001,0.0,O6,O,69;264;,
15.601028799999998,7.828,5.640888,O9,O,70;71;,
17.1465,7.828,3.48375,O10,O,70;263;,
14.2727466,2.5441000000000007,4.3240305,T1,Si,60;61;62;63,14.8785896; 1.3182352; 3.4767825;N 12.745565 ; 2.223152 ; 4.7169975;N 14.3184706; 3.914    ; 3.48375  ;N 15.1437888; 2.77894  ; 5.65761  
16.0742722,5.1101184,0.0,T2,Si,64;65;208,17.1465   ; 3.914    ; 0.       ;N 16.8538664; 6.5160272; 0.       ;N 15.1437888; 5.04906  ; 1.30989  
