x,y,z,Site,Atom,Bonded Atoms,Bond Ends
3.5587038,3.5587038,2.634,O1,O,5;72;,
5.825688800000001,3.427311200000001,3.951,O2,O,5;87;,
4.9929188,1.323179,2.634,O3,O,5;7;,
3.1571236000000003,8.064299172385321e-17,1.317,O4,O,6;7;,
1.3157766,1.3157766,0.0,O5,O,6;22;,
5.0447356,2.933201,2.634,T1,Si,0;1;2;85,3.5587038;3.5587038;2.634    ;N 5.8256888;3.4273112;3.951    ;N 4.9929188;1.323179 ;2.634    ;N 5.8256888;3.4273112;1.317    
2.2373754,0.0,0.0,T2,Si,3;4,3.15712360e+00;8.06429917e-17;1.31700000e+00;N 1.31577660e+00;1.31577660e+00;0.00000000e+00
4.0787224,1.6128598344770642e-16,2.634,T3,Si,2;3;100,4.99291880e+00;1.32317900e+00;2.63400000e+00;N 3.15712360e+00;8.06429917e-17;1.31700000e+00;N 3.15712360e+00;2.41928975e-16;3.95100000e+00
12.8117038,12.8117038,5.268,O1,O,13;75;,
15.0786888,12.6803112,1.317,O2,O,84;104;,
14.2459188,10.576179,5.268,O3,O,13;15;,
12.4101236,9.253,3.951,O4,O,14;15;,
10.5687766,10.5687766,2.634,O5,O,14;30;,
14.2977356,12.186201,5.268,T1,Si,8;10;82;489,12.8117038;12.8117038; 5.268    ;N 14.2459188;10.576179 ; 5.268    ;N 15.0786888;12.6803112; 3.951    ;N 15.0786888;12.6803112; 6.585    
11.4903754,9.253,2.634,T2,Si,11;12;60;103,12.4101236; 9.253    ; 3.951    ;N 10.5687766;10.5687766; 2.634    ;N 10.5687766; 7.9372234; 2.634    ;N 12.4101236; 9.253    ; 1.317    
13.3317224,9.253,5.268,T3,Si,10;11;80;573,14.2459188;10.576179 ; 5.268    ;N 12.4101236; 9.253    ; 3.951    ;N 14.2459188; 7.929821 ; 5.268    ;N 12.4101236; 9.253    ; 6.585    
14.9472962,3.5587038,2.634,O1,O,21;66;,
15.0786888,5.825688800000001,3.951,O2,O,21;81;,
17.182821,4.9929188,2.634,O3,O,21;143;,
2.739610572864816e-16,3.1571236000000003,1.317,O4,O,22;23;,
17.1902234,1.3157766,0.0,O5,O,38;142;,
15.572799,5.0447356,2.634,T1,Si,16;17;18;79,14.9472962; 3.5587038; 2.634    ;N 15.0786888; 5.8256888; 3.951    ;N 17.182821 ; 4.9929188; 2.634    ;N 15.0786888; 5.8256888; 1.317    
1.3699973110505143e-16,2.2373754,0.0,T2,Si,4;19,1.31577660e+00;1.31577660e+00;0.00000000e+00;N 2.73961057e-16;3.15712360e+00;1.31700000e+00
4.110357000362369e-16,4.0787224,2.634,T3,Si,19;71;106,2.73961057e-16;3.15712360e+00;1.31700000e+00;N 1.32317900e+00;4.99291880e+00;2.63400000e+00;N 4.35247041e-16;3.15712360e+00;3.95100000e+00
5.6942962,12.8117038,5.268,O1,O,29;69;,
5.8256888,15.0786888,1.317,O2,O,78;110;,
7.929821,14.2459188,5.268,O3,O,29;31;,
9.253,12.4101236,3.951,O4,O,30;31;,
7.9372234000000015,10.5687766,2.634,O5,O,30;46;,
6.3197990000000015,14.2977356,5.268,T1,Si,24;26;76;505, 5.6942962;12.8117038; 5.268    ;N  7.929821 ;14.2459188; 5.268    ;N  5.8256888;15.0786888; 3.951    ;N  5.8256888;15.0786888; 6.585    
9.253,11.4903754,2.634,T2,Si,12;27;28;109,10.5687766;10.5687766; 2.634    ;N  9.253    ;12.4101236; 3.951    ;N  7.9372234;10.5687766; 2.634    ;N  9.253    ;12.4101236; 1.317    
9.253,13.3317224,5.268,T3,Si,26;27;74;575, 7.929821 ;14.2459188; 5.268    ;N  9.253    ;12.4101236; 3.951    ;N 10.576179 ;14.2459188; 5.268    ;N  9.253    ;12.4101236; 6.585    
