x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.1397870000000003,2.2687556,1.968544,O1,O,7;9;,
1.610631,1.961531473955905e-16,3.203424,O2,O,7;,
1.7714070000000004,2.268039000000001,4.516392,O3,O,7;8;,
3.58875,1.6653784000000005,2.704932,O4,O,7;15;,
1.0995930000000007,3.5830000000000006,6.699224,O5,O,8;,
3.588750000000001,3.5830000000000006,5.878392,O6,O,8;16;,
2.1939547406724835e-16,3.583,0.0,O7,O,9;,
2.032668,1.5492892000000005,3.099004,T1,Si,0;1;2;3,1.13978700e+00;2.26875560e+00;1.96854400e+00;N 1.61063100e+00;1.96153147e-16;3.20342400e+00;N 1.77140700e+00;2.26803900e+00;4.51639200e+00;N 3.58875000e+00;1.66537840e+00;2.70493200e+00
2.0513295000000005,3.5830000000000006,5.401692,T2,Si,2;4;5;19,1.771407;2.268039;4.516392;N 1.099593;3.583   ;6.699224;N 3.58875 ;3.583   ;5.878392;N 1.771407;4.897961;4.516392
0.2957130000000003,3.583,1.579012,T3,Si,0;6;18,1.13978700e+00;2.26875560e+00;1.96854400e+00;N 2.19395474e-16;3.58300000e+00;0.00000000e+00;N 1.13978700e+00;4.89724440e+00;1.96854400e+00
6.037713,2.2687556,1.968544,O1,O,15;17;,
5.5668690000000005,1.961531473955905e-16,3.203424,O2,O,15;,
5.406093,2.268039000000001,4.516392,O3,O,15;16;,
6.077907,3.5830000000000006,6.699224,O5,O,16;40;,
7.1775,3.583,0.0,O7,O,17;,
5.144832,1.5492892000000005,3.099004,T1,Si,3;10;11;12,3.58875000e+00;1.66537840e+00;2.70493200e+00;N 6.03771300e+00;2.26875560e+00;1.96854400e+00;N 5.56686900e+00;1.96153147e-16;3.20342400e+00;N 5.40609300e+00;2.26803900e+00;4.51639200e+00
5.1261705,3.5830000000000006,5.401692,T2,Si,5;12;13;23,3.58875 ;3.583   ;5.878392;N 5.406093;2.268039;4.516392;N 6.077907;3.583   ;6.699224;N 5.406093;4.897961;4.516392
6.881787,3.583,1.579012,T3,Si,10;14;22;37,6.037713 ;2.2687556;1.968544 ;N 7.1775   ;3.583    ;0.       ;N 6.037713 ;4.8972444;1.968544 ;N 8.277093 ;3.583    ;2.380776 
1.1397870000000003,4.8972444,1.968544,O1,O,9;21;,
1.7714070000000004,4.8979610000000005,4.516392,O3,O,8;21;,
3.588750000000001,5.5006216000000006,2.704932,O4,O,21;24;,
