x,y,z,Site,Atom,Bonded Atoms,Bond Ends
4.043441302446614,6.2789457192,0.6619874687745726,T1,Si,12;13;15,3.32546021;7.5113051 ;1.41148829;N 5.53337321;6.12016316;1.24827321;N 3.20189661;4.93159101;0.91298434
4.6880434690514825,1.5661473123000005,4.330702692621975,T2,Si,16;18;48;53,5.33800329;1.32754278;2.87720263;N 3.08771793;1.66692973;4.17768856;N 5.05442871;0.3330701 ;5.29965799;N 5.25692428;2.93618524;4.95551041
5.055038114685671,1.5131719380000002,1.303036161164548,T3,Si,16;19;20;21,5.33800329;1.32754278;2.87720263;N 4.89807319;0.06690115;0.61339877;N 3.70086212;2.35302543;1.08411857;N 6.28964354;2.29043122;0.62655262
-1.4157748181503935,8.2848317076,6.84402697340135,T4,Si,23;60;94;127,-2.4083402 ; 7.72837493; 5.70608501;N -0.53810114; 9.49335935; 6.24096337;N -2.26702108; 8.81688249; 8.10263535;N -0.4241679 ; 7.11133385; 7.32454505
2.2608235638655363,11.4531610719,1.9932104443030008,T5,Si,17;26;58;61, 3.12296463;10.11442024; 1.75563587;N  0.84332541;11.31706174; 1.24129362;N  3.05522001;12.71782251; 1.39148907;N  2.01855782;11.6698002 ; 3.5696587 
6.824423690112554,5.442537777,1.928112325414991,T6,Si,13;25;27;28,5.53337321;6.12016316;1.24827321;N 6.3613311 ;4.4915652 ;3.14148757;N 7.80827328;6.59005042;2.48043966;N 7.59999968;4.56148121;0.82573944
-0.3941436812873081,0.6875313483000006,4.404391078744693,T7,Si,14;29;30,-1.19814445; 0.58990735; 5.79520903;N  0.48611481; 2.03488606; 4.37566737;N -1.44152306; 0.71811063; 3.18041222
1.9004467712031132,2.7519917343,4.100778821168034,T8,Si,18;29;31;32,3.08771793;1.66692973;4.17768856;N 0.48611481;2.03488606;4.37566737;N 1.89402928;3.44469141;2.64768143;N 2.14915849;3.87538551;5.22744606
2.5588212375444424,3.4818746691,1.181698636474318,T9,Si,15;20;31;33,3.20189661;4.93159101;0.91298434;N 3.70086212;2.35302543;1.08411857;N 1.89402928;3.44469141;2.64768143;N 1.42298181;3.18010167;0.08066798
8.619087507030535,4.979828748900001,6.315188646764728,T10,Si,34;62;285;287,9.22345897;6.14586124;5.385158  ;N 7.5365635 ;4.13882674;5.46985266;N 9.80287072;3.99813333;6.79181426;N 7.90589219;5.6356323 ;7.59997049
-3.9030384188218,7.6248647817,5.118725488480758,T11,Si,23,-2.4083402 ; 7.72837493; 5.70608501
7.568874404511254,3.118225284,0.1128814803810656,T12,Si,21;24;28,6.28964354;2.29043122;0.62655262;N 8.91799006;2.31512435;0.47018291;N 7.59999968;4.56148121;0.82573944
3.3254602052145583,7.511305104,1.4114882850027182,O1,O,0;37;,
5.533373208158214,6.120163161,1.248273207543294,O2,O,0;5;,
-1.198144447623801,0.5899073523000008,5.795209033213898,O3,O,6;108;,
3.201896610080793,4.9315910097,0.9129843395386542,O4,O,0;8;,
5.338003294043557,1.3275427809000004,2.877202631924521,O5,O,1;2;,
3.1229646304567145,10.1144202444,1.7556358660931486,O6,O,4;37;,
3.087717931342409,1.6669297317000005,4.177688557503766,O7,O,1;7;,
4.898073190718821,0.0669011502,0.6133987697282637,O8,O,2;,
3.700862123954097,2.353025433,1.0841185696050737,O9,O,2;8;,
6.289643539787672,2.2904312238,0.6265526164314081,O10,O,2;11;,
5.324668903423795,5.539587514200001,5.319657208017566,O11,O,40;75;,
-2.408340198384172,7.728374930400001,5.706085010653818,O12,O,3;10;,
8.91799005722226,2.3151243522,0.4701829081746406,O13,O,11;,
6.361331097424839,4.4915652042000005,3.1414875723172897,O14,O,5;40;,
0.843325409189029,11.3170617363,1.2412936154150949,O15,O,4;45;,
7.808273278726,6.5900504241,2.4804396640215125,O16,O,5;42;,
7.599999675115972,4.5614812131,0.8257394379361659,O17,O,5;11;,
0.4861148059664274,2.0348860578000005,4.375667372678643,O18,O,6;7;,
-1.4415230581816256,0.7181106294000005,3.1804122207245533,O19,O,6;,
1.8940292773299496,3.4446914118,2.6476814292472057,O20,O,7;8;,
