x,y,z,Site,Atom,Bonded Atoms,Bond Ends
8.999465013,3.7323285543,1.5447548124,Si1,Si,3;4;5;8,7.460181  ;4.14189249;1.77602042;N 9.95959031;4.96176638;1.93989573;N 9.23073062;3.34514516;0.        ;N 9.36625725;2.46061637;2.46061637
5.9189076054,3.7365559902,1.5479875575000002,Si2,Si,3;7;9;10,7.460181  ;4.14189249;1.77602042;N 5.68043049;3.36553632;0.        ;N 4.97544338;4.97544338;1.9565568 ;N 5.55509945;2.46310309;2.46310309
10.8876368241,6.2168175,1.5459981759,Si3,Si,4;6;625;626, 9.95959031; 4.96176638; 1.93989573;N 12.433635  ; 5.83510491; 1.77999919;N 10.49373927; 7.47186862; 2.47404469;N 10.65363581; 6.59853009; 0.        
7.460181,4.1418924912,1.7760204234,O1,O,0;1;,
9.9595903077,4.9617663831000005,1.9398957327,O2,O,0;2;,
9.230730624,3.3451451604,0.0,O3,O,0;,
12.433635,5.835104905500001,1.7799991866000002,O4,O,2;269;,
5.680430486100001,3.3655363218,0.0,O5,O,1;,
9.3662572455,2.4606163665,2.4606163665,O6,O,0;33;,
4.975443381600001,4.975443381600001,1.9565568036,O7,O,1;42;,
5.555099445300001,2.4631030935,2.4631030935,O8,O,1;34;,
1.5447548124000008,8.999465013,3.7323285543,Si1,Si,14;15;16;19,1.77602042e+00;7.46018100e+00;4.14189249e+00;N 1.93989573e+00;9.95959031e+00;4.96176638e+00;N 7.70050301e-16;9.23073062e+00;3.34514516e+00;N 2.46061637e+00;9.36625725e+00;2.46061637e+00
1.5479875575000008,5.9189076054,3.7365559902,Si2,Si,14;18;20;21,1.77602042e+00;7.46018100e+00;4.14189249e+00;N 5.53905715e-16;5.68043049e+00;3.36553632e+00;N 1.95655680e+00;4.97544338e+00;4.97544338e+00;N 2.46310309e+00;5.55509945e+00;2.46310309e+00
1.5459981759000012,10.8876368241,6.2168175,Si3,Si,15;17;615;616,1.93989573e+00;9.95959031e+00;4.96176638e+00;N 1.77999919e+00;1.24336350e+01;5.83510491e+00;N 2.47404469e+00;1.04937393e+01;7.47186862e+00;N 1.05639049e-15;1.06536358e+01;6.59853009e+00
1.7760204234000008,7.460181,4.1418924912,O1,O,11;12;,
1.9398957327000008,9.9595903077,4.9617663831000005,O2,O,11;13;,
7.700503012920085e-16,9.230730624,3.3451451604,O3,O,11;,
1.7799991866000011,12.433635,5.835104905500001,O4,O,13;316;,
5.539057148243967e-16,5.680430486100001,3.3655363218,O5,O,12;,
2.4606163665000005,9.3662572455,2.4606163665,O6,O,11;41;,
1.9565568036000005,4.975443381600001,4.975443381600001,O7,O,12;50;,
2.4631030935000005,5.555099445300001,2.4631030935,O8,O,12;42;,
3.732328554300001,1.5447548124000006,8.999465013,Si1,Si,25;26;27;30,4.14189249e+00;1.77602042e+00;7.46018100e+00;N 4.96176638e+00;1.93989573e+00;9.95959031e+00;N 3.34514516e+00;5.65219236e-16;9.23073062e+00;N 2.46061637e+00;2.46061637e+00;9.36625725e+00
3.7365559902000007,1.5479875575000006,5.9189076054,Si2,Si,25;29;31;32,4.14189249e+00;1.77602042e+00;7.46018100e+00;N 3.36553632e+00;3.47826051e-16;5.68043049e+00;N 4.97544338e+00;1.95655680e+00;4.97544338e+00;N 2.46310309e+00;2.46310309e+00;5.55509945e+00
6.216817500000001,1.5459981759000008,10.8876368241,Si3,Si,26;28;620;621,4.96176638e+00;1.93989573e+00;9.95959031e+00;N 5.83510491e+00;1.77999919e+00;1.24336350e+01;N 7.47186862e+00;2.47404469e+00;1.04937393e+01;N 6.59853009e+00;6.52347050e-16;1.06536358e+01
4.141892491200001,1.7760204234000003,7.460181,O1,O,22;23;,
4.961766383100001,1.9398957327000008,9.9595903077,O2,O,22;24;,
3.3451451604000004,5.652192356236525e-16,9.230730624,O3,O,22;,
5.8351049055000015,1.779999186600001,12.433635,O4,O,24;363;,
3.3655363218000005,3.4782605062907047e-16,5.680430486100001,O5,O,23;,
2.4606163665000005,2.4606163665000005,9.3662572455,O6,O,22;49;,
4.975443381600001,1.9565568036000005,4.975443381600001,O7,O,23;34;,
2.4631030935000005,2.4631030935000005,5.555099445300001,O8,O,23;50;,
8.999465013,1.5447548124000003,3.7323285543,Si1,Si,8;36;37;38,9.36625725e+00;2.46061637e+00;2.46061637e+00;N 7.46018100e+00;1.77602042e+00;4.14189249e+00;N 9.95959031e+00;1.93989573e+00;4.96176638e+00;N 9.23073062e+00;2.04831066e-16;3.34514516e+00
5.9189076054,1.5479875575000004,3.7365559902,Si2,Si,10;31;36;40,5.55509945e+00;2.46310309e+00;2.46310309e+00;N 4.97544338e+00;1.95655680e+00;4.97544338e+00;N 7.46018100e+00;1.77602042e+00;4.14189249e+00;N 5.68043049e+00;2.06079664e-16;3.36553632e+00
