x,y,z,Site,Atom,Bonded Atoms,Bond Ends
5.841342,4.2955302,0.0,O1,O,12;128;,
4.889657888354574,2.2251432,1.3199351981906615,O2,O,12;13;,
1.2446964716136338e-16,2.0327436,0.0,O3,O,42;,
4.888705782162825,2.2251432,5.838780591996327,O4,O,43;452;,
3.577312603998299,1.9365438000000004,3.5789999950939846,O5,O,13;43;,
3.5781214272071464,1.1001933374035703e-16,1.7966579975371804,O6,O,13;,
-6.877433262392355e-05,6.160969799999999,1.3134929981994925,O7,O,14;16;,
5.835499303372524,8.2313568,2.2669385968925297,O8,O,45;126;,
5.158063156028515e-16,8.4237564,0.0,O9,O,14;,
1.3185478033725229,8.2313568,2.2669385968925297,O10,O,14;15;,
3.5773126039982994,8.524138800000001,3.5789999950939846,O11,O,15;45;,
1.7885626039982996,10.4565,3.5789999950939846,O12,O,15;88;,
5.6832165,2.6894118,0.0,T1,Si,0;1;114,5.841342  ;4.2955302 ;0.        ;N 4.88965789;2.2251432 ;1.3199352 ;N 7.155     ;2.0327436 ;0.        
3.5773949083222463,1.5935706000000005,2.0071031972487066,T2,Si,1;4;5;36,4.88965789e+00;2.22514320e+00;1.31993520e+00;N 3.57731260e+00;1.93654380e+00;3.57900000e+00;N 3.57812143e+00;1.10019334e-16;1.79665800e+00;N 2.26591943e+00;2.22514320e+00;1.31921940e+00
-7.709471509935369e-05,7.7670882,1.4724005979816652,T3,Si,6;8;9,-6.87743326e-05; 6.16096980e+00; 1.31349300e+00;N  5.15806316e-16; 8.42375640e+00; 0.00000000e+00;N  1.31854780e+00; 8.23135680e+00; 2.26693860e+00
2.0039281039982995,8.8629294,3.5789999950939846,T4,Si,9;10;11;39, 1.3185478 ; 8.2313568 ; 2.2669386 ;N  3.5773126 ; 8.5241388 ; 3.579     ;N  1.7885626 ;10.4565    ; 3.579     ;N  1.3191259 ; 8.2313568 ; 4.89106139
3.201379813821074e-16,5.22825,0.0,T5,Si,6;34,-6.87743326e-05; 6.16096980e+00; 1.31349300e+00;N  1.31365800e+00; 4.29553020e+00; 0.00000000e+00
2.2638420000000017,25.2085302,0.0,O1,O,29;33;,
1.312157888354574,23.1381432,1.3199351981906615,O2,O,29;,
3.577500000000001,22.9457436,0.0,O3,O,29;56;,
1.3112057821628262,23.1381432,5.838780591996327,O4,O,57;469;,
7.154812603998301,22.8495438,3.5789999950939846,O5,O,30;167;,
0.0006214272071472,20.913,1.7966579975371804,O6,O,,
3.577431225667377,27.0739698,1.3134929981994925,O7,O,31;33;,
2.2579993033725234,29.1443568,2.2669385968925297,O8,O,31;59;,
3.577500000000002,29.3367564,0.0,O9,O,31;,
4.896047803372525,29.1443568,2.2669385968925297,O10,O,31;32;,
7.154812603998301,29.4371388,3.5789999950939846,O11,O,32;169;,
5.366062603998301,31.3695,3.5789999950939846,O12,O,32;73;,
2.105716500000001,23.6024118,0.0,T1,Si,17;18;19, 2.263842  ;25.2085302 ; 0.        ;N  1.31215789;23.1381432 ; 1.3199352 ;N  3.5775    ;22.9457436 ; 0.        
7.154894908322248,22.5065706,2.0071031972487066,T2,Si,21;48;130;134, 7.1548126 ;22.8495438 ; 3.579     ;N  5.84341943;23.1381432 ; 1.3192194 ;N  8.46715789;23.1381432 ; 1.3199352 ;N  7.15562143;20.913     ; 1.796658  
3.577422905284902,28.6800882,1.4724005979816652,T3,Si,23;24;25;26, 3.57743123;27.0739698 ; 1.313493  ;N  2.2579993 ;29.1443568 ; 2.2669386 ;N  3.5775    ;29.3367564 ; 0.        ;N  4.8960478 ;29.1443568 ; 2.2669386 
5.581428103998301,29.7759294,3.5789999950939846,T4,Si,26;27;28;52, 4.8960478 ;29.1443568 ; 2.2669386 ;N  7.1548126 ;29.4371388 ; 3.579     ;N  5.3660626 ;31.3695    ; 3.579     ;N  4.8966259 ;29.1443568 ; 4.89106139
3.577500000000002,26.14125,0.0,T5,Si,17;23;46, 2.263842  ;25.2085302 ; 0.        ;N  3.57743123;27.0739698 ; 1.313493  ;N  4.891158  ;25.2085302 ; 0.        
1.3136580000000002,4.2955302,0.0,O1,O,16;42;,
2.264967319642025,2.2251432,5.838064791997308,O2,O,43;482;,
2.265919425833773,2.2251432,1.319219398191643,O4,O,13;42;,
3.576503780789452,3.283047050658463e-16,5.361341992650789,O6,O,43;,
-0.0003060176707775,6.160969799999999,5.844506991988477,O7,O,44;456;,
1.3191259046240758,8.2313568,4.891061393295439,O8,O,15;44;,
5.836077404624077,8.2313568,4.891061393295439,O10,O,45;156;,
5.3660626039983,10.4565,3.5789999950939846,O12,O,45;111;,
1.4717835,2.6894118,0.0,T1,Si,2;34;36,1.24469647e-16;2.03274360e+00;0.00000000e+00;N 1.31365800e+00;4.29553020e+00;0.00000000e+00;N 2.26591943e+00;2.22514320e+00;1.31921940e+00
3.577230299674352,1.5935706000000005,5.150896792939263,T2,Si,3;4;35;37,4.88870578e+00;2.22514320e+00;5.83878059e+00;N 3.57731260e+00;1.93654380e+00;3.57900000e+00;N 2.26496732e+00;2.22514320e+00;5.83806479e+00;N 3.57650378e+00;3.28304705e-16;5.36134199e+00
-0.0002976972883018,7.7670882,5.685599392206304,T3,Si,38;39;448,-3.06017671e-04; 6.16096980e+00; 5.84450699e+00;N  1.31912590e+00; 8.23135680e+00; 4.89106139e+00;N -3.74792003e-04; 8.42375640e+00; 7.15799999e+00
5.1506971039983,8.8629294,3.5789999950939846,T4,Si,7;10;40;41, 5.8354993 ; 8.2313568 ; 2.2669386 ;N  3.5773126 ; 8.5241388 ; 3.579     ;N  5.8360774 ; 8.2313568 ; 4.89106139;N  5.3660626 ;10.4565    ; 3.579     
4.891158000000002,25.2085302,0.0,O1,O,33;56;,
5.842467319642028,23.1381432,5.838064791997308,O2,O,167;496;,
