x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.3192140000000003,0.2513532000000001,2.256375,O1,O,58;,
6.824466263069822e-16,0.2981892000000006,10.84701,O2,O,54;,
4.673405266396193e-16,5.8545,1.7777500000000002,O3,O,4;32;,
2.38989822853606e-16,3.903,0.0,O4,O,4;,
3.567221858676721e-16,4.261295400000001,1.56442,T1,Si,2;3;55,4.67340527e-16;5.85450000e+00;1.77775000e+00;N 2.38989823e-16;3.90300000e+00;0.00000000e+00;N 1.31921400e+00;3.65164680e+00;2.25637500e+00
5.394726600000003,7.346226600000002,23.93125,T2,Si,25;61;89;256, 3.903    ; 7.5078108;24.52201  ;N  6.486786 ; 7.5546468;25.093625 ;N  5.5563108; 5.8545   ;23.34049  ;N  5.6031468; 8.438286 ;22.768875 
5.222214000000001,4.154353200000001,15.931375,O1,O,27;60;,
3.903000000000002,4.201189200000002,24.52201,O2,O,33;56;,
3.903000000000001,1.951500000000001,15.45275,O3,O,10;27;,
3.903000000000002,7.806000000000001,13.675,O4,O,69;208;,
3.903000000000001,0.3582954000000014,15.23942,T1,Si,8;68,3.90300000e+00;1.95150000e+00;1.54527500e+01;N 3.90300000e+00;8.37352249e-16;1.36750000e+01
1.4917266000000011,3.443226600000001,10.25625,T2,Si,30;57;65;86,8.84918804e-16;3.60481080e+00;1.08470100e+01;N 1.70014680e+00;4.53528600e+00;9.09387500e+00;N 2.58378600e+00;3.65164680e+00;1.14186250e+01;N 1.65331080e+00;1.95150000e+00;9.66549000e+00
5.603146800000002,3.2707140000000017,22.768875,O1,O,43;56;,
5.5563108,1.9515,4.009510000000002,O2,O,38;52;,
1.4843790771615176e-15,1.9515000000000011,22.29025,O3,O,16;,
1.9515000000000016,1.9515000000000011,20.512500000000003,O4,O,16;77;,
1.593204600000001,1.9515000000000011,22.07692,T1,Si,14;15;39;49,1.48437908e-15;1.95150000e+00;2.22902500e+01;N 1.95150000e+00;1.95150000e+00;2.05125000e+01;N 2.20285320e+00;6.32286000e-01;2.27688750e+01;N 2.20285320e+00;3.27071400e+00;2.27688750e+01
6.314273400000001,7.346226600000001,17.09375,T2,Si,35;53;161;270, 6.1526892; 5.8545   ;17.68451  ;N  5.222214 ; 7.5546468;15.931375 ;N  7.806    ; 7.5078108;16.50299  ;N  6.1058532; 8.438286 ;18.256125 
1.700146800000001,7.173714000000001,9.093875,O1,O,37;251;,
1.6533108000000014,5.854500000000001,17.684510000000003,O2,O,44;50;,
3.903000000000001,5.854500000000001,8.61525,O3,O,22;37;,
5.8545,5.8545,6.8375,O4,O,22;73;,
5.4962046,5.854500000000001,8.40192,T1,Si,20;21;34;51,3.903    ;5.8545   ;8.61525  ;N 5.8545   ;5.8545   ;6.8375   ;N 6.1058532;4.535286 ;9.093875 ;N 6.1058532;7.173714 ;9.093875 
2.4112734,3.4432266000000005,3.41875,T2,Si,40;55;66;70,2.2496892;1.9515   ;4.00951  ;N 1.319214 ;3.6516468;2.256375 ;N 3.903    ;3.6048108;2.82799  ;N 2.2028532;4.535286 ;4.581125 
2.583786000000001,7.554646800000001,15.931375,O1,O,50;208;,
3.903000000000002,7.5078108000000014,24.52201,O2,O,5;46;,
3.903000000000002,3.903000000000001,13.675,O4,O,27;80;,
3.903000000000001,3.5447046000000006,15.23942,T1,Si,6;8;26;47, 5.222214 ; 4.1543532;15.931375 ;N  3.903    ; 1.9515   ;15.45275  ;N  3.903    ; 3.903    ;13.675    ;N  2.583786 ; 4.1543532;15.931375 
6.3142734,0.4597734000000002,10.25625,T2,Si,75;78;101, 6.1526892; 1.9515   ; 9.66549  ;N  5.222214 ; 0.2513532;11.418625 ;N  7.806    ; 0.2981892;10.84701  
