x,y,z,Site,Atom,Bonded Atoms,Bond Ends
4.218502100000002,8.7340061,7.307797999999999,O1,O,10;156;,
5.061127400000002,9.1963077,9.751746,O2,O,10;69;,
8.6170868,6.719500000000001,8.890462,O3,O,66;116;,
6.719500000000002,8.2663289,7.93518,O4,O,10;116;,
10.6490636,6.7195,6.413723999999999,O5,O,68;118;,
1.6839067000000008,8.5431723,7.954854,O6,O,11;156;,
11.033419,9.125081000000002,5.465,O7,O,68;148;,
2.502341800000001,9.2500637,10.35071,O8,O,11;69;,
11.5199108,6.719500000000001,9.832628,O9,O,67;117;,
1.1313833751622048e-15,8.5109187,9.965974,O12,O,11;,
5.204924700000001,8.2273558,8.475121999999999,T1,Si,0;1;3;58,4.2185021;8.7340061;7.307798 ;N 5.0611274;9.1963077;9.751746 ;N 6.7195   ;8.2663289;7.93518  ;N 4.8219132;6.7195   ;8.890462 
1.5320460000000011,8.2555777,9.533146,T2,Si,5;7;9;64,1.68390670e+00;8.54317230e+00;7.95485400e+00;N 2.50234180e+00;9.25006370e+00;1.03507100e+01;N 1.13138338e-15;8.51091870e+00;9.96597400e+00;N 1.91908920e+00;6.71950000e+00;9.83262800e+00
2.761714500000001,5.1565443,6.787529999999999,T3,Si,60;62;150;152,2.7899364;6.7195   ;6.413724 ;N 2.405581 ;4.313919 ;5.465    ;N 4.2185021;4.7049939;7.307798 ;N 1.6839067;4.8958277;7.954854 
9.447617,3.991383000000001,10.93,T4,Si,57;63;132;134, 8.3778726; 4.2426923; 9.751746 ;N 10.9366582; 4.1889363;10.35071  ;N  9.1963077; 5.0611274;12.108254 ;N  9.2500637; 2.5023418;11.50929  
10.938002100000002,2.0145061000000037,18.237798,O1,O,24;167;,
11.780627400000002,2.4768077,20.681746,O2,O,24;83;,
1.8975868000000016,13.439000000000002,19.820462,O3,O,80;491;,
13.439000000000002,1.5468289000000008,18.86518,O4,O,24;310;,
3.9295636000000016,13.439000000000002,17.343723999999998,O5,O,129;447;,
8.403406700000001,1.8236723,18.884854,O6,O,25;167;,
4.313919,2.405581000000001,16.395,O7,O,82;137;,
9.221841800000002,2.5305637,21.28071,O8,O,25;83;,
4.800410800000002,13.439000000000002,20.762628,O9,O,81;492;,
6.719500000000001,1.791418700000001,20.895974,O12,O,25;128;,
11.9244247,1.5078558000000022,19.405122,T1,Si,14;15;17;72,1.09380021e+01;2.01450610e+00;1.82377980e+01;N 1.17806274e+01;2.47680770e+00;2.06817460e+01;N 1.34390000e+01;1.54682890e+00;1.88651800e+01;N 1.15414132e+01;1.21365327e-15;1.98204620e+01
8.251546000000001,1.5360777000000023,20.463146,T2,Si,19;21;23;78,8.4034067e+00;1.8236723e+00;1.8884854e+01;N 9.2218418e+00;2.5305637e+00;2.1280710e+01;N 6.7195000e+00;1.7914187e+00;2.0895974e+01;N 8.6385892e+00;1.2713443e-15;2.0762628e+01
9.481214500000002,11.8760443,17.71753,T3,Si,76;123;157;162, 9.125081 ;11.033419 ;16.395    ;N  9.5094364;13.439    ;17.343724 ;N 10.9380021;11.4244939;18.237798 ;N  8.4034067;11.6153277;18.884854 
2.728117,10.710883,21.86,T4,Si,71;77;857;862, 1.6583726;10.9621923;20.681746 ;N  4.2171582;10.9084363;21.28071  ;N  2.4768077;11.7806274;23.038254 ;N  2.5305637; 9.2218418;22.43929  
4.704993900000001,4.218502100000001,14.552202,O1,O,38;137;,
4.242692300000001,5.061127400000001,12.108254,O2,O,38;97;,
6.719500000000002,8.6170868,12.969537999999998,O3,O,94;173;,
5.172671100000001,6.719500000000001,13.92482,O4,O,38;173;,
6.719500000000002,10.649063600000002,15.446276,O5,O,96;175;,
4.8958277,1.6839067000000008,13.905146,O6,O,39;137;,
4.313919000000001,11.033419,16.395,O7,O,96;129;,
4.188936300000001,2.502341800000001,11.509289999999998,O8,O,39;97;,
6.719500000000002,11.5199108,12.027372,O9,O,95;174;,
4.928081300000001,7.282990434937698e-16,11.894026,O12,O,39;,
5.211644200000001,5.2049247,13.384878,T1,Si,28;29;31;86, 4.7049939; 4.2185021;14.552202 ;N  4.2426923; 5.0611274;12.108254 ;N  5.1726711; 6.7195   ;13.92482  ;N  6.7195   ; 4.8219132;12.969538 
5.183422300000002,1.532046000000001,12.326854,T2,Si,33;35;37;92,4.89582770e+00;1.68390670e+00;1.39051460e+01;N 4.18893630e+00;2.50234180e+00;1.15092900e+01;N 4.92808130e+00;7.28299043e-16;1.18940260e+01;N 6.71950000e+00;1.91908920e+00;1.20273720e+01
8.282455700000003,2.761714500000001,15.07247,T3,Si,88;90;131;133, 6.7195   ; 2.7899364;15.446276 ;N  9.125081 ; 2.405581 ;16.395    ;N  8.7340061; 4.2185021;14.552202 ;N  8.5431723; 1.6839067;13.905146 
9.447617,9.447617,10.93,T4,Si,85;91;113;115, 9.1963077; 8.3778726;12.108254 ;N  9.2500637;10.9366582;11.50929  ;N  8.3778726; 9.1963077; 9.751746 ;N 10.9366582; 9.2500637;10.35071  
11.4244939,10.9380021,3.622202,O1,O,52;148;,
10.9621923,11.7806274,1.178254,O2,O,52;111;,
2.410793642081831e-16,1.8975868,2.039538,O3,O,108;,
11.8921711,13.439,2.9948200000000003,O4,O,52;544;,
5.171585216125981e-16,3.9295636,4.516276,O5,O,186;,
11.6153277,8.4034067,2.975146,O6,O,53;148;,
11.033419,4.313918999999999,5.465,O7,O,110;118;,
10.9084363,9.2218418,0.5792900000000005,O8,O,53;111;,
3.611350414043157e-16,4.8004108,1.0973720000000005,O9,O,109;,
11.6475813,6.7195,0.9640259999999994,O12,O,53;185;,
11.9311442,11.9244247,2.4548780000000003,T1,Si,42;43;45;100,11.4244939;10.9380021; 3.622202 ;N 10.9621923;11.7806274; 1.178254 ;N 11.8921711;13.439    ; 2.99482  ;N 13.439    ;11.5414132; 2.039538 
11.9029223,8.251546,1.3968540000000005,T2,Si,47;49;51;106,11.6153277; 8.4034067; 2.975146 ;N 10.9084363; 9.2218418; 0.57929  ;N 11.6475813; 6.7195   ; 0.964026 ;N 13.439    ; 8.6385892; 1.097372 
1.5629557000000012,9.4812145,4.14247,T3,Si,104;138;143;180,2.40558100e+00;9.12508100e+00;5.46500000e+00;N 2.01450610e+00;1.09380021e+01;3.62220200e+00;N 1.82367230e+00;8.40340670e+00;2.97514600e+00;N 8.58827190e-16;9.50943640e+00;4.51627600e+00
2.728117,2.728116999999998,0.0,T4,Si,99;105,2.4768077;1.6583726;1.178254 ;N 2.5305637;4.2171582;0.57929  
9.2204979,4.704993900000001,7.307797999999999,O1,O,66;118;,
8.3778726,4.242692300000001,9.751746,O2,O,13;66;,
4.821913200000001,6.719500000000001,8.890462,O3,O,10;154;,
