x,y,z,Site,Atom,Bonded Atoms,Bond Ends
3.593140650000002,4.707305417584164,4.776870000000001,O1,O,3;94;,
3.5935,0.5701298112530869,3.4615000000000005,O2,O,7;10;,
0.0,0.0,0.0,O3,O,27;,
3.5931406500000014,3.779910855611348,3.4615000000000005,T1,Si,0;6;9;26,3.59314065;4.70730542;4.77687   ;N 4.8965031 ;2.82699738;3.4615    ;N 2.2904969 ;2.82699738;3.4615    ;N 3.59314065;4.70730542;2.14613   
3.2556402395508966e-16,5.638934306067862e-16,5.316864000000001,T2,Si,5;13,1.31378360e+00;7.58098373e-01;4.77687000e+00;N 4.23911490e-16;7.34236238e-16;6.92300000e+00
1.3137836000000007,0.7580983734784498,4.776870000000001,O1,O,4;7;,
4.896503100000001,2.8269973828728374,3.4615000000000005,O2,O,3;10;,
2.1169308500000006,1.2217956544648576,3.4615000000000005,T1,Si,1;5;9;28,3.5935    ;0.57012981;3.4615    ;N 1.3137836 ;0.75809837;4.77687   ;N 2.2904969 ;2.82699738;3.4615    ;N 1.3137836 ;0.75809837;2.14613   
5.8735757500000005,0.7587207859361497,4.776870000000001,O1,O,10;34;,
2.2904969000000013,2.8269973828728383,3.4615000000000005,O2,O,3;7;,
5.0704285,1.2224180669225573,3.4615000000000005,T1,Si,1;6;8;29,3.5935    ;0.57012981;3.4615    ;N 4.8965031 ;2.82699738;3.4615    ;N 5.87357575;0.75872079;4.77687   ;N 5.87357575;0.75872079;2.14613   
0.0003593500000011,1.5168191594145997,11.69987,O1,O,14;15;,
2.840905253130482e-15,5.653994765745676,10.3845,O2,O,18;21;,
4.239114895248563e-16,7.342362377692529e-16,6.923000000000001,O3,O,4;23;,
0.0003593500000011,2.4442137213874147,10.3845,T1,Si,11;17;20;22, 3.59350000e-04; 1.51681916e+00; 1.16998700e+01;N -1.30300310e+00; 3.39712719e+00; 1.03845000e+01;N  1.30300310e+00; 3.39712719e+00; 1.03845000e+01;N  3.59350000e-04; 1.51681916e+00; 9.06913000e+00
7.494755134799459e-16,1.298129668376039e-15,12.239864000000004,T2,Si,11;122,3.59350000e-04;1.51681916e+00;1.16998700e+01;N 8.47822979e-16;1.46847248e-15;1.38460000e+01
2.2797164000000025,5.466026203520313,11.69987,O1,O,18;105;,
-1.3030030999999986,3.3971271941259253,10.3845,O2,O,14;21;,
1.476569150000002,5.002328922533906,10.3845,T1,Si,12;16;20;24,2.84090525e-15;5.65399477e+00;1.03845000e+01;N 2.27971640e+00;5.46602620e+00;1.16998700e+01;N 1.30300310e+00;3.39712719e+00;1.03845000e+01;N 2.27971640e+00;5.46602620e+00;9.06913000e+00
-2.2800757499999973,5.465403791062613,11.69987,O1,O,21;75;,
1.3030031000000015,3.3971271941259245,10.3845,O2,O,14;18;,
-1.4769284999999976,5.001706510076206,10.3845,T1,Si,12;17;19;25, 2.84090525e-15; 5.65399477e+00; 1.03845000e+01;N -1.30300310e+00; 3.39712719e+00; 1.03845000e+01;N -2.28007575e+00; 5.46540379e+00; 1.16998700e+01;N -2.28007575e+00; 5.46540379e+00; 9.06913000e+00
0.0003593500000009,1.5168191594145992,9.06913,O1,O,14;23;,
5.22258955094623e-16,9.045790449317197e-16,8.529136000000001,T2,Si,13;22,4.23911490e-16;7.34236238e-16;6.92300000e+00;N 3.59350000e-04;1.51681916e+00;9.06913000e+00
2.279716400000002,5.466026203520313,9.06913,O1,O,18;113;,
-2.2800757499999977,5.465403791062613,9.06913,O1,O,21;83;,
3.5931406500000014,4.707305417584163,2.1461300000000008,O1,O,3;117;,
9.834746556976666e-17,1.7034280716246667e-16,1.606136,T2,Si,2;28,0.        ;0.        ;0.        ;N 1.3137836 ;0.75809837;2.14613   
1.3137836000000007,0.7580983734784494,2.1461300000000008,O1,O,7;27;,
5.8735757500000005,0.7587207859361493,2.1461300000000008,O1,O,10;57;,
