x,y,z,Site,Atom,Bonded Atoms,Bond Ends
4.1814102,3.558,0.0,O4,O,8;,
2.544406500000001,4.295929200000001,7.783717800000001,O5,O,54;55;,
3.5274262000000003,0.0,0.0,O6,O,,
3.578518700000001,5.2359528,1.9121316,O7,O,8;10;,
5.109250000000001,3.949380000000001,7.294500000000001,O8,O,39;54;,
1.919034300000001,6.859112400000001,7.741896000000001,O9,O,55;200;,
1.5920423000000008,1.6566048000000009,9.5275896,O10,O,56;297;,
2.3997565128045166e-16,2.0643516,1.8547482,O11,O,9;,
3.850330800000001,3.6839532,1.5697764,T1,Si,0;3;36;50,4.1814102;3.558    ;0.       ;N 3.5785187;5.2359528;1.9121316;N 5.10925  ;3.16662  ;2.4315   ;N 2.5444065;2.8200708;1.9422822
1.5062069,1.7092632,1.4122152,T2,Si,7;50;52,2.39975651e-16;2.06435160e+00;1.85474820e+00;N 2.54440650e+00;2.82007080e+00;1.94228220e+00;N 1.91903430e+00;2.56887600e-01;1.98410400e+00
2.6711159000000007,6.2699076,1.0815312,T3,Si,3;53;146;196,3.5785187;5.2359528;1.9121316;N 1.5920423;5.4593952;0.1984104;N 3.5274262;7.116    ;0.       ;N 1.9190343;7.3728876;1.984104 
16.2555898,3.558,0.0,O4,O,18;,
17.8925935,4.295929200000001,7.783717800000001,O5,O,47;48;,
16.9095738,0.0,0.0,O6,O,,
16.8584813,5.2359528,1.9121316,O7,O,18;20;,
15.327750000000002,3.949380000000001,7.294500000000001,O8,O,29;47;,
18.5179657,6.859112400000001,7.741896000000001,O9,O,48;193;,
18.8449577,1.6566048000000009,9.5275896,O10,O,49;307;,
16.5866692,3.6839532,1.5697764,T1,Si,11;14;25;42,16.2555898; 3.558    ; 0.       ;N 16.8584813; 5.2359528; 1.9121316;N 15.32775  ; 3.16662  ; 2.4315   ;N 17.8925935; 2.8200708; 1.9422822
18.9307931,1.7092632,1.4122152,T2,Si,42;44;79,17.8925935; 2.8200708; 1.9422822;N 18.5179657; 0.2568876; 1.984104 ;N 20.437    ; 2.0643516; 1.8547482
17.7658841,6.2699076,1.0815312,T3,Si,14;45;157;188,16.8584813; 5.2359528; 1.9121316;N 18.8449577; 5.4593952; 0.1984104;N 16.9095738; 7.116    ; 0.       ;N 18.5179657; 7.3728876; 1.984104 
14.3999102,3.5580000000000003,4.863,O4,O,29;69;,
12.7629065,2.8200708,2.9207178000000003,O5,O,69;70;,
13.7459262,2.97772869212679e-16,4.863,O6,O,31;,
13.7970187,1.8800472000000004,6.775131600000001,O7,O,29;31;,
15.327750000000002,3.1666199999999995,2.4315,O8,O,18;69;,
12.1375343,0.2568876000000003,2.878896000000001,O9,O,70;,
11.8105423,5.4593952,4.664589600000001,O10,O,30;71;,
10.2185,5.0516484,6.717748200000001,O11,O,30;40;,
14.0688308,3.4320468,6.432776400000001,T1,Si,15;21;24;65,15.32775  ; 3.94938  ; 7.2945   ;N 14.3999102; 3.558    ; 4.863    ;N 13.7970187; 1.8800472; 6.7751316;N 12.7629065; 4.2959292; 6.8052822
11.7247069,5.4067368,6.275215200000001,T2,Si,27;28;65;67,11.8105423; 5.4593952; 4.6645896;N 10.2185   ; 5.0516484; 6.7177482;N 12.7629065; 4.2959292; 6.8052822;N 12.1375343; 6.8591124; 6.847104 
12.8896159,0.8460924000000003,5.9445312,T3,Si,23;24;68,1.37459262e+01;2.97772869e-16;4.86300000e+00;N 1.37970187e+01;1.88004720e+00;6.77513160e+00;N 1.18105423e+01;1.65660480e+00;5.06141040e+00
6.0370898,3.5580000000000003,4.863,O4,O,39;62;,
7.674093500000001,2.8200708,2.9207178000000003,O5,O,62;63;,
6.691073800000001,2.97772869212679e-16,4.863,O6,O,41;,
6.6399813,1.8800472000000004,6.775131600000001,O7,O,39;41;,
5.10925,3.1666199999999995,2.4315,O8,O,8;62;,
8.2994657,0.2568876000000003,2.878896000000001,O9,O,63;,
8.626457700000001,5.4593952,4.664589600000001,O10,O,40;64;,
6.3681692000000005,3.4320468,6.432776400000001,T1,Si,4;32;35;57,5.10925  ;3.94938  ;7.2945   ;N 6.0370898;3.558    ;4.863    ;N 6.6399813;1.8800472;6.7751316;N 7.6740935;4.2959292;6.8052822
8.7122931,5.4067368,6.275215200000001,T2,Si,28;38;57;59,10.2185   ; 5.0516484; 6.7177482;N  8.6264577; 5.4593952; 4.6645896;N  7.6740935; 4.2959292; 6.8052822;N  8.2994657; 6.8591124; 6.847104 
7.547384099999999,0.8460924000000003,5.9445312,T3,Si,34;35;60,6.69107380e+00;2.97772869e-16;4.86300000e+00;N 6.63998130e+00;1.88004720e+00;6.77513160e+00;N 8.62645770e+00;1.65660480e+00;5.06141040e+00
17.8925935,2.8200708,1.9422822,O5,O,18;19;,
