x,y,z,Site,Atom,Bonded Atoms,Bond Ends
3.227376344600001,2.4753718152000004,3.895652053,Si1,Si,14;15;16;17,2.50372285;3.90974424;3.99695682;N 3.9497983 ;2.37729507;2.46020418;N 4.3313297 ;2.3056031 ;5.05442082;N 2.12982701;1.31017742;4.05995414
4.9547357512,1.551105078,1.5130809297,Si2,Si,15;18;19;237,3.94979830e+00;2.37729507e+00;2.46020418e+00;N 4.84734538e+00;2.09345883e+00;0.00000000e+00;N 4.52739102e+00;9.45665330e-17;1.54438869e+00;N 6.47100903e+00;1.70834769e+00;2.03029524e+00
1.5125786562000003,4.8867805344,4.8052314461000005,Si3,Si,14;26;28;29,2.50372285e+00;3.90974424e+00;3.99695682e+00;N 1.98647563e+00;6.41363294e+00;4.61509410e+00;N 5.50871554e-16;4.72074300e+00;4.27567221e+00;N 1.56676646e+00;4.48967631e+00;6.36336500e+00
1.512086039800001,7.940218829699999,4.8038315058,Si4,Si,22;25;26;27,2.49855038e+00;8.92951471e+00;4.00281112e+00;N 1.55937721e+00;8.33359187e+00;6.36336500e+00;N 1.98647563e+00;6.41363294e+00;4.61509410e+00;N 7.57810120e-16;8.10412426e+00;4.27185419e+00
2.734513636400001,10.519264163,3.8904340937,Si5,Si,13;22;23;24, 3.35890492;10.86413186; 2.44747745;N  2.49855038; 8.92951471; 4.00281112;N  3.72738199;11.02670472; 5.0498392 ;N  1.31208378;11.2535072 ; 4.05664519
4.319014287000001,11.785200438,1.5413342703,Si6,Si,10;11;12;13, 5.84440097;11.61729731; 2.03029524;N  3.87467429;13.325645  ; 1.68769167;N  4.19758434;11.3361262 ; 0.        ;N  3.35890492;10.86413186; 2.44747745
4.8532567728,1.5263193783000004,6.363365,Si7,Si,16;32;154;256,4.33132970e+00;2.30560310e+00;5.05442082e+00;N 4.33871894e+00;3.89643729e-16;6.36336500e+00;N 4.33132970e+00;2.30560310e+00;7.67230918e+00;N 6.46189563e+00;1.53831246e+00;6.36336500e+00
4.244875518800001,11.7993256217,6.363365,Si8,Si,23;30;31;157, 3.72738199;11.02670472; 5.0498392 ;N  5.85351437;11.78733254; 6.363365  ;N  3.73033769;13.325645  ; 6.363365  ;N  3.72738199;11.02670472; 7.6768908 
1.6066683886000002,2.9614481975329744e-16,4.8364119346,Si9,Si,17;20;21,2.12982701e+00;1.31017742e+00;4.05995414e+00;N 2.95053817e-16;2.95053817e-16;4.81859451e+00;N 2.11923575e+00;3.89643729e-16;6.36336500e+00
1.0153980722323705e-15,11.7209708291,4.8617381273,Si10,Si,24;33;34,1.31208378e+00;1.12535072e+01;4.05664519e+00;N 1.07147658e-15;1.11351755e+01;6.36336500e+00;N 1.11877595e-15;1.33256450e+01;4.94535274e+00
5.8444009696000006,11.617297311,2.0302952369,O1,O,5;228;,
3.874674294200001,13.325645,1.6876916653,O2,O,5;181;,
4.197584344400001,11.3361262015,0.0,O3,O,5;,
3.3589049234000004,10.8641318556,2.4474774463,O4,O,4;5;,
2.503722853000001,3.909744243000001,3.9969568238,O5,O,0;2;,
3.9497982952,2.377295068,2.4602041763,O6,O,0;1;,
4.331329697,2.3056030979000006,5.0544208195,O7,O,0;6;,
2.1298270054000006,1.3101774164000002,4.0599541373,O8,O,0;8;,
4.847345376,2.0934588295,0.0,O9,O,1;,
4.5273910242,9.456653301684818e-17,1.5443886855,O10,O,1;,
2.9505381731222954e-16,2.9505381731222954e-16,4.8185945126,O11,O,8;,
2.1192357528000008,3.8964372895281493e-16,6.363365,O12,O,8;76;,
2.498550380800001,8.9295147145,4.0028111196000005,O13,O,3;4;,
3.727381990600001,11.0267047246,5.0498391967,O14,O,4;7;,
1.3120837814000008,11.2535072025,4.0566451875,O15,O,4;9;,
1.559377214200001,8.333591870100001,6.363365,O16,O,3;147;,
1.9864756330000009,6.4136329385,4.6150940999,O17,O,2;3;,
7.578101200616178e-16,8.104124263200001,4.2718541918,O18,O,3;,
5.508715544445047e-16,4.7207429977,4.2756722108,O19,O,2;,
1.5667664602000009,4.4896763134,6.363365,O20,O,2;146;,
5.853514373000001,11.7873325412,6.363365,O21,O,7;233;,
3.7303376890000015,13.325645,6.363365,O22,O,7;75;,
4.338718943,3.8964372895281493e-16,6.363365,O23,O,6;,
1.0714765791168346e-15,11.1351754749,6.363365,O24,O,9;108;,
1.1187759451841662e-15,13.325645,4.9453527434,O25,O,9;44;,
21.4034436554,24.1759181848,3.895652053,Si1,Si,49;50;51;52,22.12709715;22.74154576; 3.99695682;N 20.6810217 ;24.27399493; 2.46020418;N 20.2994903 ;24.3456869 ; 5.05442082;N 22.50099299;25.34111258; 4.05995414
19.6760842488,25.100184922,1.5130809297,Si2,Si,50;53;202;838,20.6810217 ;24.27399493; 2.46020418;N 19.78347462;24.55783117; 0.        ;N 18.15981097;24.94294231; 2.03029524;N 20.10342898;26.65129   ; 1.54438869
23.1182413438,21.7645094656,4.8052314461000005,Si3,Si,49;60;63;454,22.12709715;22.74154576; 3.99695682;N 22.64434437;20.23765706; 4.6150941 ;N 23.06405354;22.16161369; 6.363365  ;N 24.63082   ;21.930547  ; 4.27567221
