x,y,z,Site,Atom,Bonded Atoms,Bond Ends
-1.5341357879999988,4.822177034589017,3.7845394574,Si1,Si,3;4;5;6, 1.26752551e-15; 5.31032680e+00; 3.77818448e+00;N -1.81577311e+00; 3.93949992e+00; 5.10092732e+00;N -2.51702323e+00; 6.09394755e+00; 3.78635516e+00;N -1.82583858e+00; 3.93519804e+00; 2.47329610e+00
11.538633174750002,2.653012461395287,6.0257276248,Si2,Si,8;9;220;223,11.26104819; 3.03237004; 7.5654475 ;N 10.56535369; 1.44724179; 5.58783952;N 11.25627689; 3.93949992; 5.10092732;N 13.07205   ; 2.19350414; 5.85384066
-1.5280572847499994,2.6575407523471024,1.5409303468,Si3,Si,6;10;11,-1.82583858e+00; 3.93519804e+00; 2.47329610e+00;N  6.69439193e-16; 2.19146641e+00; 1.74307910e+00;N -1.76544571e+00; 3.05784167e+00; 0.00000000e+00
1.2675255134235405e-15,5.310326799194797,3.7781844815,O1,O,0;53;,
-1.815773105249999,3.939499920806255,5.1009273224,O2,O,0;,
-2.5170232274999984,6.093947548406582,3.7863551648,O3,O,0;46;,
-1.8258385837499989,3.935198044402029,2.4732960967,O4,O,0;2;,
9.78361797253478e-16,2.193504137059743,5.8538406576,O5,O,54;,
11.261048193000002,3.0323700358836847,7.5654475,O6,O,1;169;,
10.565353692000002,1.447241788200442,5.5878395235000005,O7,O,1;40;,
6.694391930931633e-16,2.191466406131425,1.743079104,O8,O,2;55;,
-1.7654457127499994,3.0578416724876503,0.0,O9,O,2;,
10.555157493,1.4531285664378024,1.9446226254,O10,O,218;,
3.126965080500003,7.581038296983005,3.7845394574,Si1,Si,16;17;18;19,1.93714709;8.66556398;3.77818448;N 4.03220454;7.77847178;5.10092732;N 2.51702323;6.09394755;3.78635516;N 4.04096282;7.77190576;2.4732961 
5.005157224500002,8.666243223585745,6.0257276248,Si2,Si,17;20;21;22, 4.03220454; 7.77847178; 5.10092732;N  4.63639469;10.22397531; 5.85384066;N  4.81541642; 8.23616879; 7.5654475 ;N  6.536025  ; 8.4262438 ; 5.58783952
4.9985558392500025,8.66862057633545,1.5409303468,Si3,Si,19;23;24;25, 4.04096282; 7.77190576; 2.4732961 ;N  4.63815942;10.22499418; 1.7430791 ;N  4.77057929; 8.26288571; 0.        ;N  6.536025  ; 8.41447025; 1.94462263
1.9371470895000027,8.665563979942974,3.7781844815,O1,O,13;39;,
4.032204543000001,7.778471782482191,5.1009273224,O2,O,13;14;,
2.5170232275000024,6.093947548406582,3.7863551648,O3,O,13;53;,
4.040962816500002,7.771905760602056,2.4732960967,O4,O,13;15;,
4.636394694000004,10.223975311010502,5.8538406576,O5,O,14;472;,
4.815416418750003,8.236168790437008,7.5654475,O6,O,14;180;,
6.536025000000003,8.42624380313949,5.5878395235000005,O7,O,14;47;,
4.638159420750004,10.22499417647466,1.743079104,O8,O,15;41;,
4.770579287250001,8.262885707052721,0.0,O9,O,15;,
6.536025000000002,8.414470246664767,1.9446226254,O10,O,15;264;,
-1.5928292924999965,10.238239427508722,3.7845394574,Si1,Si,29;30;31;32,-1.93714709e+00; 8.66556398e+00; 3.77818448e+00;N -2.21643144e+00; 1.09234831e+01; 5.10092732e+00;N  3.01171940e-15; 1.04535597e+01; 3.78635516e+00;N -2.21512423e+00; 1.09343510e+01; 2.47329610e+00
