x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.984540138018286e-16,1.984540138018286e-16,3.241,O1,O,5;,
2.1714,1.3286000000000002,2.4748276,O2,O,5;6;,
2.1700000000000004,2.924418347383746e-16,4.7759376,O3,O,5;7;,
3.5,3.5,1.708007,O4,O,6;14;,
3.5,1.3293,0.1737176,O5,O,6;,
1.6254000000000002,1.9849370460458894e-16,3.2416482,T1,Si,0;1;2,1.98454014e-16;1.98454014e-16;3.24100000e+00;N 2.17140000e+00;1.32860000e+00;2.47482760e+00;N 2.17000000e+00;2.92441835e-16;4.77593760e+00
3.5,1.8753,1.7073588000000002,T2,Si,1;3;4;9,2.1714   ;1.3286   ;2.4748276;N 3.5      ;3.5      ;1.708007 ;N 3.5      ;1.3293   ;0.1737176;N 4.8286   ;1.3286   ;2.4748276
3.5000000000000004,3.499934987409049e-16,5.715827600000001,T3,Si,2;10;124,2.17000000e+00;2.92441835e-16;4.77593760e+00;N 4.83000000e+00;2.92441835e-16;4.77593760e+00;N 3.50000000e+00;1.32930000e+00;6.65571760e+00
7.0,1.984540138018286e-16,3.241,O1,O,11;25;,
4.8286,1.3286000000000002,2.4748276,O2,O,6;11;,
4.83,2.924418347383746e-16,4.7759376,O3,O,7;11;,
5.3746,1.9849370460458894e-16,3.2416482,T1,Si,8;9;10,7.00000000e+00;1.98454014e-16;3.24100000e+00;N 4.82860000e+00;1.32860000e+00;2.47482760e+00;N 4.83000000e+00;2.92441835e-16;4.77593760e+00
2.1714,5.6714,2.4748276,O2,O,14;65;,
3.5000000000000004,5.6707,0.1737176,O5,O,14;,
3.5000000000000004,5.1247,1.7073588000000002,T2,Si,3;12;13;15,3.5      ;3.5      ;1.708007 ;N 2.1714   ;5.6714   ;2.4748276;N 3.5      ;5.6707   ;0.1737176;N 4.8286   ;5.6714   ;2.4748276
4.8286,5.6714,2.4748276,O2,O,14;71;,
11.8286,5.6714,4.007172400000001,O2,O,21;80;,
11.83,1.0446619286528255e-16,1.7060624,O3,O,20;22;,
10.5,3.5000000000000004,4.773993,O4,O,21;28;,
10.5,5.6707,6.3082824,O5,O,21;202;,
12.3746,1.9841432299906823e-16,3.2403518,T1,Si,17;26;30,1.18300000e+01;1.04466193e-16;1.70606240e+00;N 1.18286000e+01;1.32860000e+00;4.00717240e+00;N 1.40000000e+01;1.98454014e-16;3.24100000e+00
10.5,5.1247,4.7746412,T2,Si,16;18;19;23,11.8286   ; 5.6714   ; 4.0071724;N 10.5      ; 3.5      ; 4.773993 ;N 10.5      ; 5.6707   ; 6.3082824;N  9.1714   ; 5.6714   ; 4.0071724
10.5,4.691452886275227e-17,0.7661723999999999,T3,Si,17;24,1.18300000e+01;1.04466193e-16;1.70606240e+00;N 9.17000000e+00;1.04466193e-16;1.70606240e+00
9.1714,5.6714,4.007172400000001,O2,O,21;85;,
9.17,1.0446619286528255e-16,1.7060624,O3,O,22;25;,
8.625399999999999,1.9841432299906823e-16,3.2403518,T1,Si,8;24;29,7.00000000e+00;1.98454014e-16;3.24100000e+00;N 9.17000000e+00;1.04466193e-16;1.70606240e+00;N 9.17140000e+00;1.32860000e+00;4.00717240e+00
11.8286,1.3286000000000002,4.007172400000001,O2,O,20;28;,
