x,y,z,Site,Atom,Bonded Atoms,Bond Ends
3.5732375000000003,1.448349111077843e-16,2.3653336000000005,O1,O,8;10;,
2.4722875,0.0,0.0,O2,O,8;,
1.31435,1.31435,1.9529752,O3,O,8;30;,
4.512925,1.5495750000000004,7.159000000000001,O4,O,9;193;,
4.1576625,1.3095,4.544533200000001,O5,O,9;10;,
6.0625,2.8360375,5.4866576,O6,O,9;88;,
3.572025,3.572025,5.7672904,O7,O,9;95;,
6.0625,1.995425288627827e-16,3.2587768,O8,O,10;53;,
2.16795,9.679040064345876e-17,1.5807072000000002,T1,Si,0;1;2,3.57323750e+00;1.44834911e-16;2.36533360e+00;N 2.47228750e+00;0.00000000e+00;0.00000000e+00;N 1.31435000e+00;1.31435000e+00;1.95297520e+00
4.561425,2.3073875000000004,5.741518000000001,T2,Si,3;4;5;6,4.512925 ;1.549575 ;7.159    ;N 4.1576625;1.3095   ;4.5445332;N 6.0625   ;2.8360375;5.4866576;N 3.572025 ;3.572025 ;5.7672904
4.508075,2.2514288845326274e-16,3.6768624,T3,Si,0;4;7,3.57323750e+00;1.44834911e-16;2.36533360e+00;N 4.15766250e+00;1.30950000e+00;4.54453320e+00;N 6.06250000e+00;1.99542529e-16;3.25877680e+00
9.6357375,6.062500000000001,16.6833336,O1,O,19;21;,
8.5347875,6.062500000000001,14.318,O2,O,19;164;,
7.376850000000003,7.376850000000002,16.270975200000002,O3,O,19;41;,
10.575425,7.612075000000001,21.477000000000004,O4,O,20;190;,
10.2201625,7.372000000000001,18.862533200000005,O5,O,20;21;,
12.125000000000002,8.898537500000002,19.8046576,O6,O,20;293;,
9.634525000000002,9.634525000000002,20.0852904,O7,O,20;99;,
12.125000000000002,6.062500000000001,17.5767768,O8,O,21;266;,
8.230450000000001,6.062500000000001,15.898707200000002,T1,Si,11;12;13;77, 9.6357375; 6.0625   ;16.6833336;N  8.5347875; 6.0625   ;14.318    ;N  7.37685  ; 7.37685  ;16.2709752;N  7.37685  ; 4.74815  ;16.2709752
10.623925000000002,8.369887500000003,20.059518,T2,Si,14;15;16;17,10.575425 ; 7.612075 ;21.477    ;N 10.2201625; 7.372    ;18.8625332;N 12.125    ; 8.8985375;19.8046576;N  9.634525 ; 9.634525 ;20.0852904
10.570575000000002,6.062500000000001,17.9948624,T3,Si,11;15;18;104, 9.6357375; 6.0625   ;16.6833336;N 10.2201625; 7.372    ;18.8625332;N 12.125    ; 6.0625   ;17.5767768;N 10.2201625; 4.753    ;18.8625332
