x,y,z,Site,Atom,Bonded Atoms,Bond Ends
1.1957327000000004,7.359747700000001,0.936496,O1,O,7;,
8.0813254,5.542440900000001,1.6416224,O2,O,5;30;,
0.4370847000000007,7.1769825,3.4595264,O3,O,,
3.095801100000001,7.383886500000002,7.8169872,O4,O,8;119;,
8.0839117,5.5484756,5.2774304,O5,O,6;15;,
8.5856539,7.043357,1.9253256,T1,Si,1;10;120;122,8.0813254;5.5424409;1.6416224;N 7.3890591;8.0813254;1.6416224;N 9.8167327;7.3597477;0.936496 ;N 9.0580847;7.1769825;3.4595264
7.051978,4.3458461,4.9909728,T2,Si,4;27;29;116,8.0839117;5.5484756;5.2774304;N 7.1769825;3.8734153;3.4595264;N 5.5484756;4.8475883;5.2774304;N 7.3838865;3.0958011;5.9550128
2.155250000000001,6.46575,0.0,T3,Si,0;18,1.1957327;7.3597477;0.936496 ;N 3.1147673;5.5717523;0.936496 
2.155250000000001,6.46575,6.886,T4,Si,3;21;95;109,3.0958011;7.3838865;7.8169872;N 1.2146989;5.5476135;7.8169872;N 3.0958011;5.5476135;5.9550128;N 1.2146989;7.3838865;5.9550128
5.5717523,1.1957327,0.936496,O1,O,16;,
7.389059100000001,8.0813254,1.6416224,O2,O,5;14;,
5.7545175,0.4370847000000002,3.4595264,O3,O,,
5.547613500000001,3.0958011000000005,7.8169872,O4,O,17;112;,
7.383024400000002,8.0839117,5.2774304,O5,O,15;24;,
5.888143000000001,8.5856539,1.9253256,T1,Si,10;19;249;251,7.3890591;8.0813254;1.6416224;N 4.8501746;7.3890591;1.6416224;N 5.5717523;9.8167327;0.936496 ;N 5.7545175;9.0580847;3.4595264
8.5856539,7.051978,4.9909728,T2,Si,4;13;122;229,8.0839117;5.5484756;5.2774304;N 7.3830244;8.0839117;5.2774304;N 9.0580847;7.1769825;3.4595264;N 9.8356989;7.3838865;5.9550128
6.46575,2.15525,0.0,T3,Si,9;25,5.5717523;1.1957327;0.936496 ;N 7.3597477;3.1147673;0.936496 
6.46575,2.155250000000001,6.886,T4,Si,12;28;102;116,5.5476135;3.0958011;7.8169872;N 7.3838865;1.2146989;7.8169872;N 5.5476135;1.2146989;5.9550128;N 7.3838865;3.0958011;5.9550128
3.114767300000001,5.5717523,0.936496,O1,O,7;23;,
4.850174600000001,7.3890591,1.6416224,O2,O,14;23;,
3.8734153,5.7545175,3.4595264,O3,O,23;31;,
1.2146989000000012,5.547613500000001,7.8169872,O4,O,8;,
4.847588300000002,7.383024400000001,5.2774304,O5,O,24;31;,
4.3458461,5.888143,1.9253256,T1,Si,18;19;20;26,3.1147673;5.5717523;0.936496 ;N 4.8501746;7.3890591;1.6416224;N 3.8734153;5.7545175;3.4595264;N 5.5424409;4.8501746;1.6416224
5.8795220000000015,8.5856539,4.9909728,T2,Si,13;22;251;342,7.3830244;8.0839117;5.2774304;N 4.8475883;7.3830244;5.2774304;N 5.7545175;9.0580847;3.4595264;N 5.5476135;9.8356989;5.9550128
7.359747700000001,3.1147673000000005,0.936496,O1,O,16;30;,
5.542440900000001,4.8501746,1.6416224,O2,O,23;30;,
7.1769825,3.8734153,3.4595264,O3,O,6;30;,
7.383886500000002,1.2146989000000008,7.8169872,O4,O,17;,
5.5484756,4.847588300000001,5.2774304,O5,O,6;31;,
7.043357,4.3458461,1.9253256,T1,Si,1;25;26;27,8.0813254;5.5424409;1.6416224;N 7.3597477;3.1147673;0.936496 ;N 5.5424409;4.8501746;1.6416224;N 7.1769825;3.8734153;3.4595264
4.3458461,5.879522000000001,4.9909728,T2,Si,20;22;29;95,3.8734153;5.7545175;3.4595264;N 4.8475883;7.3830244;5.2774304;N 5.5484756;4.8475883;5.2774304;N 3.0958011;5.5476135;5.9550128
7.425267300000001,3.0492477,14.708496,O1,O,39;157;,
0.539674600000001,1.2319409000000012,15.4136224,O2,O,37;62;,
8.183915300000002,2.8664825000000014,17.2315264,O3,O,157;167;,
5.525198900000001,3.073386500000002,21.5889872,O4,O,40;91;,
0.5370883000000015,1.2379756000000008,19.0494304,O5,O,38;47;,
0.035346100000001,2.7328570000000005,15.6973256,T1,Si,33;42, 0.5396746; 1.2319409;15.4136224;N  1.2319409; 3.7708254;15.4136224
1.5690220000000017,0.035346100000001,18.7629728,T2,Si,36;61, 0.5370883; 1.2379756;19.0494304;N  3.0725244; 0.5370883;19.0494304
6.465750000000001,2.155250000000001,13.772,T3,Si,32;50;99;113, 7.4252673; 3.0492477;14.708496 ;N  5.5062327; 1.2612523;14.708496 ;N  5.5717523; 3.1147673;12.835504 ;N  7.3597477; 1.1957327;12.835504 
6.465750000000001,2.155250000000001,20.658,T4,Si,35;53;67;81, 5.5251989; 3.0733865;21.5889872;N  7.4063011; 1.2371135;21.5889872;N  5.5251989; 1.2371135;19.7270128;N  7.4063011; 3.0733865;19.7270128
3.0492477000000004,5.506232700000002,14.708496,O1,O,46;48;,
1.2319409000000014,3.770825400000001,15.4136224,O2,O,37;46;,
2.866482500000002,4.747584700000001,17.2315264,O3,O,46;56;,
3.0733865000000025,7.406301100000001,21.5889872,O4,O,49;324;,
1.237975600000001,3.773411700000002,19.0494304,O5,O,47;56;,
2.732857000000001,4.275153900000001,15.6973256,T1,Si,41;42;43;51, 3.0492477; 5.5062327;14.708496 ;N  1.2319409; 3.7708254;15.4136224;N  2.8664825; 4.7475847;17.2315264;N  3.7708254; 3.0785591;15.4136224
0.0353461000000012,2.741478000000002,18.7629728,T2,Si,36;45, 0.5370883; 1.2379756;19.0494304;N  1.2379756; 3.7734117;19.0494304
2.155250000000001,6.465750000000001,13.772,T3,Si,41;57;92;106, 3.0492477; 5.5062327;14.708496 ;N  1.2612523; 7.4252673;14.708496 ;N  1.1957327; 5.5717523;12.835504 ;N  3.1147673; 7.3597477;12.835504 
2.155250000000002,6.465750000000001,20.658,T4,Si,44;60;74;88, 3.0733865; 7.4063011;21.5889872;N  1.2371135; 5.5251989;21.5889872;N  3.0733865; 5.5251989;19.7270128;N  1.2371135; 7.4063011;19.7270128
5.506232700000002,1.2612523000000009,14.708496,O1,O,39;55;,
3.770825400000001,3.078559100000001,15.4136224,O2,O,46;55;,
4.747584700000001,1.444017500000001,17.2315264,O3,O,55;63;,
7.406301100000001,1.237113500000001,21.5889872,O4,O,40;197;,
3.773411700000002,3.072524400000002,19.0494304,O5,O,56;63;,
4.275153900000001,1.5776430000000017,15.6973256,T1,Si,50;51;52;58, 5.5062327; 1.2612523;14.708496 ;N  3.7708254; 3.0785591;15.4136224;N  4.7475847; 1.4440175;17.2315264;N  3.0785591; 0.5396746;15.4136224
2.7414780000000025,4.275153900000001,18.7629728,T2,Si,43;45;54;74, 2.8664825; 4.7475847;17.2315264;N  1.2379756; 3.7734117;19.0494304;N  3.7734117; 3.0725244;19.0494304;N  3.0733865; 5.5251989;19.7270128
1.261252300000001,7.425267300000001,14.708496,O1,O,48;302;,
3.078559100000001,0.5396746000000009,15.4136224,O2,O,55;62;,
1.4440175000000015,8.183915300000002,17.2315264,O3,O,278;302;,
1.2371135000000015,5.525198900000001,21.5889872,O4,O,49;70;,
3.072524400000002,0.5370883000000014,19.0494304,O5,O,38;63;,
1.5776430000000017,0.0353461000000009,15.6973256,T1,Si,33;58, 0.5396746; 1.2319409;15.4136224;N  3.0785591; 0.5396746;15.4136224
4.275153900000001,1.5690220000000017,18.7629728,T2,Si,52;54;61;67, 4.7475847; 1.4440175;17.2315264;N  3.7734117; 3.0725244;19.0494304;N  3.0725244; 0.5370883;19.0494304;N  5.5251989; 1.2371135;19.7270128
7.425267300000002,1.2612523000000015,26.607504,O1,O,189;496;,
0.5396746000000017,3.078559100000002,25.9023776,O2,O,69;90;,
8.183915300000002,1.4440175000000015,24.084473600000003,O3,O,189;197;,
5.525198900000001,1.2371135000000009,19.7270128,O4,O,40;63;,
0.5370883000000017,3.072524400000002,22.2665696,O5,O,70;77;,
0.0353461000000016,1.577643000000002,25.6186744,T1,Si,65;72, 0.5396746; 3.0785591;25.9023776;N  1.2319409; 0.5396746;25.9023776
1.569022000000002,4.275153900000002,22.5530272,T2,Si,60;68;87;89, 1.2371135; 5.5251989;21.5889872;N  0.5370883; 3.0725244;22.2665696;N  1.4440175; 4.7475847;24.0844736;N  3.0725244; 3.7734117;22.2665696
3.0492477000000013,7.425267300000002,26.607504,O1,O,316;487;,
1.231940900000002,0.5396746000000014,25.9023776,O2,O,69;76;,
2.8664825000000023,8.183915300000002,24.084473600000003,O3,O,316;324;,
3.0733865000000025,5.525198900000001,19.7270128,O4,O,49;56;,
1.237975600000001,0.5370883000000015,22.2665696,O5,O,77;84;,
2.732857000000001,0.0353461000000015,25.6186744,T1,Si,72;79, 1.2319409; 0.5396746;25.9023776;N  3.7708254; 1.2319409;25.9023776
0.0353461000000014,1.569022000000002,22.5530272,T2,Si,68;75, 0.5370883; 3.0725244;22.2665696;N  1.2379756; 0.5370883;22.2665696
5.506232700000003,3.049247700000001,26.607504,O1,O,83;496;,
3.770825400000002,1.231940900000002,25.9023776,O2,O,76;83;,
4.747584700000002,2.866482500000002,24.084473600000003,O3,O,83;91;,
7.406301100000001,3.073386500000002,19.7270128,O4,O,40;167;,
3.773411700000002,1.237975600000001,22.2665696,O5,O,84;91;,
4.275153900000002,2.732857000000001,25.6186744,T1,Si,78;79;80;86, 5.5062327; 3.0492477;26.607504 ;N  3.7708254; 1.2319409;25.9023776;N  4.7475847; 2.8664825;24.0844736;N  3.0785591; 3.7708254;25.9023776
2.741478000000002,0.0353461000000013,22.5530272,T2,Si,75;82, 1.2379756; 0.5370883;22.2665696;N  3.7734117; 1.2379756;22.2665696
1.261252300000002,5.506232700000003,26.607504,O1,O,90;487;,
3.0785591000000023,3.770825400000002,25.9023776,O2,O,83;90;,
1.4440175000000015,4.747584700000002,24.084473600000003,O3,O,70;90;,
1.2371135000000013,7.406301100000001,19.7270128,O4,O,49;278;,
3.0725244000000025,3.773411700000002,22.2665696,O5,O,70;91;,
1.5776430000000023,4.275153900000002,25.6186744,T1,Si,65;85;86;87, 0.5396746; 3.0785591;25.9023776;N  1.2612523; 5.5062327;26.607504 ;N  3.0785591; 3.7708254;25.9023776;N  1.4440175; 4.7475847;24.0844736
4.275153900000002,2.741478000000002,22.5530272,T2,Si,35;80;82;89, 5.5251989; 3.0733865;21.5889872;N  4.7475847; 2.8664825;24.0844736;N  3.7734117; 1.2379756;22.2665696;N  3.0725244; 3.7734117;22.2665696
1.195732700000001,5.571752300000001,12.835504,O1,O,48;,
8.0813254,7.389059100000001,12.1303776,O2,O,97;118;,
0.437084700000001,5.754517500000001,10.3124736,O3,O,,
3.095801100000001,5.5476135,5.9550128,O4,O,8;31;,
8.0839117,7.383024400000002,8.4945696,O5,O,98;105;,
8.5856539,5.888143000000001,11.8466744,T1,Si,93;100;212;214, 8.0813254; 7.3890591;12.1303776;N  7.3890591; 4.8501746;12.1303776;N  9.8167327; 5.5717523;12.835504 ;N  9.0580847; 5.7545175;10.3124736
7.051978000000002,8.5856539,8.781027199999999,T2,Si,96;117;268;355, 8.0839117; 7.3830244; 8.4945696;N  5.5484756; 8.0839117; 8.4945696;N  7.3838865; 9.8356989; 7.8169872;N  7.1769825; 9.0580847;10.3124736
5.571752300000001,3.1147673000000013,12.835504,O1,O,39;104;,
7.389059100000001,4.850174600000001,12.1303776,O2,O,97;104;,
5.754517500000001,3.8734153,10.3124736,O3,O,104;112;,
5.5476135,1.2146989000000008,5.9550128,O4,O,17;,
7.383024400000002,4.847588300000002,8.4945696,O5,O,105;112;,
5.888143000000001,4.345846100000001,11.8466744,T1,Si,99;100;101;107, 5.5717523; 3.1147673;12.835504 ;N  7.3890591; 4.8501746;12.1303776;N  5.7545175; 3.8734153;10.3124736;N  4.8501746; 5.5424409;12.1303776
8.5856539,5.8795220000000015,8.781027199999999,T2,Si,96;103;141;214, 8.0839117; 7.3830244; 8.4945696;N  7.3830244; 4.8475883; 8.4945696;N  9.8356989; 5.5476135; 7.8169872;N  9.0580847; 5.7545175;10.3124736
3.114767300000002,7.359747700000002,12.835504,O1,O,48;111;,
4.850174600000001,5.542440900000002,12.1303776,O2,O,104;111;,
3.873415300000001,7.176982500000001,10.3124736,O3,O,111;119;,
1.2146989000000012,7.383886500000001,5.9550128,O4,O,8;,
4.847588300000002,5.548475600000001,8.4945696,O5,O,112;119;,
4.345846100000001,7.043357000000001,11.8466744,T1,Si,106;107;108;114, 3.1147673; 7.3597477;12.835504 ;N  4.8501746; 5.5424409;12.1303776;N  3.8734153; 7.1769825;10.3124736;N  5.5424409; 8.0813254;12.1303776
5.8795220000000015,4.345846100000001,8.781027199999999,T2,Si,12;101;103;110, 5.5476135; 3.0958011; 7.8169872;N  5.7545175; 3.8734153;10.3124736;N  7.3830244; 4.8475883; 8.4945696;N  4.8475883; 5.5484756; 8.4945696
7.359747700000002,1.1957327000000009,12.835504,O1,O,39;,
5.542440900000003,8.0813254,12.1303776,O2,O,111;118;,
7.176982500000001,0.4370847000000006,10.3124736,O3,O,,
