x,y,z,Site,Atom,Bonded Atoms,Bond Ends
2.2641584000000003,5.833864285465796e-16,9.5274234,O1,O,5;7;,
1.312410400000001,5.8378648,7.4562444,O2,O,67;235;,
3.5780000000000003,4.447777074909365e-16,7.2637712,O3,O,5;26;,
2.0189218519749879e-16,2.0189218519749879e-16,3.2971496,O4,O,6;,
4.2980510224575296e-16,1.789,5.23025,O5,O,6;72;,
2.1052952000000005,4.852586278731759e-16,7.9248748,T1,Si,0;2;110,2.26415840e+00;5.83386429e-16;9.52742340e+00;N 3.57800000e+00;4.44777707e-16;7.26377120e+00;N 1.31241040e+00;1.31813520e+00;7.45624440e+00
3.1895672381905393e-16,1.5728888,3.6360698,T2,Si,3;4;104,2.01892185e-16;2.01892185e-16;3.29714960e+00;N 4.29805102e-16;1.78900000e+00;5.23025000e+00;N 1.31241040e+00;2.25986480e+00;3.00425560e+00
3.5780000000000003,6.405208921240444e-16,10.4605,T3,Si,0;23;96,2.26415840e+00;5.83386429e-16;9.52742340e+00;N 4.89184160e+00;5.83386429e-16;9.52742340e+00;N 3.57800000e+00;1.31384160e+00;1.13935766e+01
5.8421584000000015,3.5780000000000016,30.4484234,O1,O,13;15;,
4.890410400000001,2.259864800000001,28.3772444,O2,O,13;61;,
7.1560000000000015,3.5780000000000016,28.1847712,O3,O,13;136;,
3.578000000000001,3.578000000000001,24.2181496,O4,O,14;21;,
3.578000000000002,5.367000000000002,26.15125,O5,O,14;77;,
5.683295200000002,3.5780000000000016,28.8458748,T1,Si,8;9;10;109, 5.8421584; 3.578    ;30.4484234;N  4.8904104; 2.2598648;28.3772444;N  7.156    ; 3.578    ;28.1847712;N  4.8904104; 4.8961352;28.3772444
3.5780000000000016,5.1508888000000015,24.5570698,T2,Si,11;12;57;103, 3.578    ; 3.578    ;24.2181496;N  3.578    ; 5.367    ;26.15125  ;N  2.2655896; 5.8378648;23.9252556;N  4.8904104; 5.8378648;23.9252556
7.1560000000000015,3.5780000000000016,31.3815,T3,Si,8;133;199;205, 5.8421584; 3.578    ;30.4484234;N  8.4698416; 3.578    ;30.4484234;N  7.156    ; 2.2641584;32.3145766;N  7.156    ; 4.8918416;32.3145766
1.313841600000002,3.5780000000000016,30.4484234,O1,O,20;22;,
2.265589600000002,4.896135200000002,28.3772444,O2,O,20;77;,
1.9449088041064865e-15,3.5780000000000016,28.1847712,O3,O,20;,
3.5780000000000016,1.7890000000000017,26.15125,O5,O,21;61;,
1.4727048000000018,3.5780000000000016,28.8458748,T1,Si,16;17;18;112,1.31384160e+00;3.57800000e+00;3.04484234e+01;N 2.26558960e+00;4.89613520e+00;2.83772444e+01;N 1.94490880e-15;3.57800000e+00;2.81847712e+01;N 2.26558960e+00;2.25986480e+00;2.83772444e+01
3.578000000000001,2.0051112000000013,24.5570698,T2,Si,11;19;74;102, 3.578    ; 3.578    ;24.2181496;N  3.578    ; 1.789    ;26.15125  ;N  4.8904104; 1.3181352;23.9252556;N  2.2655896; 1.3181352;23.9252556
2.1406519887395946e-15,3.5780000000000016,31.3815,T3,Si,16;86;92,1.31384160e+00;3.57800000e+00;3.04484234e+01;N 2.11733686e-15;2.26415840e+00;3.23145766e+01;N 2.27823605e-15;4.89184160e+00;3.23145766e+01
4.8918416,5.833864285465796e-16,9.5274234,O1,O,7;26;,
5.8435896000000005,1.3181352000000006,7.4562444,O2,O,26;185;,
6.488944146132145e-16,5.367,5.23025,O5,O,27;67;,
5.050704800000001,4.852586278731759e-16,7.9248748,T1,Si,2;23;24,3.57800000e+00;4.44777707e-16;7.26377120e+00;N 4.89184160e+00;5.83386429e-16;9.52742340e+00;N 5.84358960e+00;1.31813520e+00;7.45624440e+00
5.645120251205047e-16,5.583111199999999,3.6360698,T2,Si,25;70;233,6.48894415e-16;5.36700000e+00;5.23025000e+00;N 1.31241040e+00;4.89613520e+00;3.00425560e+00;N 6.40070810e-16;7.15600000e+00;3.29714960e+00
1.5816363499042152e-15,5.842158400000001,19.9879234,O1,O,33;35;,
1.3181352000000015,4.8904104,17.9167444,O2,O,33;100;,
1.5234772243499038e-15,7.156000000000001,17.724271199999997,O3,O,33;281;,
1.0615023896890046e-15,3.5780000000000007,13.7576496,O4,O,54;,
5.367000000000001,3.5780000000000007,15.69075,O5,O,34;84;,
1.4737809837616965e-15,5.683295200000001,18.3853748,T1,Si,28;29;30,1.58163635e-15;5.84215840e+00;1.99879234e+01;N 1.31813520e+00;4.89041040e+00;1.79167444e+01;N 1.52347722e-15;7.15600000e+00;1.77242712e+01
5.5831112,3.5780000000000007,14.0965698,T2,Si,32;97;107;146, 5.367    ; 3.578    ;15.69075  ;N  4.8961352; 2.2655896;13.4647556;N  4.8961352; 4.8904104;13.4647556;N  7.156    ; 3.578    ;13.7576496
1.7192204089830118e-15,7.156000000000001,20.921,T3,Si,28;278;283,1.58163635e-15;5.84215840e+00;1.99879234e+01;N 1.74253554e-15;8.46984160e+00;1.99879234e+01;N 1.31384160e+00;7.15600000e+00;2.18540766e+01
3.5780000000000025,2.2641584000000026,40.9089234,O1,O,41;43;,
4.8961352000000025,1.3124104000000023,38.8377444,O2,O,41;95;,
3.578000000000002,3.578000000000002,38.6452712,O3,O,41;47;,
3.578000000000002,2.1234548615696318e-15,34.6786496,O4,O,42;48;,
1.789000000000002,2.2418231224341558e-15,36.61175,O5,O,42;91;,
3.578000000000002,2.1052952000000023,39.3063748,T1,Si,36;37;38;116, 3.578    ; 2.2641584;40.9089234;N  4.8961352; 1.3124104;38.8377444;N  3.578    ; 3.578    ;38.6452712;N  2.2598648; 1.3124104;38.8377444
