x,y,z,Site,Atom,Bonded Atoms,Bond Ends
3.077455500000001,1.727349675266974,0.0,O1,O,6;,
3.582891900000001,2.485124328449489,2.4635820000000006,O2,O,6;7;,
2.8831614,2.0918542076305158e-16,1.9723770000000005,O3,O,6;,
1.1161720500000003,1.9332667005883095,1.7403771000000003,O4,O,6;54;,
2.629763850000001,4.554884600107941,3.7785000000000006,O5,O,7;41;,
5.211293850000001,4.074803763930198,3.7785000000000006,O6,O,7;8;,
2.663052,1.5367293432552236,1.5438951000000003,T1,Si,0;1;2;3,3.07745550e+00;1.72734968e+00;0.00000000e+00;N 3.58289190e+00;2.48512433e+00;2.46358200e+00;N 2.88316140e+00;2.09185421e-16;1.97237700e+00;N 1.11617205e+00;1.93326670e+00;1.74037710e+00
3.749332650000001,3.399395920876218,3.7785000000000006,T2,Si,1;4;5;25,3.5828919 ;2.48512433;2.463582  ;N 2.62976385;4.5548846 ;3.7785    ;N 5.21129385;4.07480376;3.7785    ;N 3.5828919 ;2.48512433;5.093418  
6.79417935,3.921836830834349,3.7785000000000006,T3,Si,5;14;22,5.21129385;4.07480376;3.7785    ;N 7.4524695 ;2.47571098;3.7785    ;N 7.71673665;5.21617242;3.7785    
10.55234355,1.8014798043826543,0.0,O1,O,15;,
9.643373249999998,1.860313240188751,2.4635820000000006,O2,O,15;16;,
-1.4415806999999992,2.496891015610708,1.9723770000000005,O3,O,54;,
11.3546559,1.8458008583038612e-16,1.7403771000000003,O4,O,15;,
8.3274723,4.00738353952206e-16,3.7785000000000006,O5,O,16;,
7.452469499999999,2.4757109787205134,3.7785000000000006,O6,O,8;16;,
10.92462735,1.5379060119713457,1.5438951000000003,T1,Si,9;10;12;70,1.05523435e+01;1.80147980e+00;0.00000000e+00;N 9.64337325e+00;1.86031324e+00;2.46358200e+00;N 1.13546559e+01;1.84580086e-16;1.74037710e+00;N 1.21454193e+01;2.49689102e+00;1.97237700e+00
8.76837045,1.5473193617003211,3.7785000000000006,T2,Si,10;13;14;29,9.64337325e+00;1.86031324e+00;2.46358200e+00;N 8.32747230e+00;4.00738354e-16;3.77850000e+00;N 7.45246950e+00;2.47571098e+00;3.77850000e+00;N 9.64337325e+00;1.86031324e+00;5.09341800e+00
6.7507009500000015,8.237857681569539,0.0,O1,O,23;,
7.15423485,7.42124959258093,2.4635820000000006,O2,O,23;24;,
5.351919300000003,9.269796145608462,1.9723770000000005,O3,O,23;58;,
-5.677327949999998,9.83342046063086,1.7403771000000003,O4,O,56;,
-4.163736149999998,7.211802561111228,3.7785000000000006,O5,O,47;,
7.716736650000002,5.2161724185684575,3.7785000000000006,O6,O,8;24;,
