x,y,z,Site,Atom,Bonded Atoms,Bond Ends
7.548622488,7.6060801392,4.786393481999999,Si1,Si,13;138;223;232,9.090345  ;7.26124655;4.47657042;N 6.64940556;6.29679508;4.52991408;N 7.39917722;8.07127116;6.32034   ;N 7.06101638;8.79373415;3.81470441
2.5836578559000003,5.615406452399999,3.7766559636,Si2,Si,21;27;141;155,2.02932862;7.12656085;3.81470441;N 1.96006019;4.78659589;5.00558287;N 4.18883098;5.63355559;3.89560476;N 2.14550323;4.91523188;2.39528245
3.772493175,1.5493631094,1.5536659788,Si3,Si,78;107;159;161,3.55523393e+00;1.18316455e-16;1.93225434e+00;N 4.17319558e+00;1.67449663e+00;0.00000000e+00;N 2.40930504e+00;2.36129815e+00;1.82847436e+00;N 4.95932862e+00;2.15847360e+00;2.45658975e+00
16.652603005499998,3.6820458276,1.5647897772,Si4,Si,14;19;22;376,16.03518677; 4.91523188; 2.39528245;N 16.61187826; 4.05458073; 0.        ;N 15.77138496; 2.36129815; 1.82847436;N 18.18069   ; 3.4320972 ; 2.00847765
5.587289650799999,2.2508113071000007,3.9361813452,Si5,Si,15;160;161;162,4.49153946;1.75059564;5.00204348;N 6.8902997 ;1.3115139 ;4.04615526;N 4.95932862;2.1584736 ;2.45658975;N 5.99580976;3.7721547 ;4.26863123
5.4803871936,5.2158070479,4.7616177492,Si6,Si,23;138;141;162,5.08677526;5.15212587;6.32034   ;N 6.64940556;6.29679508;4.52991408;N 4.18883098;5.63355559;3.89560476;N 5.99580976;3.7721547 ;4.26863123
3.6019583028,1.5165673017000003,6.32034,Si7,Si,15;28;115;140,4.49153946e+00;1.75059564e+00;5.00204348e+00;N 3.05890109e+00;3.87009208e-16;6.32034000e+00;N 2.35876272e+00;2.53673981e+00;6.32034000e+00;N 4.49153946e+00;1.75059564e+00;7.63863652e+00
1.5784475058000005,3.943775477400001,6.32034,Si8,Si,27;30;115;147,1.96006019e+00;4.78659589e+00;5.00558287e+00;N 6.09720449e-16;3.63715060e+00;6.32034000e+00;N 2.35876272e+00;2.53673981e+00;6.32034000e+00;N 1.96006019e+00;4.78659589e+00;7.63509713e+00
7.492080542099999,2.916269182392544e-16,4.7626290036,Si9,Si,11;47;160,9.09034500e+00;2.81634341e-16;4.59943782e+00;N 7.08974187e+00;3.87009208e-16;6.32034000e+00;N 6.89029970e+00;1.31151390e+00;4.04615526e+00
6.649405560600001,6.296795078400001,8.1107659152,O1,O,132;137;,
3.331391282459832e-16,3.4320971961,2.0084776452,O2,O,151;,
9.090345,2.8163434050092925e-16,4.5994378248,O3,O,8;39;,
1.6911677838000008,7.8490238409,6.32034,O4,O,211;298;,
9.090345,7.2612465495,4.4765704152,O5,O,0;148;,
16.0351867731,4.9152318783,2.3952824532,O6,O,3;149;,
4.4915394645,1.7505956382000003,5.0020434828,O7,O,4;6;,
4.188830976,5.633555588700001,8.7450752376,O8,O,133;137;,
11.0909481276,3.870092075261491e-16,6.32034,O9,O,39;97;,
3.5552339295000004,6.557019601274039e-16,10.7084256552,O10,O,134;,
16.6118782599,4.054580730600001,0.0,O11,O,3;,
14.0074944174,1.6744966280999998,0.0,O12,O,150;,
2.0293286178000005,7.126560853799999,3.8147044104,O13,O,1;211;,
15.7713849612,2.3612981544,1.828474362,O14,O,3;150;,
5.086775255099999,5.1521258679,6.32034,O15,O,5;137;,
11.290390296899998,1.3115139021000002,4.0461552612,O16,O,39;152;,
13.221361381799998,2.1584735961,2.4565897512,O17,O,150;152;,
12.1848802449,3.7721546973,4.2686312292,O18,O,152;153;,
1.9600601889000004,4.7865958947,5.0055828732,O19,O,1;7;,
3.0589010925,3.870092075261491e-16,6.32034,O20,O,6;,
15.8219272794,2.5367398053000003,6.32034,O21,O,95;96;,
6.097204492781937e-16,3.6371505957,6.32034,O22,O,7;,
10.632067512,24.2345098608,4.786393481999999,Si1,Si,43;122;192;201, 9.090345  ;24.57934345; 4.47657042;N 11.53128444;25.54379492; 4.52991408;N 10.78151278;23.76931884; 6.32034   ;N 11.11967362;23.04685585; 3.81470441
15.597032144100002,26.2251835476,3.7766559636,Si2,Si,51;57;125;171,16.15136138;24.71402915; 3.81470441;N 16.22062981;27.05399411; 5.00558287;N 13.99185902;26.20703441; 3.89560476;N 16.03518677;26.92535812; 2.39528245
14.408196825,30.2912268906,1.5536659788,Si3,Si,80;175;177;831,14.00749442;30.16609337; 0.        ;N 15.77138496;29.47929185; 1.82847436;N 13.22136138;29.6821164 ; 2.45658975;N 14.62545607;31.84059   ; 1.93225434
1.5280869945000009,28.1585441724,1.5647897772,Si4,Si,41;44;49;52,1.86250228e-15;2.84084928e+01;2.00847765e+00;N 2.14550323e+00;2.69253581e+01;2.39528245e+00;N 1.56881174e+00;2.77860093e+01;0.00000000e+00;N 2.40930504e+00;2.94792918e+01;1.82847436e+00
12.5934003492,29.5897786929,3.9361813452,Si5,Si,45;176;177;178,13.68915054;30.08999436; 5.00204348;N 11.2903903 ;30.5290761 ; 4.04615526;N 13.22136138;29.6821164 ; 2.45658975;N 12.18488024;28.0684353 ; 4.26863123
12.700302806400002,26.6247829521,4.7616177492,Si6,Si,53;122;125;178,13.09391474;26.68846413; 6.32034   ;N 11.53128444;25.54379492; 4.52991408;N 13.99185902;26.20703441; 3.89560476;N 12.18488024;28.0684353 ; 4.26863123
14.578731697200002,30.3240226983,6.32034,Si7,Si,45;88;124;784,13.68915054;30.08999436; 5.00204348;N 15.82192728;29.30385019; 6.32034   ;N 13.68915054;30.08999436; 7.63863652;N 15.12178891;31.84059   ; 6.32034   
16.6022424942,27.8968145226,6.32034,Si8,Si,57;88;131;426,16.22062981;27.05399411; 5.00558287;N 15.82192728;29.30385019; 6.32034   ;N 16.22062981;27.05399411; 7.63509713;N 18.18069   ;28.2034394 ; 6.32034   
10.688609457899998,2.916269182392544e-16,4.7626290036,Si9,Si,11;17;24,9.09034500e+00;2.81634341e-16;4.59943782e+00;N 1.10909481e+01;3.87009208e-16;6.32034000e+00;N 1.12903903e+01;1.31151390e+00;4.04615526e+00
