Parameter;Value
Crystal System;tetragonal
Space Group;I 4/m m m (# 139)
Unit cell lengths;a = 13.0710 Å, b = 13.0710 Å, c = 5.2560 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;898.0 cubic Å
Framework density;17.8 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;5.91 Å
Maximum diameter of a sphere;
that can diffuse along;a: 1.94 Å, b: 1.94 Å, c: 4.11 Å
Accessible volume:;7.30 %
