Parameter;Value
Crystal System;orthorhombic
Space Group;C m m e (# )
Unit cell lengths;a = 8.5790 Å, b = 15.3110 Å, c = 9.6610 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1269.0 cubic Å
Framework density;18.9 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;4.74 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.48 Å, b: 2.39 Å, c: 2.14 Å
Accessible volume:;3.92 %
