Parameter;Value
Crystal System;tetragonal
Space Group;P 42/m m c (# 131)
Unit cell lengths;a = 12.7690 Å, b = 12.7690 Å, c = 12.9770 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2115.9 cubic Å
Framework density;15.1 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.95 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.09 Å, b: 6.09 Å, c: 6.09 Å
Accessible volume:;21.18 %
