Parameter;Value
Crystal System;hexagonal
Space Group;P 63/m m c (# 194)
Unit cell lengths;a = 12.4940 Å, b = 12.4940 Å, c = 5.2540 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;710.3 cubic Å
Framework density;16.9 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.27 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.53 Å, b: 2.53 Å, c: 5.96 Å
Accessible volume:;8.41 %
