Parameter;Value
Crystal System;orthorhombic
Space Group;P n m a (# 62)
Unit cell lengths;a = 8.4440 Å, b = 14.0830 Å, c = 15.9290 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;1894.2 cubic Å
Framework density;16.9 T/1000 cubic Å
Ring sizes (# T-atoms);10 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;5.86 Å
Maximum diameter of a sphere;
that can diffuse along;a: 4.01 Å, b: 2.97 Å, c: 2.97 Å
Accessible volume:;10.62 %
