Parameter;Value
Crystal System;trigonal
Space Group;R -3 m (# 166)
Unit cell lengths;a = 13.7950 Å, b = 13.7950 Å, c = 40.7500 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;6716.0 cubic Å
Framework density;17.9 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 5 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 2-dimensional
Maximum diameter of a sphere;
that can be included;7.66 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.65 Å, b: 3.65 Å, c: 2.63 Å
Accessible volume:;9.21 %
