Parameter;Value
Crystal System;orthorhombic
Space Group;I m m a (# 74)
Unit cell lengths;a = 10.2330 Å, b = 12.5580 Å, c = 21.7172 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2790.8 cubic Å
Framework density;17.2 T/1000 cubic Å
Ring sizes (# T-atoms);12 8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 1-dimensional
Maximum diameter of a sphere;
that can be included;6.57 Å
Maximum diameter of a sphere;
that can diffuse along;a: 6.13 Å, b: 2.12 Å, c: 2.12 Å
Accessible volume:;13.14 %
