Parameter;Value
Crystal System;cubic
Space Group;F d -3 m (# 227)
Unit cell lengths;a = 24.3450 Å, b = 24.3450 Å, c = 24.3450 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;14428.8 cubic Å
Framework density;13.3 T/1000 cubic Å
Ring sizes (# T-atoms);12 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;11.24 Å
Maximum diameter of a sphere;
that can diffuse along;a: 7.35 Å, b: 7.35 Å, c: 7.35 Å
Accessible volume:;27.42 %
