Parameter;Value
Crystal System;trigonal
Space Group;P -3 m 1 (# 164)
Unit cell lengths;a = 12.6620 Å, b = 12.6620 Å, c = 25.2590 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 120.000°
Volume;3507.2 cubic Å
Framework density;17.1 T/1000 cubic Å
Ring sizes (# T-atoms);6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 0-dimensional
Maximum diameter of a sphere;
that can be included;6.67 Å
Maximum diameter of a sphere;
that can diffuse along;a: 2.7 Å, b: 2.7 Å, c: 2.66 Å
Accessible volume:;0.00 %
