Parameter;Value
Crystal System;tetragonal
Space Group;P 4/m b m (# 127)
Unit cell lengths;a = 15.1512 Å, b = 15.1512 Å, c = 11.8480 Å
Unit cell angles;α = 90.000°, β = 90.000°, γ = 90.000°
Volume;2719.8 cubic Å
Framework density;17.6 T/1000 cubic Å
Ring sizes (# T-atoms);8 6 4
Channel dimensionality;Topological (pore opening > 6-ring)
; 3-dimensional
Maximum diameter of a sphere;
that can be included;6.94 Å
Maximum diameter of a sphere;
that can diffuse along;a: 3.83 Å, b: 3.83 Å, c: 2.22 Å
Accessible volume:;10.62 %
